,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,A* CNOTs,A* Depth,A* Time
4_49_16.qasm,168,318,0.07906110299999991,126,260,4.019235599999999,147,266,0.19984933699999985,138,273,0.004905024000001035
sys6-v0_111.qasm,204,198,0.0979183550000009,174,187,16.183847883000002,171,200,1.001344514000003,153,217,0.006224294000006125
rd53_130.qasm,789,1425,0.3874242880000054,714,1281,26.87775289999999,948,1469,1.8700653479999971,873,1448,0.028170471999999336
alu-v2_31.qasm,357,653,0.16485508300000618,354,639,0.6618596089999897,354,639,0.24885588099999723,324,601,0.010693059999994148
4gt5_77.qasm,84,167,0.03923779000000138,69,147,1.1776171480000102,81,163,0.12967107500000452,90,161,0.005189199000000144
radd_250.qasm,2739,4481,1.4743553870000028,2751,4453,102.58326868,2964,4590,7.170846222999955,2730,4341,0.08568978900001412
mod10_176.qasm,138,234,0.06630675999997493,117,225,4.122230506999983,126,231,0.08778768100000889,126,241,0.005111848000012742
C17_204.qasm,399,657,0.18393590599998788,375,644,6.334286911999982,402,659,0.9921297589999654,408,641,0.013773800000024039
0410184_169.qasm,189,246,0.08815969500000165,195,257,1.9646293119999996,204,269,0.36793469999997797,273,314,0.031621694000023126
con1_216.qasm,762,1294,0.35816942999997536,684,1168,25.766020620000006,762,1211,1.9272813189999738,768,1285,0.02408335000001216
rd53_311.qasm,267,337,0.13122977000000446,252,313,15.169408119999957,267,322,1.130524241000046,246,366,0.013306027999988146
4gt13_91.qasm,69,144,0.03250117000004593,60,129,0.45608804900001587,63,131,0.04623902299999827,75,139,0.004475191999972594
one-two-three-v0_98.qasm,120,215,0.05639618899999732,123,205,0.057528419999982816,123,205,0.057496836999973766,120,194,0.005702675000009094
4gt13_90.qasm,84,147,0.0383568880000098,60,127,0.850997451000012,66,133,0.055503007999959664,84,148,0.004720546999976705
ex3_229.qasm,324,565,0.15025439799995866,309,546,2.8297860779999837,312,546,0.20172102400005087,321,554,0.011786574999973709
adr4_197.qasm,2991,4706,1.815650263000009,2997,4603,123.79775380400002,3399,4970,8.392980530000045,2937,4477,0.09971556800007875
one-two-three-v1_99.qasm,90,179,0.04353925899999922,78,164,1.0435326049999958,81,156,0.10804864900001121,111,181,0.010609001000034368
mini-alu_167.qasm,216,382,0.10261198600005628,222,385,9.317609538000056,219,386,0.3869519649999802,252,407,0.011005336000039279
alu-v2_30.qasm,465,789,0.21949100500000895,426,725,1.9572195889999193,432,723,0.3911350109999603,390,690,0.015515694000100666
4gt5_76.qasm,72,140,0.030445645999975568,72,136,0.03397833600001832,72,136,0.05246723400000519,78,132,0.004245328000024529
rd53_131.qasm,357,624,0.1749513059999117,342,596,3.9811750889999757,366,628,0.4718094500000234,378,632,0.012623512999994091
mini_alu_305.qasm,156,245,0.07809347400007027,141,164,4.603675811000016,141,162,0.665282439000066,135,162,0.0065463430000818335
4mod7-v0_94.qasm,114,225,0.051808776999905604,120,225,3.5725901669999303,120,225,0.08439827500001229,108,212,0.004677271999980803
z4_268.qasm,2586,4205,1.4403628410000238,2352,3928,86.59982022000008,2631,4105,7.915400251000051,2427,4070,0.1281193910000411
cm82a_208.qasm,537,879,0.5069182290000072,483,797,23.501334552999992,540,835,1.1335222710000608,531,841,0.0177431820000038
aj-e11_165.qasm,117,209,0.06854110699998728,99,197,0.056761417999950936,99,197,0.06002771800001483,99,189,0.005742329999975482
alu-v0_26.qasm,54,109,0.03010199899995314,51,104,0.5983745180000142,51,103,0.05836593100002574,72,118,0.003731149000032019
sym6_316.qasm,261,369,0.1260153910000099,243,330,11.857988298999999,294,352,0.517825978000019,243,341,0.011154218000001492
decod24-bdd_294.qasm,51,91,0.023296581000067818,39,85,0.03221329699999842,39,85,0.03185015999997631,45,79,0.00330198400001791
dc1_220.qasm,1587,2577,1.0434732070000337,1500,2490,26.017471404999924,1698,2646,2.7486417840000286,1590,2593,0.05211912899994786
decod24-enable_126.qasm,276,507,0.297379535999994,237,443,0.38240415100005976,237,443,0.27691192999998293,258,446,0.01585855600001196
one-two-three-v2_100.qasm,48,96,0.02088150300005509,45,91,0.03820647400004873,45,92,0.03580087700004242,66,104,0.004489689999900293
mod5adder_127.qasm,414,709,0.2870885229999658,357,669,8.336309887000084,399,717,0.661307860000079,375,668,0.011299677000010888
one-two-three-v3_101.qasm,48,93,0.02610786200000348,51,93,0.025652745000002142,51,93,0.025591430999952536,45,87,0.0035770259999026166
mod8-10_177.qasm,348,577,0.17794451999998273,315,578,4.142464932999928,330,584,0.4342780120000498,375,641,0.012598244000173509
sf_276.qasm,684,1177,0.34244054999999207,687,1152,2.5078956770000786,717,1159,0.5309551619998274,669,1101,0.023125645999925837
cm42a_207.qasm,1455,2378,0.8259569850001753,1272,2167,44.25881288000005,1473,2353,3.5613105090001227,1443,2331,0.05047667000008005
4gt12-v1_89.qasm,186,346,0.11040428999990581,186,323,0.14652324300004693,195,331,0.12758988700011287,189,310,0.01003376600010597
pm1_249.qasm,1371,2266,0.8851587510000627,1335,2218,45.971251231,1320,2229,2.588450805999855,1443,2331,0.04106951499989009
mod10_171.qasm,168,308,0.08500249099984103,138,290,1.6894366540000192,156,302,0.1537388879999071,186,332,0.007914201999938086
decod24-v1_41.qasm,60,113,0.03153369799997563,48,103,0.3509956620000594,51,105,0.038663912999936656,57,115,0.0027327809998496377
4gt12-v0_88.qasm,153,276,0.06812120399990818,147,269,1.2530345709999438,153,268,0.16875994600013655,150,262,0.005861051000010775
rd53_138.qasm,111,151,0.054126825999901484,96,130,0.9227352620000602,99,132,0.22307725400014533,81,116,0.004691936999961399
