,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,A* CNOTs,A* Depth,A* Time
4_49_16.qasm,180,322,0.09617425999999973,156,295,1.130178308,174,310,0.086085089,165,308,0.005925606999999999
sys6-v0_111.qasm,198,209,0.09356815499999982,192,204,9.796077632,228,235,1.028435795,198,232,0.007500093000000874
rd53_130.qasm,909,1557,0.45818352399999895,1020,1513,14.449678325999997,1044,1553,1.3185072659999975,948,1494,0.0413980539999983
alu-v2_31.qasm,360,663,0.17295277599998826,366,633,1.1057405140000043,384,668,0.2539689519999939,354,643,0.009729785000004654
4gt5_77.qasm,96,182,0.04253290699999468,120,191,0.09218094999999948,120,191,0.06580753299999742,99,181,0.00438958899999875
radd_250.qasm,3177,4833,1.7217027739999935,2895,4629,87.14926941300001,3114,4742,5.450324223000024,3015,4653,0.09846293000001083
mod10_176.qasm,138,250,0.05935673199999769,129,234,0.2678836899999908,138,250,0.060926816999995026,120,234,0.0036634559999981775
C17_204.qasm,420,669,0.19888462500000514,441,680,5.688602899000017,447,694,0.3437412819999963,384,643,0.01196824799998808
0410184_169.qasm,201,255,0.0940740949999963,258,294,1.8667727059999777,258,293,0.18913569000000052,249,273,0.01451738700001215
con1_216.qasm,828,1333,0.3947052600000234,903,1393,16.966617380999992,921,1419,0.7706614049999985,939,1424,0.038337587000000894
rd53_311.qasm,264,402,0.12086087099999077,252,319,10.984293898000033,294,343,1.1325068540000416,264,374,0.01763875099999268
4gt13_91.qasm,66,144,0.028154176999976244,69,138,0.030917719999990823,69,138,0.03232102300000861,66,138,0.0029506960000276194
one-two-three-v0_98.qasm,120,213,0.05232150500000898,117,200,0.09390450600000122,129,210,0.0568457439999861,108,194,0.00341981299999361
4gt13_90.qasm,72,152,0.03193535399998382,78,148,0.03384717900001988,78,148,0.03883030900004769,78,147,0.0034288019999735297
ex3_229.qasm,336,591,0.16075402900003155,372,596,1.5243384639999817,393,607,0.17150269299997944,339,582,0.011150104000023475
adr4_197.qasm,3342,5166,1.8237977310000133,3414,4979,120.46767195199999,3615,5084,6.6786647950000315,3897,5415,0.14902986600003487
one-two-three-v1_99.qasm,111,203,0.055405377999989014,99,176,0.04430256599999893,99,176,0.052528597999980775,99,173,0.0038101580000216018
mini-alu_167.qasm,234,418,0.10866477900003702,243,412,2.678289069000016,249,422,0.2598837420000564,219,397,0.007443859999966662
alu-v2_30.qasm,456,787,0.22405758499996864,432,716,4.356617357000005,450,735,0.5631194149999601,462,688,0.019627310000032594
4gt5_76.qasm,72,140,0.030259723000085614,66,128,0.056381569999985004,78,141,0.039416134000020975,66,126,0.0023322139999208957
rd53_131.qasm,438,730,0.19034398499991312,435,681,4.150556411000025,441,697,0.33509962700009055,387,632,0.010965062000082071
mini_alu_305.qasm,168,191,0.09202784299998257,156,173,11.26567563399999,183,180,0.8515482130000009,138,188,0.0048411249999844586
4mod7-v0_94.qasm,117,228,0.07674372700000731,126,230,0.4739630000000261,126,223,0.1470114610000337,111,218,0.003219580999939353
z4_268.qasm,2754,4532,1.4954972079999607,2880,4349,98.30688740100004,3576,4859,7.010411105000003,3291,4776,0.12168990899999699
cm82a_208.qasm,618,982,0.31298167499994634,624,932,16.887003815999947,633,958,1.381136156000025,555,895,0.01440270499995222
aj-e11_165.qasm,117,208,0.051202018999902066,99,197,0.044260470000040186,99,197,0.0421514859999661,105,201,0.004083815000058166
alu-v0_26.qasm,66,113,0.0312749030000532,66,123,0.0555265389999704,66,123,0.034401085000013154,69,118,0.0030321000000412823
sym6_316.qasm,309,439,0.16710782500001642,252,323,10.801695296000048,387,400,0.8636734969999225,252,379,0.0111048789999586
decod24-bdd_294.qasm,60,97,0.14160049200006597,39,85,0.027964960999952382,39,85,0.028140540999970654,39,79,0.0030599909999864394
dc1_220.qasm,1734,2789,1.0563835750000408,1689,2668,23.759017464000067,1731,2690,1.7166147599999704,2064,3010,0.07121022199999061
decod24-enable_126.qasm,276,506,0.13243479300001582,243,448,0.26878810599998815,243,448,0.23260133400003724,303,474,0.011843205999980455
one-two-three-v2_100.qasm,54,95,0.025862171999960992,54,102,0.02739736399996673,54,102,0.027836239000066598,63,97,0.0029932429999917076
mod5adder_127.qasm,486,802,0.21752546200002598,513,813,3.4548639539999613,537,837,0.4372451039999987,510,754,0.0151783210000076
one-two-three-v3_101.qasm,48,94,0.02275724099990839,57,98,0.033741024999926594,57,98,0.023588037999957123,48,88,0.0018829880000339472
mod8-10_177.qasm,378,663,0.18616925200001333,402,656,1.0566789250000284,426,669,0.3168918080000367,390,614,0.014624463000018295
sf_276.qasm,681,1185,0.34652881500005606,714,1164,2.951850358999991,744,1165,3.6697045120000666,609,1025,0.028157154000041373
cm42a_207.qasm,1605,2654,0.9841349260000243,1722,2547,21.456549163999966,1848,2675,1.9771467549999215,1797,2659,0.0775873899999624
4gt12-v1_89.qasm,201,346,0.09202359500000057,207,335,0.25948894599991945,222,351,0.20420515399996475,180,301,0.008656852999934017
pm1_249.qasm,1674,2640,0.9169216919999599,1536,2420,33.49326777299996,1614,2480,2.749393917000134,1797,2659,0.0757412729999487
mod10_171.qasm,198,363,0.09312479499999426,180,338,0.9972899389999839,183,340,0.0863845339999898,171,337,0.0044119770000179415
decod24-v1_41.qasm,63,124,0.028614025000024412,60,113,0.027087552000011783,60,113,0.02783411900009014,63,121,0.002737535000051139
4gt12-v0_88.qasm,168,294,0.08469024400005765,171,270,0.6208107539998764,177,284,0.09586037400003988,156,238,0.012571206000075108
rd53_138.qasm,138,178,0.06397596800002248,117,138,0.8282975750000787,117,138,0.2891664569999648,114,142,0.005879347000018242
4gt4-v0_79.qasm,186,337,0.08155180599987943,201,334,1.122705730000007,204,326,0.2689234619999752,183,323,0.008807165999996869
alu-v3_34.qasm,45,83,0.05387487300004068,36,67,0.03409471300005862,36,67,0.07271410800012745,33,63,0.0033283379998465534
decod24-v3_45.qasm,108,211,0.04999650199988537,120,204,0.21976405700002033,126,215,0.13857865399995717,108,206,0.0038245040000219888
4gt4-v0_80.qasm,165,277,0.07192164499997489,159,253,0.37092318999998497,159,253,0.16927237799995964,141,237,0.004710714999873744
mod8-10_178.qasm,279,496,0.14387383200005388,282,471,2.5607033200001297,291,493,0.3848783729999923,303,477,0.01539394899987201
hwb4_49.qasm,177,347,0.08566916299992045,165,321,0.7476655079999546,165,321,0.18691698700013148,165,319,0.008021983999924487
4mod5-bdd_287.qasm,60,106,0.02811544899986984,45,92,0.027296444000057818,45,92,0.02285141100014698,39,80,0.0022681250000005093
decod24-v0_38.qasm,42,74,0.020327296000004935,27,61,0.014949529999967126,27,61,0.016638800999999148,27,59,0.0021918229999755567
4gt4-v1_74.qasm,231,415,0.1217986409999412,252,403,0.22538947100019868,255,407,0.11394169499999407,234,378,0.006364004000033674
4gt12-v0_87.qasm,204,339,0.09561104299996259,204,329,4.346578550000004,234,342,0.25691439100000935,195,339,0.009807388999888644
4gt12-v0_86.qasm,201,353,0.09313284700010627,231,347,4.146413021000171,231,361,0.12015337100001489,204,352,0.011701538999886907
4mod5-v1_23.qasm,60,113,0.026084504999971614,51,97,0.029309342999795263,51,97,0.025219049000043015,54,98,0.002602142000114327
sf_274.qasm,669,1193,0.3495875749999868,705,1136,4.356837384000073,747,1140,0.4834225489998971,672,1097,0.03358234600000287
4mod5-v0_18.qasm,57,103,0.029694478999999774,45,91,0.04125216700003875,45,91,0.030208201000050394,51,92,0.003983732000051532
majority_239.qasm,474,883,0.21005023499992603,522,882,3.6840023080001174,585,908,0.8642280240001128,441,809,0.017582383999979356
hwb5_53.qasm,1218,2021,0.7621153609998146,1170,1929,8.941365524000048,1338,2070,1.8387155499999608,1089,1875,0.05019031300003007
ham7_104.qasm,267,458,0.16024110500006827,282,466,0.7294416279999041,282,466,0.636403884999936,237,430,0.011351688000104332
rd53_135.qasm,261,411,0.13111834400001499,330,457,4.391014053999925,339,456,0.4092067669998869,258,414,0.009325425000042742
rd32_270.qasm,60,115,0.033360674000050494,57,106,0.03551330799996322,57,106,0.038065822999897136,69,104,0.0035940749999099353
cm152a_212.qasm,1083,1753,0.49923518800005695,1356,1921,14.061648577999904,1458,2065,1.592605093999964,1233,1873,0.0552949800000988
4gt10-v1_81.qasm,114,214,0.05117011999982424,111,202,0.14013131000001522,132,229,0.06078483700002835,111,194,0.0033430739999857906
qft_10.qasm,132,148,0.07307518199991136,126,124,1.2762554620001083,162,146,0.19641524600001503,174,250,0.007338106999895899
rd53_251.qasm,1044,1874,0.6293393420000939,1170,1861,28.668762262999962,1221,1921,2.7677540550000685,1104,1811,0.039474736000101984
squar5_261.qasm,1908,2771,1.028043291999893,1980,2794,40.29696162000005,2256,3053,3.609543806000147,1794,2767,0.052775291999978435
4gt4-v0_78.qasm,201,353,0.08891448199983643,210,348,1.09930753499998,225,345,0.37304331800010004,195,335,0.009335225000086211
4gt13-v1_93.qasm,60,100,0.024420530999805123,60,104,0.021850618999906146,60,104,0.023975522000000637,45,84,0.0029272659999151074
4gt4-v0_73.qasm,348,609,0.15913908299989998,354,579,1.3651336090001678,354,586,0.18512481099992328,333,546,0.014351720999911777
one-two-three-v0_97.qasm,237,428,0.10618587099997967,213,398,1.3967862160000095,213,402,0.16432565700006307,234,390,0.007557453000117675
rd84_142.qasm,306,309,0.16370788100016398,351,342,32.41499225000007,426,377,2.5446816569999555,330,349,0.013380884000071092
4mod7-v1_96.qasm,126,233,0.0578412180000214,135,234,0.8035671820000516,147,250,0.24384219099988513,126,219,0.004428489000019908
f2_232.qasm,1155,1824,0.5647344300000441,1122,1768,9.866214229999969,1242,1861,1.511064251000107,1143,1727,0.07040306800013241
sym9_146.qasm,297,392,0.15564037600006486,321,377,17.261709787999962,333,381,1.3457379620001575,258,380,0.009525775999918551
alu-v4_36.qasm,117,188,0.06289149000008365,111,186,0.08715492899978017,111,186,0.09811262099992746,69,140,0.007257396999875709
alu-bdd_288.qasm,69,117,0.031095864999997502,60,108,0.05497897300006116,60,108,0.06354633000000831,69,108,0.005154736999884335
4gt5_75.qasm,60,117,0.046671440999944025,69,119,0.060376802000064345,75,129,0.04775436299996727,63,112,0.013181954999936352
alu-v2_32.qasm,123,226,0.07296436800015726,123,222,0.4887105520001569,123,222,0.15769711200027814,123,237,0.03265259199997672
qft_16.qasm,405,287,0.3648535849997643,438,246,70.87076977400011,576,347,5.204272950000359,537,689,0.029328020000320976
decod24-v2_43.qasm,36,72,0.016862135999872407,30,66,0.023629793000054633,30,66,0.03247497700021995,30,64,0.00435540199987372
cnt3-5_180.qasm,372,531,0.2433715770002891,411,536,22.667151518000082,420,540,1.8391383389998737,351,559,0.023002150999673177
sqrt8_260.qasm,2835,4483,2.1157491980002305,3165,4640,102.21685220300014,3486,4869,8.380127626000103,3108,4498,0.29431264300001203
4gt13_92.qasm,48,85,0.0265928429998894,54,97,0.03837649400020382,54,97,0.025283580000177608,57,99,0.002612763000342966
cnt3-5_179.qasm,183,186,0.17686259799984327,195,199,32.691174172000046,195,199,1.5868748540001434,213,238,0.04389849700010018
ex2_227.qasm,633,996,1.7457035970001016,585,934,5.590153022999857,633,979,0.7212377089999791,582,941,0.0429128379996655
