,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,A* CNOTs,A* Depth,A* Time
4_49_16.qasm,174,295,0.09559813399999939,129,261,5.328988609,153,272,0.44194185899999994,126,250,0.009969361000001342
sys6-v0_111.qasm,165,200,0.10140648399999996,141,173,16.336049163,177,200,1.3578463360000015,147,201,0.010698490999999422
rd53_130.qasm,747,1313,0.4237833560000013,636,1228,47.108079463,678,1234,1.3859545090000012,630,1178,0.030400983999996356
alu-v2_31.qasm,297,570,0.3048512989999921,246,513,10.010789568999996,267,533,0.4745960110000027,279,588,0.015831883000004154
4gt5_77.qasm,84,160,0.043574517999999784,69,148,3.7311126849999994,75,154,0.12982509899998718,78,148,0.008854456999998206
radd_250.qasm,2403,4150,1.458709409000008,1971,3702,136.90853706999997,2361,3996,8.424345173999995,2136,3832,0.09479683099999647
mod10_176.qasm,123,235,0.06361505600000328,93,197,5.397606543999984,105,211,0.16956345799997052,102,218,0.00930331600000045
C17_204.qasm,342,584,0.20301272699998663,276,530,16.74312910900005,312,568,0.6541279449999706,300,552,0.016455452000002424
0410184_169.qasm,174,229,0.0924831739999945,162,234,6.062819466000008,180,240,0.6208257139999773,189,252,0.016235644000005323
con1_216.qasm,717,1175,0.3846837969999797,576,1060,39.38262179100002,684,1161,2.6601961480000114,660,1173,0.03350407099998165
rd53_311.qasm,228,287,0.13813460500000474,189,275,16.05109654299997,207,286,1.1866838100000336,192,335,0.015520157999958428
4gt13_91.qasm,66,125,0.03350713099996483,54,122,1.408541802000002,60,121,0.0889671410000119,54,115,0.007331328000020676
one-two-three-v0_98.qasm,102,180,0.05516736200002015,84,170,4.2808506850000185,96,188,0.16760659900000974,84,179,0.008351744999970379
4gt13_90.qasm,72,134,0.0380802820000099,54,125,1.9479844610000328,66,136,0.09767980800000942,57,122,0.007117404999974042
ex3_229.qasm,270,484,0.14022517099999732,228,464,9.834315253,258,472,0.7594544479999854,237,475,0.015346723999982714
adr4_197.qasm,2682,4325,1.6248885179999775,2190,3877,217.77104409699996,2826,4369,13.160447895000061,2355,4015,0.10743387699994855
one-two-three-v1_99.qasm,84,168,0.04744166000000405,75,154,2.4712484369999856,81,159,0.16109513699996114,84,162,0.009032295999986673
mini-alu_167.qasm,222,398,0.11755470900004639,156,326,11.418816057999948,180,339,0.31734133899999506,177,351,0.013048562999983915
alu-v2_30.qasm,393,666,0.22986971800003175,294,603,19.20213287499996,315,606,0.761911552000015,312,633,0.025987263000047278
4gt5_76.qasm,63,124,0.03467581099994277,51,110,1.4403770310000255,60,115,0.2591709409999794,51,110,0.007426854999948773
rd53_131.qasm,345,580,0.22687106199998652,255,512,17.712323037000033,324,573,0.7778034140000045,285,551,0.02003730700005235
mini_alu_305.qasm,126,181,0.09770800700005111,108,152,18.25259299100003,120,161,0.8973618969999961,114,155,0.012923247000003357
4mod7-v0_94.qasm,111,206,0.06043306599997322,102,198,7.788713266999935,117,206,0.28684332400007406,96,194,0.009529433000011522
z4_268.qasm,2373,3827,1.702854392000063,1944,3471,191.041769714,2295,3714,8.09881890400004,2148,3603,0.12459055300007549
cm82a_208.qasm,492,763,0.27270193999993353,387,701,34.505300881999915,450,752,0.9056973280000875,414,736,0.025055702999907226
aj-e11_165.qasm,111,205,0.06044182200002979,87,175,2.5118514020000475,93,181,0.22050781100006134,81,171,0.008914164000088931
alu-v0_26.qasm,48,97,0.028459103000159303,45,95,1.4805770250000023,51,98,0.1162174410001171,54,108,0.008498228000007657
sym6_316.qasm,234,336,0.1397209770000245,207,289,33.95580271000017,222,306,0.7086021110001184,198,333,0.013667746000010084
decod24-bdd_294.qasm,48,93,0.025121761000036713,39,82,0.6049320780000471,48,88,0.15187429699994937,39,78,0.006900689000076454
dc1_220.qasm,1410,2278,0.7597532090001096,1167,2153,81.90052309099997,1386,2350,3.2654252330000872,1197,2177,0.05866121100007149
decod24-enable_126.qasm,261,464,0.15379413199980263,219,420,9.482389653000155,234,412,0.4636100829998213,213,420,0.013900915000021996
