,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,119,157,0.045437096850946546,119,156,0.1811783299781382,0.0908,0.0673,0.7411894273127753,104,127,0.010964703978970647,5.1787109375
qft_n15,210,381,287,0.21921390807256103,525,298,84.59333030297421,1.2662,1.2613,0.9961301532143422,438,407,0.08932778402231634,15.0224609375
multiply_n13,40,79,80,0.03576927212998271,82,70,0.6624058689922094,0.0423,0.0412,0.9739952718676124,0,0,0.0,0.0
multiplier_n15,246,504,442,0.26936783106066287,507,415,20.670721325092018,0.2914,0.2487,0.8534660260809883,558,467,0.047872697934508324,10.6240234375
sat_n11,252,504,618,0.23118817899376154,540,630,13.215717809973285,0.1793,0.1003,0.5593976575571667,480,579,0.03557606600224972,10.96875
seca_n11,84,138,112,0.06454856204800308,138,112,1.9485060169827193,0.0527,0.055,1.0436432637571158,0,0,0.0,0.0
bv_n14,13,25,29,0.012174843112006783,31,32,0.014103495981544256,0.0309,0.0281,0.9093851132686084,0,0,0.0,0.0
ising_n10,90,90,71,0.042609318159520626,90,71,0.03654567105695605,0.1734,0.173,0.9976931949250287,0,0,0.0,0.0
qaoa_n6,54,72,162,0.037396656116470695,84,129,0.5646607610397041,0.0501,0.0537,1.0718562874251496,0,0,0.0,0.0
qpe_n9,43,76,128,0.031213205074891448,79,110,0.02537360484711826,0.0525,0.0633,1.2057142857142857,0,0,0.0,0.0
