,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,361,294,0.17820737208239734,337,265,13.163978806929663,367,292,2.0647028780076653,355,345,0.032331332098692656,7.3662109375
rd53_311.qasm,124,340,341,0.17002312210388482,307,268,4.489705260843039,325,274,1.3153735408559442,331,327,0.03579439292661846,6.6533203125
one-two-three-v0_97.qasm,128,326,360,0.1410685710143298,287,325,1.4188175068702549,308,349,0.2379392448347062,311,324,0.016040961956605315,6.595703125
mod8-10_178.qasm,152,389,462,0.17072677705436945,341,385,1.3520340309478343,362,405,0.2882990329526365,395,463,0.03341208095662296,7.517578125
decod24-enable_126.qasm,149,377,421,0.1625941980164498,344,387,1.73470028815791,362,409,0.2996941970195621,365,402,0.02029953384771943,7.31640625
mini-alu_167.qasm,126,330,387,0.14400073001161218,285,329,1.3766650701873004,291,330,0.2417853840161115,303,351,0.029398422921076417,6.533203125
rd53_135.qasm,134,335,349,0.2405911609530449,308,332,5.361892519984394,326,350,0.547144851880148,335,328,0.031176569871604443,6.787109375
ham7_104.qasm,149,383,430,0.16381405713036656,344,385,2.2438062170986086,356,385,0.4559098528698087,341,362,0.01631376682780683,7.0732421875
sym6_316.qasm,123,336,316,0.16007620701566339,306,286,7.781220532022417,324,294,1.1449590909760445,333,317,0.01815683883614838,6.626953125
rd84_142.qasm,154,406,293,0.2068928610533476,367,241,16.89531172416173,427,280,3.038835627026856,382,282,0.034354310017079115,7.5927734375
