,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,A* CNOTs,A* Depth,A* Time
4_49_16.qasm,69,188,0.046994030000000464,60,187,5.526967222000001,51,177,0.4897387440000003,51,179,0.0038345819999996422
sys6-v0_111.qasm,99,195,0.06508768199999793,78,134,16.491635907999996,105,158,0.8719403469999989,84,145,0.0065040859999996314
rd53_130.qasm,456,1071,0.31088384500000643,210,759,26.934250488000004,267,838,4.080687922999999,510,1040,0.057671252999995204
alu-v2_31.qasm,231,512,0.334410427999984,204,480,51.59895539199999,219,470,1.9478243109999767,186,441,0.011290013999996518
4gt5_77.qasm,75,153,0.05446938699998327,57,132,13.780411729999997,57,134,0.9829031909999912,57,131,0.004209852000002456
radd_250.qasm,1626,3392,2.7692724739999903,1413,3040,227.58811662899996,1659,3334,11.980051071999924,1176,2882,0.0960029590000886
mod10_176.qasm,15,115,0.028941959000007955,15,115,0.22451634200001536,15,115,0.11711200600007032,84,177,0.004587103000062598
C17_204.qasm,177,449,0.1637609430000566,105,355,17.271288436999953,165,430,1.285983629000043,144,374,0.013637763000019731
0410184_169.qasm,69,155,0.06535194900004626,63,148,5.430928965000021,72,155,0.2969185969999444,123,190,0.042952618999947845
con1_216.qasm,369,866,0.25943906899999547,234,727,21.905076767000082,339,823,2.4509511989999737,372,878,0.034680038000033164
rd53_311.qasm,150,221,0.1568360929999244,117,196,35.659934501000066,189,253,1.8051196950000303,108,231,0.03858947600008378
4gt13_91.qasm,60,136,0.04411205899998549,45,111,0.11522272999991401,45,111,0.12430977500002882,21,79,0.009110661000022446
one-two-three-v0_98.qasm,81,167,0.07851759499999389,54,134,6.719027760000017,78,167,0.5524172000000362,42,115,0.006035710999981347
4gt13_90.qasm,48,123,0.033630768000080025,27,87,2.2982589469999084,48,110,0.22449655499997334,24,86,0.0026793229999384494
ex3_229.qasm,66,292,0.3055857140000171,78,300,24.557007849,105,324,0.7993772990000707,150,370,0.15650352199997997
adr4_197.qasm,1515,3338,1.4440471159999788,915,2600,135.5537421549999,1395,2996,11.596132434000083,1311,3031,0.11748973300018406
one-two-three-v1_99.qasm,54,132,0.03777990900016448,51,128,7.9540923310000835,54,135,0.7380811689999973,42,114,0.00663420900013989
mini-alu_167.qasm,192,382,0.1150628330001382,147,312,2.463227224000093,159,327,0.46784632899993994,138,305,0.009601457999906415
alu-v2_30.qasm,204,479,0.14867327599995406,168,452,33.909635219000165,201,491,1.3003652879999663,171,443,0.010683055000072272
4gt5_76.qasm,9,65,0.010793697000053726,9,65,1.4600051720001375,9,65,0.05871116899993467,24,77,0.004564856000115469
rd53_131.qasm,84,340,0.18637018699996588,66,322,3.893858324999883,90,356,0.5472142730000087,180,409,0.023552663000145913
mini_alu_305.qasm,84,133,0.04997361699997782,57,99,0.7419636919998993,57,114,0.6731897189999927,81,141,0.007397425999897678
