,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time,A* CNOTs,A* Depth,A* Time
SK_6_1 (grid_search_30_30),27,58,0.013157850999999887,33,65,0.1837518520000001,27,58,0.05036171400000011,36,63,0.003076386000000042
SK_6_1 (grid_search_60_60),24,47,0.012045294000000428,30,53,0.47012991800000004,21,45,0.5212525640000001,36,63,0.002819024999999975
SK_7_1 (grid_search_30_30),42,76,0.021014452999999822,54,77,0.483360217,42,75,0.3973143730000004,54,76,0.0033358550000004428
SK_7_1 (grid_search_60_60),36,74,0.01772731400000005,54,80,0.40098209200000046,30,69,0.1376334520000002,54,76,0.0033654619999996527
SK_8_1 (grid_search_30_30),57,89,0.028901923999999468,75,92,1.0289016470000005,57,94,3.0968275100000007,75,99,0.003866233999998414
SK_8_1 (grid_search_60_60),57,97,0.029005777000000066,102,124,0.48008724700000016,60,100,2.41715432,75,99,0.00400565700000044
SK_9_1 (grid_search_30_30),81,121,0.040640869000000635,123,141,1.2482584120000002,81,121,3.4664960119999986,96,119,0.004751263999999367
SK_9_1 (grid_search_60_60),78,134,0.05523333100000016,120,153,3.1143399390000006,81,119,4.917681978000001,96,119,0.0054632129999987455
SK_10_1 (grid_search_30_30),105,129,0.07889039900000228,180,179,9.807926202999997,102,129,5.606942771000007,117,139,0.005170624000001567
SK_10_1 (grid_search_60_60),102,126,0.06732800099999992,153,156,2.3340919539999945,102,126,5.463390051000005,117,139,0.005498942000002671
SK_11_1 (grid_search_30_30),147,155,0.08194663300000116,237,229,1.5981746799999996,135,156,12.148303012999996,144,157,0.005663792000007106
SK_11_1 (grid_search_60_60),126,164,0.07450665700000059,198,192,11.655694083,126,161,13.846027726000003,144,157,0.006158434000013813
SK_12_1 (grid_search_30_30),189,184,0.09111314899999456,222,190,4.883944077999999,165,178,12.361462168000003,171,180,0.007517696000007845
SK_12_1 (grid_search_60_60),174,219,0.09386247800000547,279,252,1.5354930179999968,168,208,16.807905406000003,171,180,0.0076708610000082444
SK_13_1 (grid_search_30_30),264,222,0.16771978299999546,306,247,16.56369572599999,225,233,23.328934734,210,201,0.0077206269999976485
SK_13_1 (grid_search_60_60),219,219,0.12661305700001435,273,220,22.245316261,210,212,21.405534923000005,210,201,0.0072163159999831805
SK_14_1 (grid_search_30_30),279,234,0.17070266599998263,297,252,16.139665447,213,184,25.815374057999975,255,234,0.00916616899996825
SK_14_1 (grid_search_60_60),309,276,0.2100233660000299,438,317,4.456437041000015,264,249,34.02259155600001,255,234,0.009961105000002135
SK_15_1 (grid_search_30_30),312,264,0.19262765700000273,390,265,18.09971172600001,312,245,37.27810918899996,309,272,0.011834426999996595
SK_15_1 (grid_search_60_60),318,290,0.16151547900000196,378,252,11.583600738999962,303,251,27.146836999000016,309,272,0.009963117000040711
SK_16_1 (grid_search_30_30),321,261,0.187865803999955,498,406,26.043279807000033,300,256,29.221419059000027,372,321,0.012653135999983078
SK_16_1 (grid_search_60_60),342,279,0.1990670079999859,459,290,26.21732370999996,351,291,35.646970934000024,372,321,0.012121514999989813
SK_17_1 (grid_search_30_30),459,355,0.26313939599992864,690,475,27.98897195500001,438,358,50.173294451999936,444,384,0.015538006000042515
SK_17_1 (grid_search_60_60),420,299,0.23489937399995142,477,261,22.646643211999958,354,242,44.879957020000006,444,384,0.016483152999967388
SK_18_1 (grid_search_30_30),498,343,0.419481635000011,564,369,35.32167259999994,438,328,67.55419109800005,540,467,0.03691361500000312
SK_18_1 (grid_search_60_60),405,312,0.2852022309999711,639,325,40.28343104999999,387,284,54.776056864,540,467,0.024058650999904785
