,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
SK_6_1 (grid_search_30_30),36,62,0.017548484999999836,42,59,0.4710477590000002,36,52,0.41867810500000013,0.0,1.0344827586206897,0.964284927869625,1.0,0.0,36,63,0.0034606550000000347
SK_6_1 (grid_search_60_60),36,60,0.016127679000000228,42,59,0.9492704109999996,36,52,0.30279443399999995,0.0,1.0344827586206897,0.964284927869625,1.0,0.0,36,63,0.003266942000000661
SK_7_1 (grid_search_30_30),54,75,0.028570565999999964,93,83,3.576905957000001,57,69,0.48933161899999966,0.0,1.2,1.1161157134071205,1.0,0.0,54,76,0.0034952950000004535
SK_7_1 (grid_search_60_60),48,70,0.024546664999999024,72,80,2.1081182500000004,57,69,0.5958420249999996,0.0,1.2,1.1161157134071205,1.0,0.0,54,76,0.003387705999999824
SK_8_1 (grid_search_30_30),66,105,0.03681598800000074,111,124,3.1274218339999997,84,99,2.3300350740000013,0.0,1.3658536585365855,1.2832142866308198,1.0,0.0,75,99,0.004140030999998601
SK_8_1 (grid_search_60_60),72,104,0.03966317499999761,102,114,2.849600917,90,106,0.7429324689999994,0.0,1.3658536585365855,1.2832142866308198,1.0,0.0,75,99,0.004938660000000539
SK_9_1 (grid_search_30_30),96,116,0.054020029000000136,177,164,5.777913401999999,138,146,3.146533527999999,0.0,1.5319148936170213,1.4417935613699926,1.0,0.0,96,119,0.00465712899999815
SK_9_1 (grid_search_60_60),87,123,0.05820464900000033,141,154,4.348000268999996,141,174,2.969001590000005,0.0,1.5319148936170213,1.4417935613699926,1.0,0.0,96,119,0.005307530999999699
SK_10_1 (grid_search_30_30),129,140,0.07675999700000347,207,210,8.003986734000001,177,169,6.492107677,0.0,1.6981132075471699,1.6087602828145064,1.0,0.0,117,139,0.005398378999998954
SK_10_1 (grid_search_60_60),105,137,0.05938542700000227,168,174,7.919939889999995,162,164,3.2333273019999993,0.0,1.6981132075471699,1.6087602828145064,1.0,0.0,117,139,0.0059977119999956585
SK_11_1 (grid_search_30_30),132,168,0.08121672900000476,276,221,17.394522827000003,186,161,2.2296770549999962,0.0,1.8644067796610169,1.7703550071890835,1.0,0.0,144,157,0.006173324999991792
SK_11_1 (grid_search_60_60),129,151,0.07544770399999834,237,175,12.71186102,201,172,8.011509556000007,0.0,1.8644067796610169,1.7703550071890835,1.0,0.0,144,157,0.005938407000002144
SK_12_1 (grid_search_30_30),165,179,0.09747364199999708,216,167,21.405640230000017,216,166,7.875522318999998,0.0,2.0307692307692307,1.9372401524550393,1.0,0.0,171,180,0.009867681000002904
SK_12_1 (grid_search_60_60),201,196,0.11428470500001708,288,206,24.430565910000013,282,223,9.187469341999986,0.0,2.0307692307692307,1.9372401524550393,1.0,0.0,171,180,0.0071440490000043155
SK_13_1 (grid_search_30_30),210,196,0.14055418799998165,330,203,29.334723146999977,288,243,19.781484742999993,0.0,2.1971830985915495,2.100434014907859,1.0,0.0,210,201,0.008936132999991742
SK_13_1 (grid_search_60_60),210,171,0.14278850200000193,381,268,17.634416801000015,408,307,10.123112321000008,0.0,2.1971830985915495,2.100434014907859,1.0,0.0,210,201,0.008837029999995138
SK_14_1 (grid_search_30_30),258,213,0.18311221400000477,432,311,37.06030201200002,402,260,19.118697147999967,0.0,2.3636363636363638,2.267266166061805,1.0,0.0,255,234,0.00930047599996442
SK_14_1 (grid_search_60_60),270,235,0.17017991699998447,396,302,22.53789574000001,417,294,17.917035484999985,0.0,2.3636363636363638,2.267266166061805,1.0,0.0,255,234,0.009377983000035783
SK_15_1 (grid_search_30_30),336,248,0.20534697599998708,414,262,35.187043595000034,447,306,26.257654951000006,0.0,2.5301204819277108,2.431407690819884,1.0,0.0,309,272,0.012291004999951838
SK_15_1 (grid_search_60_60),264,231,0.1800388830000088,615,424,38.35578987700001,606,463,20.96134260299999,0.0,2.5301204819277108,2.431407690819884,1.0,0.0,309,272,0.011511881999979323
SK_16_1 (grid_search_30_30),300,251,0.27848412899999175,423,284,56.92640378500005,396,282,37.94760631200006,0.0,2.696629213483146,2.5982037631990353,1.0,0.0,372,321,0.013455305999968914
SK_16_1 (grid_search_60_60),321,268,0.20773461700002827,441,327,18.56012045199998,510,345,35.519474316000014,0.0,2.696629213483146,2.5982037631990353,1.0,0.0,372,321,0.013245778999930735
SK_17_1 (grid_search_30_30),390,285,0.26240101999997023,546,350,29.446040003999997,486,346,34.02535513400005,0.0,2.863157894736842,2.7629523733091235,1.0,0.0,444,384,0.016206349999947633
SK_17_1 (grid_search_60_60),438,313,0.3390914949999342,699,391,44.02646545699997,456,287,38.601561676000074,0.0,2.863157894736842,2.7629523733091235,1.0,0.0,444,384,0.016723726000009265
SK_18_1 (grid_search_30_30),456,326,0.3061235300000362,702,368,101.30502438999997,795,588,27.79268567700001,0.0,3.0297029702970297,2.9297228792834855,1.0,0.0,540,467,0.02643094600000495
SK_18_1 (grid_search_60_60),411,337,0.25176188799991905,696,454,54.693999589999976,654,427,53.197029299000064,0.0,3.0297029702970297,2.9297228792834855,1.0,0.0,540,467,0.02404748699996162
