,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
SK_6_1 (grid_search_30_30),27,59,0.01531827500000027,60,75,0.4383469419999999,27,59,0.02596351199999969,1.0,1.0344827586206897,0.964284927869625,1.0,0.0,33,72,0.002568541999999674
SK_6_1 (grid_search_60_60),27,57,0.01466841299999988,39,67,0.28322791800000013,27,57,0.026861550000000012,1.0,1.0344827586206897,0.964284927869625,1.0,0.0,33,72,0.0021007279999998296
SK_7_1 (grid_search_30_30),51,87,0.029816405000000046,78,107,0.9475865089999997,45,86,0.03971496000000041,1.0,1.2,1.1161157134071205,1.0,0.0,51,104,0.0029291880000004156
SK_7_1 (grid_search_60_60),45,70,0.021015891999999425,66,97,0.5561542609999997,45,70,0.03343330199999972,1.0,1.2,1.1161157134071205,1.0,0.0,51,104,0.002478711000000189
SK_8_1 (grid_search_30_30),63,99,0.04335797799999952,132,141,3.0464709710000006,63,99,0.050380119999999806,1.0,1.3658536585365855,1.2832142866308198,1.0,0.0,75,141,0.0033805610000001707
SK_8_1 (grid_search_60_60),63,98,0.03355430700000106,93,112,0.4922018460000004,63,101,0.04937226299999864,1.0,1.3658536585365855,1.2832142866308198,1.0,0.0,75,141,0.003635331999999991
SK_9_1 (grid_search_30_30),84,122,0.04314285400000095,147,153,4.701022935999999,84,122,0.06604837699999955,1.0,1.5319148936170213,1.4417935613699926,1.0,0.0,129,193,0.005704066999999924
SK_9_1 (grid_search_60_60),84,122,0.04403237500000046,129,163,4.425467229000001,84,122,0.06724539500000049,1.0,1.5319148936170213,1.4417935613699926,1.0,0.0,129,193,0.005687496000000181
SK_10_1 (grid_search_30_30),126,132,0.09326278800000054,249,181,7.099228487999998,126,137,0.09381150599999799,1.0,1.6981132075471699,1.6087602828145064,1.0,0.0,174,230,0.007275693000000416
SK_10_1 (grid_search_60_60),102,138,0.058454728999997485,201,211,4.800227909999997,102,137,0.08310631799999868,1.0,1.6981132075471699,1.6087602828145064,1.0,0.0,174,230,0.007771110000000192
SK_11_1 (grid_search_30_30),171,155,0.09611225599999784,297,273,11.140023497000001,177,155,0.12141112799999831,1.0,1.8644067796610169,1.7703550071890835,1.0,0.0,237,277,0.010461454000001424
SK_11_1 (grid_search_60_60),183,157,0.11395891699999794,336,302,10.925109544000001,183,162,0.2321621429999965,1.0,1.8644067796610169,1.7703550071890835,1.0,0.0,237,277,0.010113236999998776
SK_12_1 (grid_search_30_30),255,224,0.1431826110000003,339,292,13.428184322999996,237,218,0.16547363000000814,1.0,2.0307692307692307,1.9372401524550393,1.0,0.0,288,341,0.01237844800000687
SK_12_1 (grid_search_60_60),231,204,0.13874964000000034,309,262,23.167559420999993,237,217,0.18044167600000094,1.0,2.0307692307692307,1.9372401524550393,1.0,0.0,288,341,0.012211470000011104
SK_13_1 (grid_search_30_30),204,219,0.1267955069999971,456,327,23.993257662999994,216,231,0.16725129999998956,1.0,2.1971830985915495,2.100434014907859,1.0,0.0,348,415,0.01381805299999428
SK_13_1 (grid_search_60_60),213,188,0.13173256800000388,444,371,17.81471549999999,213,188,0.16699627699998132,1.0,2.1971830985915495,2.100434014907859,1.0,0.0,348,415,0.013869642999992493
SK_14_1 (grid_search_30_30),270,251,0.159757782000014,501,352,26.18348536900001,264,248,0.8528239679999956,1.0,2.3636363636363638,2.267266166061805,1.0,0.0,390,489,0.032569135999978016
SK_14_1 (grid_search_60_60),297,268,0.6016033070000049,609,414,24.775317726000026,312,245,0.24925440499998786,1.0,2.3636363636363638,2.267266166061805,1.0,0.0,390,489,0.016591270000020586
SK_15_1 (grid_search_30_30),327,265,0.19473806999999965,561,452,31.520505688000014,360,306,0.2703118100000097,1.0,2.5301204819277108,2.431407690819884,1.0,0.0,453,553,0.017379927000007456
SK_15_1 (grid_search_60_60),375,315,0.2070154070000001,546,418,20.73481088700001,381,355,0.2528930809999963,1.0,2.5301204819277108,2.431407690819884,1.0,0.0,453,553,0.018197969999988572
SK_16_1 (grid_search_30_30),360,353,0.21953313299999877,609,458,41.764699683,336,332,0.257837593999966,1.0,2.696629213483146,2.5982037631990353,1.0,0.0,537,649,0.019123949999993783
SK_16_1 (grid_search_60_60),396,340,0.34445235999999113,699,502,27.497960250000006,417,351,0.31334200800000644,1.0,2.696629213483146,2.5982037631990353,1.0,0.0,537,649,0.019027367999967737
SK_17_1 (grid_search_30_30),420,333,0.36542768999999,750,595,56.598491465999984,468,367,0.4651184180000314,1.0,2.863157894736842,2.7629523733091235,1.0,0.0,648,750,0.02377776299999823
SK_17_1 (grid_search_60_60),504,361,0.3248829479999813,987,627,51.65523872299997,507,387,0.37684553100001494,1.0,2.863157894736842,2.7629523733091235,1.0,0.0,648,750,0.02276177299995652
SK_18_1 (grid_search_30_30),567,317,0.4280036570000334,963,657,68.76702842500003,570,369,0.7093559460000165,1.0,3.0297029702970297,2.9297228792834855,1.0,0.0,747,847,0.032232597999950485
SK_18_1 (grid_search_60_60),594,408,0.5922871940000505,867,480,36.08848200400007,573,443,0.40895569799999976,1.0,3.0297029702970297,2.9297228792834855,1.0,0.0,747,847,0.02651857499995458
