,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time,A* CNOTs,A* Depth,A* Time
SK_6_1 (grid_search_30_30),18,56,0.013953841999999828,36,58,0.18164469000000016,15,57,0.05396198100000005,21,46,0.006202963000000228
SK_6_1 (grid_search_60_60),15,57,0.010845298000000003,30,59,0.12816834300000002,15,57,0.020996822999999942,21,46,0.006730222999999924
SK_7_1 (grid_search_30_30),21,70,0.017872604999999986,57,73,1.8013867260000005,21,69,0.17562320700000011,27,67,0.006459322999999628
SK_7_1 (grid_search_60_60),21,70,0.014918966999999839,45,78,0.489607586,21,69,0.10973396099999988,27,67,0.006491041000000308
SK_8_1 (grid_search_30_30),48,88,0.030217391999999954,51,75,5.227204639,45,84,2.0593660070000013,45,88,0.01072377600000074
SK_8_1 (grid_search_60_60),42,89,0.026732523999999813,69,87,3.1027183339999986,42,89,1.621081353000001,45,88,0.009072263000000191
SK_9_1 (grid_search_30_30),54,108,0.036957772999997474,87,105,3.2883762049999987,54,105,4.29615699,69,115,0.014122325999998964
SK_9_1 (grid_search_60_60),51,107,0.03608719900000068,84,105,4.9359842060000005,51,103,2.911795688999998,69,115,0.015842839999997693
SK_10_1 (grid_search_30_30),72,140,0.04769482199999686,111,131,6.782493518999999,66,131,7.168692460000003,96,149,0.022212078999999108
SK_10_1 (grid_search_60_60),75,145,0.05535751000000033,105,139,11.235684356,69,132,6.007402010000007,96,149,0.028118715000005068
SK_11_1 (grid_search_30_30),111,181,0.08073420899999917,138,140,14.239092025000005,90,155,8.247152213999996,114,176,0.022827026000001638
SK_11_1 (grid_search_60_60),90,142,0.05919537000001185,135,154,8.322537589999996,93,137,10.563276443000007,114,176,0.025658946000007177
SK_12_1 (grid_search_30_30),132,175,0.0967654810000056,198,204,13.112820990000003,120,170,16.857630002999997,141,196,0.028034480000002304
SK_12_1 (grid_search_60_60),153,193,0.13301372999998762,177,176,11.075823837000002,126,208,15.063247939000007,141,196,0.026011743999987402
SK_13_1 (grid_search_30_30),129,189,0.09851550900000916,246,198,20.181647271000003,123,182,14.041820920999982,171,223,0.028562203000007003
SK_13_1 (grid_search_60_60),153,195,0.11165186899998503,210,175,17.517583608999985,129,204,19.87064605500001,171,223,0.03141333600001417
SK_14_1 (grid_search_30_30),195,204,0.14992172399999504,267,207,20.782523878000006,159,218,24.39201927199997,204,245,0.032349545999977636
SK_14_1 (grid_search_60_60),195,225,0.15104248899996264,303,224,20.566654717000006,174,217,25.119143412000028,204,245,0.03486569099999315
SK_15_1 (grid_search_30_30),228,229,0.18822659799997155,354,240,24.37019483900002,222,236,32.65186399199996,237,270,0.0376791540000454
SK_15_1 (grid_search_60_60),195,226,0.1580387849999738,273,207,31.966932595000003,183,227,30.969336333,237,270,0.03701296500003082
SK_16_1 (grid_search_30_30),270,251,0.20144405100000995,354,267,31.548698935000004,243,266,27.16580202,267,293,0.03852374100006273
SK_16_1 (grid_search_60_60),246,346,0.19602911900005893,324,236,42.19329591499991,252,303,44.67807296299998,267,293,0.042404161000035856
SK_17_1 (grid_search_30_30),246,307,0.24494676899996648,438,303,43.48187981399997,312,285,53.01574649999998,303,319,0.04728259499995602
SK_17_1 (grid_search_60_60),297,318,0.2576562000000422,348,260,42.27904705399999,279,275,49.603318833,303,319,0.042446238000025005
SK_18_1 (grid_search_30_30),351,337,0.30588187000000744,531,359,49.75317453100001,312,310,63.67799960299999,345,341,0.048567994999984876
SK_18_1 (grid_search_60_60),324,368,0.2795380049999494,501,304,37.514301065999916,339,327,72.887358834,345,341,0.05123200899993208
