,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
SK_6_1 (grid_search_30_30),18,51,0.01300021100000004,24,56,0.03272082100000029,18,52,0.0318071419999999,1.0,1.0344827586206897,0.964284927869625,1.0,0.0,21,46,0.006934959000000074
SK_6_1 (grid_search_60_60),18,51,0.01186129700000027,42,57,1.406914758,18,55,0.029501476000000082,1.0,1.0344827586206897,0.964284927869625,1.0,0.0,21,46,0.0062541280000001365
SK_7_1 (grid_search_30_30),27,68,0.019275597000000033,48,69,1.29229063,30,63,0.15452921500000016,1.0,1.2,1.1161157134071205,1.0,0.0,27,67,0.006996713000000376
SK_7_1 (grid_search_60_60),21,71,0.015106928000000686,54,80,1.0971919789999998,21,69,0.03373552899999943,1.0,1.2,1.1161157134071205,1.0,0.0,27,67,0.0069472159999985905
SK_8_1 (grid_search_30_30),42,80,0.027857350999999753,87,105,2.699522744000001,42,80,0.05310273399999943,1.0,1.3658536585365855,1.2832142866308198,1.0,0.0,45,88,0.009156528000000108
SK_8_1 (grid_search_60_60),36,85,0.026280821000000287,69,85,2.7295580190000006,51,95,0.06200934100000133,1.0,1.3658536585365855,1.2832142866308198,1.0,0.0,45,88,0.009259426999999931
SK_9_1 (grid_search_30_30),60,106,0.043824252000000286,78,103,3.571079725999999,54,99,0.06989446100000052,1.0,1.5319148936170213,1.4417935613699926,1.0,0.0,69,115,0.016067129999999707
SK_9_1 (grid_search_60_60),51,98,0.038770241999998234,99,114,3.9620585890000015,51,102,0.06551536899999988,1.0,1.5319148936170213,1.4417935613699926,1.0,0.0,69,115,0.015600586999998
SK_10_1 (grid_search_30_30),63,128,0.053696590000001265,138,153,7.984737185,63,128,0.09748870700000012,0.9245283018867925,1.6981132075471699,1.6087602828145064,1.0,0.0,96,149,0.024708873000001574
SK_10_1 (grid_search_60_60),66,141,0.06478019299999715,111,123,6.836383658000003,66,141,0.09531875500000098,0.9245283018867925,1.6981132075471699,1.6087602828145064,1.0,0.0,96,149,0.023402993000004813
SK_11_1 (grid_search_30_30),93,145,0.07885221800000153,147,164,10.285310278000004,99,168,0.11795636899999806,1.0,1.8644067796610169,1.7703550071890835,1.0,0.0,114,176,0.02513925499999914
SK_11_1 (grid_search_60_60),78,135,0.06855116399999872,192,184,10.715467330000003,78,135,0.10806517299999996,1.0,1.8644067796610169,1.7703550071890835,1.0,0.0,114,176,0.026395049999997866
SK_12_1 (grid_search_30_30),102,171,0.09249504600000336,210,182,9.179797435000005,102,182,0.1322294480000039,1.0,2.0307692307692307,1.9372401524550393,1.0,0.0,141,196,0.028845368000006033
SK_12_1 (grid_search_60_60),96,168,0.08430819199999462,162,168,15.205600759000006,102,170,0.1376398000000023,1.0,2.0307692307692307,1.9372401524550393,1.0,0.0,141,196,0.028563829000006535
SK_13_1 (grid_search_30_30),159,221,0.13680117900000255,222,183,12.605729331999996,174,231,0.19669863200000748,1.0,2.1971830985915495,2.100434014907859,1.0,0.0,171,223,0.03249061100000006
SK_13_1 (grid_search_60_60),138,229,0.1344491290000036,225,183,27.775543955000003,135,215,0.16912975700000743,1.0,2.1971830985915495,2.100434014907859,1.0,0.0,171,223,0.03212611799997944
SK_14_1 (grid_search_30_30),162,211,0.14584214199999224,336,244,107.588648904,171,247,0.20441900000000146,1.0,2.3636363636363638,2.267266166061805,1.0,0.0,204,245,0.03681698799999822
SK_14_1 (grid_search_60_60),183,242,0.176201237000015,327,256,41.70916223199998,180,259,0.20483066299999564,1.0,2.3636363636363638,2.267266166061805,1.0,0.0,204,245,0.036266900000043734
SK_15_1 (grid_search_30_30),255,270,0.25669123299996954,342,254,415.56184630999996,258,272,0.2736937820000094,1.0,2.5301204819277108,2.431407690819884,1.0,0.0,237,270,0.0357621210000616
SK_15_1 (grid_search_60_60),201,249,0.1659205189999966,393,275,330.42134545399995,210,260,0.24950749300001007,1.0,2.5301204819277108,2.431407690819884,1.0,0.0,237,270,0.038528987999825404
SK_16_1 (grid_search_30_30),264,302,0.19349544900001092,402,279,244.0284727180001,249,283,0.2661871099999189,1.0,2.696629213483146,2.5982037631990353,1.0,0.0,267,293,0.03743946000008691
SK_16_1 (grid_search_60_60),270,266,0.21201609400009147,408,291,67.8188845059999,279,255,0.2817789599998832,1.0,2.696629213483146,2.5982037631990353,1.0,0.0,267,293,0.037196681000068565
SK_17_1 (grid_search_30_30),264,312,0.22598458100014795,450,317,1350.0772462979999,276,297,0.3229607670000405,1.0,2.863157894736842,2.7629523733091235,1.0,0.0,303,319,0.042611805999968055
SK_17_1 (grid_search_60_60),258,264,0.2267823040001531,441,279,106.14941338599965,264,290,0.3056463610000719,1.0,2.863157894736842,2.7629523733091235,1.0,0.0,303,319,0.04102298099996915
SK_18_1 (grid_search_30_30),327,306,0.29711491699981707,537,297,273.78086008699984,327,356,0.42810169699987455,1.0,3.0297029702970297,2.9297228792834855,1.0,0.0,345,341,0.07262358500020127
SK_18_1 (grid_search_60_60),339,335,2.8508536519998415,513,359,331.2709071930003,360,387,0.35453528099969844,1.0,3.0297029702970297,2.9297228792834855,1.0,0.0,345,341,0.04658548699990206
