,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
4_49_16.qasm,171,319,0.08112487199999974,174,283,0.22076153600000037,174,283,0.30078964600000013,0.792,0.4947079946796899,1.2577319587628866,1.195165092469232,138,273,0.005318846999999849
sys6-v0_111.qasm,180,213,0.08921927299999988,168,178,4.91901887,201,205,0.6816357160000006,1.3066666666666666,0.7478561953269417,1.25,1.224744871391589,153,217,0.005762983000000332
rd53_130.qasm,852,1479,0.38419133000000016,837,1238,2.472225355999999,837,1237,0.8324999029999987,0.7873462214411248,0.5486344972651767,1.858744394618834,3.2192320397413536,873,1448,0.02665670799999731
alu-v2_31.qasm,306,587,0.168100711000001,246,476,2.6062671549999976,282,514,0.30472286199999843,0.7764705882352941,0.4861163563181619,1.532994923857868,1.7812268813994239,324,601,0.01017807999999576
4gt5_77.qasm,99,182,0.04635514900000004,111,169,0.18361066599999987,111,166,0.1399574849999965,0.7837837837837838,0.5268537483680521,1.4210526315789473,1.5326547135327409,90,161,0.005131769000001896
radd_250.qasm,2934,4550,1.5375527009999956,2853,3536,56.171908971,2664,3652,5.168584070999998,0.7888826501965188,0.5478864891403444,2.1525302922309337,5.076700268356152,2730,4341,0.0869421889999984
mod10_176.qasm,135,252,0.05820592800000668,126,211,0.14755585899999346,126,211,0.14751153499999248,0.7722772277227723,0.5050475542517564,1.4935064935064934,1.7027355883178306,126,241,0.004756498000006104
C17_204.qasm,351,627,0.1634468469999888,336,515,2.075292647000012,345,552,0.39750383400000544,0.8102766798418972,0.5584184351762643,1.6157635467980296,2.6205229770322416,408,641,0.01382517199999711
0410184_169.qasm,153,223,0.07415912199999752,147,202,0.9981052799999901,147,199,0.3233908570000068,1.0,0.6793662204867574,3.377551020408163,9.669555955153571,273,314,0.030512931000004073
con1_216.qasm,858,1387,0.37990688000000716,858,957,6.225589554999985,1041,960,1.241377708999977,0.8169291338582677,0.5646656202519553,1.9806295399515739,4.029505294806142,768,1285,0.019424352000015688
