,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
4_49_16.qasm,174,322,0.0864406790000003,174,286,0.32042319200000025,165,280,0.3853904469999998,0.0,0.792,0.4947079946796899,1.2577319587628866,1.195165092469232,138,273,0.0051019220000001475
sys6-v0_111.qasm,168,187,0.0885437360000001,177,191,10.61126356,168,187,7.003905534000001,0.0,1.3066666666666666,0.7478561953269417,1.25,1.224744871391589,153,217,0.005710247999999751
rd53_130.qasm,894,1519,0.5105641580000011,936,1191,1.0146932390000032,903,1164,1.3187977050000015,0.0,0.7873462214411248,0.5486344972651767,1.858744394618834,3.2192320397413536,873,1448,0.031011313000000484
alu-v2_31.qasm,306,582,0.2707122129999959,267,496,1.9397672650000004,267,496,2.361579388999999,0.0,0.7764705882352941,0.4861163563181619,1.532994923857868,1.7812268813994239,324,601,0.010235614999999143
4gt5_77.qasm,99,182,0.04612205699999805,111,166,0.1493041049999988,105,168,0.17946467100000518,0.0,0.7837837837837838,0.5268537483680521,1.4210526315789473,1.5326547135327409,90,161,0.0056860299999996755
radd_250.qasm,2805,4498,1.4639009579999964,2856,3540,54.113892413,2682,3591,42.36613588999998,0.027512633352049412,0.7888826501965188,0.5478864891403444,2.1525302922309337,5.076700268356152,2730,4341,0.09203655899997898
mod10_176.qasm,138,237,0.06952225999998518,117,198,2.1522292989999983,117,207,2.391896836000001,0.0,0.7722772277227723,0.5050475542517564,1.4935064935064934,1.7027355883178306,126,241,0.0052489039999841225
C17_204.qasm,366,630,0.17719952999999578,336,529,4.167325328999993,330,521,3.6234956209999893,0.0,0.8102766798418972,0.5584184351762643,1.6157635467980296,2.6205229770322416,408,641,0.01443884299999354
0410184_169.qasm,177,253,0.08913855899999135,174,220,0.31629330199999117,174,220,0.3724726920000023,0.0,1.0,0.6793662204867574,3.377551020408163,9.669555955153571,273,314,0.031346309000014116
con1_216.qasm,786,1294,0.3986294649999991,738,1019,9.579143125999991,747,943,11.93175237600002,0.0,0.8169291338582677,0.5646656202519553,1.9806295399515739,4.029505294806142,768,1285,0.02398993599999244
