,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
4_49_16.qasm,171,318,0.07848634600000004,174,283,0.2128866079999998,174,283,0.28831528299999976,0.792,0.4947079946796899,1.2577319587628866,1.195165092469232,165,308,0.005879954000000076
sys6-v0_111.qasm,204,250,0.09582090100000062,180,198,3.2742857770000002,180,197,0.9041578010000002,1.3066666666666666,0.7478561953269417,1.25,1.224744871391589,198,232,0.007187035000001174
rd53_130.qasm,885,1529,0.4718945440000013,864,1309,1.0862651339999978,864,1309,0.9638830590000005,0.7873462214411248,0.5486344972651767,1.858744394618834,3.219232039741354,948,1494,0.033744873999999925
alu-v2_31.qasm,345,657,0.25701503999999886,369,644,0.2719645729999982,369,644,0.27699052900000254,0.7764705882352941,0.4861163563181619,1.532994923857868,1.7812268813994239,354,643,0.008951637999999207
4gt5_77.qasm,99,187,0.04675801100000143,99,176,0.06587617899999998,99,176,0.06356038499999528,0.7837837837837838,0.5268537483680521,1.4210526315789473,1.5326547135327409,99,181,0.004377842000003795
radd_250.qasm,3093,4885,1.5938829409999968,3057,3773,21.768764421,3078,3718,5.140576187000008,0.7888826501965188,0.5478864891403444,2.1525302922309337,5.076700268356152,3015,4653,0.09074017900000797
mod10_176.qasm,132,254,0.062141108999995254,123,225,0.13206637499999374,123,225,0.13451184099999125,0.7722772277227723,0.5050475542517564,1.4935064935064934,1.7027355883178306,120,234,0.003288425000008033
C17_204.qasm,411,665,0.24269157499999494,411,535,0.40729375400000833,411,535,0.39999247100000446,0.8102766798418972,0.5584184351762643,1.6157635467980296,2.6205229770322416,384,643,0.012892844000006676
0410184_169.qasm,165,245,0.0738553039999914,177,242,0.5101618040000062,177,242,0.21555721600000766,1.0,0.6793662204867574,3.377551020408163,9.669555955153571,249,273,0.014109933000000296
con1_216.qasm,858,1325,0.3739671419999979,1056,927,7.189272705999997,918,971,1.5411776270000104,0.8169291338582677,0.5646656202519553,1.9806295399515739,4.029505294806142,939,1424,0.03354502699998818
rd53_311.qasm,279,366,0.12734730600000432,300,348,6.439610770000002,300,343,0.9152716680000026,1.0,0.6350006350009525,1.5867768595041323,2.953270834114238,264,374,0.015791057000001274
4gt13_91.qasm,63,140,0.027035999000005972,69,127,0.050195720999994364,69,127,0.049071720000000596,0.8032786885245902,0.4728591836674085,1.2708333333333333,1.3028747594795473,66,138,0.0027806200000100034
one-two-three-v0_98.qasm,102,205,0.04663845999999694,102,188,0.06762240000000475,102,188,0.06812881300000129,0.7926829268292683,0.5117593965452997,1.296875,1.2708226604743087,108,194,0.002921006999997644
4gt13_90.qasm,78,157,0.03247796099999789,78,135,0.052119447999999124,78,135,0.05174990100000798,0.8153846153846154,0.4605116783721774,1.25,1.2538402548233107,78,147,0.003284344000007877
ex3_229.qasm,309,571,0.13650977999999725,291,520,0.17805661100000236,291,520,0.17835720600000116,0.7743362831858407,0.5043665546275776,1.5919540229885059,2.729183212864311,339,582,0.010057927000005407
adr4_197.qasm,3222,4989,1.5833215259999918,3630,3727,45.665427394000005,3801,3535,7.915075086999991,0.8145731375747689,0.5710857217000208,2.0561872909698997,4.86247526788655,3897,5415,0.13761015099998986
one-two-three-v1_99.qasm,105,197,0.04615946600000598,99,167,0.06328662700002496,99,167,0.06153357599998799,0.7763157894736842,0.47569019690855835,1.206896551724138,1.0947936459577619,99,173,0.003506447000006574
mini-alu_167.qasm,219,413,0.10012858400000368,201,376,0.13096060600000214,201,376,0.1304730989999996,0.7777777777777778,0.5211573066470477,1.384,1.4685176199147216,219,397,0.007331305000008115
alu-v2_30.qasm,447,770,0.1937441480000075,438,641,0.5969246669999961,438,643,0.5103203869999788,0.7824561403508772,0.497404776046859,1.4774774774774775,1.8446262193551233,462,688,0.018522149999995463
4gt5_76.qasm,72,140,0.029969393999977,72,120,0.04626362499999459,72,120,0.04482769899999539,0.8214285714285714,0.46702488680792925,1.288888888888889,1.2404698432846994,66,126,0.0022914799999966817
rd53_131.qasm,378,687,0.260246364000011,369,571,0.8765455490000136,369,577,0.428593941999992,0.7662835249042146,0.5351380923193345,1.8282828282828283,3.096235590051098,387,632,0.010401863000026879
mini_alu_305.qasm,165,253,0.07799645200000782,210,220,2.7387392219999924,210,217,0.7898076369999956,1.1159420289855073,0.7715264727076036,1.131578947368421,1.0303564184448364,138,188,0.004576114999991887
4mod7-v0_94.qasm,120,236,0.054282309000001305,129,205,0.1343352600000003,129,205,0.1311687500000005,0.782608695652174,0.5070392952039391,1.4507042253521127,2.0195434736828077,111,218,0.0032087179999962245
z4_268.qasm,2970,4483,1.3057325990000095,3045,3603,36.90116056999997,3054,3590,6.227768798999989,0.8169099756690997,0.5772922692695561,2.02386278896346,4.307636455762435,3291,4776,0.11451707499998065
cm82a_208.qasm,648,1006,0.27980572100000245,513,776,2.0493761220000124,513,776,1.1196058010000343,0.8397626112759644,0.5643913793694358,1.7224199288256228,3.206060072769664,555,895,0.012444047999963459
aj-e11_165.qasm,126,219,0.057045015999960924,99,188,0.07012793799998462,99,188,0.06594963800000642,0.8023255813953488,0.47787726948917486,1.1764705882352942,0.938415066679048,105,201,0.003927758000031645
alu-v0_26.qasm,66,113,0.030531580000001668,57,108,0.04145532800004048,57,108,0.04177580099997158,0.7755102040816326,0.46358435475920606,1.3783783783783783,1.4768730910610002,69,118,0.002921268999955373
sym6_316.qasm,306,403,0.13739486599996553,339,299,2.7903344519999678,339,327,0.7369322290000468,0.9111111111111111,0.5769224438109852,1.361344537815126,1.8819402308665902,252,379,0.008423152000034406
decod24-bdd_294.qasm,60,98,0.023676852999983566,45,88,0.09844338800002106,45,88,0.09503416600000492,0.8,0.45825756949558405,1.0,0.0,39,79,0.002811541000028228
dc1_220.qasm,1857,2829,0.7880405789999827,1980,2183,7.361717264999982,1989,2161,2.1874067019999757,0.802504816955684,0.5504539092774611,1.7115384615384615,3.0905347960254046,2064,3010,0.06868412099998977
decod24-enable_126.qasm,264,506,0.14045276199999535,246,439,0.1721099439999989,246,439,0.3365283019999765,0.7842105263157895,0.47101587624906055,1.4081632653061225,1.5507518564500302,303,474,0.01211964600003057
one-two-three-v2_100.qasm,42,95,0.019536826000035035,48,94,0.03800322999995842,48,94,0.036922795999998925,0.8,0.45825756949558405,1.2903225806451613,1.0834100402417202,63,97,0.0033460949999835066
mod5adder_127.qasm,495,798,0.32433277600000565,510,700,0.5515588100000173,510,700,0.5309913850000498,0.7913907284768212,0.5142267901443082,1.4915966386554622,2.0797979795208366,510,754,0.01564568800000643
one-two-three-v3_101.qasm,48,94,0.020232980999992378,45,86,0.03089342199996281,45,86,0.03378576700004032,0.8,0.45825756949558405,1.3225806451612903,1.4230158064588891,48,88,0.0020114789999752247
mod8-10_177.qasm,363,646,0.16987102799998866,315,577,0.31715158299999757,315,577,0.31574447599996347,0.7808764940239044,0.49276925889831863,1.471794871794872,2.125057913895431,390,614,0.013972369999976308
sf_276.qasm,615,1093,0.3727586210000027,570,1000,0.45058734299999514,570,1000,0.5644448510000188,0.7724137931034483,0.5039361515779768,1.5761194029850747,2.541482089180155,609,1025,0.027432808000014575
