,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
4_49_16.qasm,174,334,0.08346493300000013,150,285,0.1631390039999996,159,312,0.13037885999999999,1.0,0.792,0.4947079946796899,1.2577319587628866,1.195165092469232,165,308,0.006717118000000077
sys6-v0_111.qasm,180,191,0.09045798099999924,177,197,1.7477090190000002,180,191,0.14013680899999947,1.0,1.3066666666666666,0.7478561953269417,1.25,1.224744871391589,198,232,0.008841308000000048
rd53_130.qasm,894,1522,0.5035470619999991,918,1222,1.0433889880000002,882,1492,0.6785267380000022,0.9648506151142355,0.7873462214411248,0.5486344972651767,1.858744394618834,3.2192320397413536,948,1494,0.03513846199999904
alu-v2_31.qasm,360,663,0.16265684100000044,348,588,0.37574590000000185,354,656,0.26912012900000093,1.0,0.7764705882352941,0.4861163563181619,1.532994923857868,1.7812268813994239,354,643,0.009261104000000131
4gt5_77.qasm,99,189,0.04826934899999813,99,176,0.06811806199999992,99,204,0.0888717409999984,1.0,0.7837837837837838,0.5268537483680521,1.4210526315789473,1.5326547135327409,99,181,0.004409346999999286
radd_250.qasm,3249,4944,1.8716295449999976,3405,3146,31.625401372000006,3165,4860,2.4408224559999923,1.0,0.7888826501965188,0.5478864891403444,2.1525302922309337,5.076700268356152,3015,4653,0.09582489099999236
mod10_176.qasm,135,252,0.07469123600000671,126,211,0.1484381490000004,135,252,0.11085296599999594,1.0,0.7722772277227723,0.5050475542517564,1.4935064935064934,1.7027355883178306,120,234,0.0035221930000091106
C17_204.qasm,384,639,0.18732487399999798,417,577,0.654266634999999,384,644,0.29158515200001034,1.0,0.8102766798418972,0.5584184351762643,1.6157635467980296,2.6205229770322416,384,643,0.012548667000004343
0410184_169.qasm,240,264,0.12623433800000328,243,242,0.18408596300000113,264,272,0.27917258500001196,1.0,1.0,0.6793662204867574,3.377551020408163,9.669555955153571,249,273,0.014313603999994484
con1_216.qasm,849,1390,0.4074205050000046,1035,1008,6.481487970000003,867,1393,0.6592229000000032,1.0,0.8169291338582677,0.5646656202519553,1.9806295399515739,4.029505294806142,939,1424,0.036898765000003664
rd53_311.qasm,267,380,0.13534414700001207,318,361,3.0209443929999935,258,367,0.19518842900001232,1.0,1.0,0.6350006350009525,1.5867768595041323,2.953270834114238,264,374,0.017649194000000534
4gt13_91.qasm,78,144,0.0348046130000057,57,125,0.047135353999991025,78,144,0.07782086599999616,1.0,0.8032786885245902,0.4728591836674085,1.2708333333333333,1.3028747594795473,66,138,0.0028452660000084506
one-two-three-v0_98.qasm,114,212,0.06155741800000669,108,181,0.13978569900000082,117,213,0.09661606699999936,1.0,0.7926829268292683,0.5117593965452997,1.296875,1.2708226604743087,108,194,0.0033833309999948824
4gt13_90.qasm,78,159,0.0360349919999976,81,151,0.05594543999998791,78,162,0.06932482499999537,1.0,0.8153846153846154,0.4605116783721774,1.25,1.2538402548233107,78,147,0.0032661430000047176
ex3_229.qasm,315,567,0.15906260100000225,288,521,0.21373107899999866,315,566,0.26169874699999696,1.0,0.7743362831858407,0.5043665546275776,1.5919540229885059,2.729183212864311,339,582,0.01078162100000668
adr4_197.qasm,3441,5034,1.7888437470000014,3615,3705,53.492290579,3357,5081,2.5970319589999917,1.0,0.8145731375747689,0.5710857217000208,2.0561872909698997,4.86247526788655,3897,5415,0.1494150819999902
one-two-three-v1_99.qasm,105,200,0.04927180900000394,99,167,0.06680018099999074,105,197,0.08724793700000077,1.0,0.7763157894736842,0.47569019690855835,1.206896551724138,1.0947936459577619,99,173,0.003404842000009012
mini-alu_167.qasm,228,416,0.11514659700000607,216,376,0.5291960600000039,228,416,0.18910141000000635,1.0,0.7777777777777778,0.5211573066470477,1.384,1.4685176199147216,219,397,0.007224653999998054
alu-v2_30.qasm,447,782,0.20954129099999363,444,640,0.7607516490000137,444,782,0.3355818349999993,1.0,0.7824561403508772,0.497404776046859,1.4774774774774775,1.8446262193551233,462,688,0.019804204000024583
4gt5_76.qasm,72,149,0.03531442700000298,78,131,0.050207575000001725,72,148,0.06419315499999811,1.0,0.8214285714285714,0.46702488680792925,1.288888888888889,1.2404698432846994,66,126,0.0024926880000180063
rd53_131.qasm,414,669,0.1980131990000018,372,538,0.38739553000002047,414,675,0.32429421699998784,1.0,0.7662835249042146,0.5351380923193345,1.8282828282828283,3.096235590051098,387,632,0.011707610000001978
mini_alu_305.qasm,156,182,0.08050149799998962,162,189,4.095636850999995,153,181,0.12215786299998399,1.0,1.1159420289855073,0.7715264727076036,1.131578947368421,1.0303564184448364,138,188,0.004383581000013237
4mod7-v0_94.qasm,111,224,0.05166101699998649,129,206,0.14356809000000226,117,234,0.0975147780000043,1.0,0.782608695652174,0.5070392952039391,1.4507042253521127,2.0195434736828077,111,218,0.003374400000012656
z4_268.qasm,2925,4634,1.4635247089999837,2865,3712,37.03278794899998,2925,4521,2.655011318999982,1.0,0.8169099756690997,0.5772922692695561,2.02386278896346,4.307636455762435,3291,4776,0.12091095300002053
cm82a_208.qasm,654,1009,0.3129660769999987,585,715,2.5049665610000034,657,1013,0.47527581700001065,1.0,0.8397626112759644,0.5643913793694358,1.7224199288256228,3.206060072769664,555,895,0.014022001000000728
aj-e11_165.qasm,117,213,0.6831624699999566,99,188,0.06840613099996062,117,212,0.09375543099997685,1.0,0.8023255813953488,0.47787726948917486,1.1764705882352942,0.938415066679048,105,201,0.0040147980000142525
alu-v0_26.qasm,66,123,0.028572378999967896,66,108,0.04223269999999957,66,123,0.051463805000025786,1.0,0.7755102040816326,0.46358435475920606,1.3783783783783783,1.4768730910610002,69,118,0.003303845999994337
sym6_316.qasm,258,377,0.12048398500002122,273,321,1.5775562460000288,276,381,0.19250828799999908,1.0,0.9111111111111111,0.5769224438109852,1.361344537815126,1.8819402308665905,252,379,0.009608286000002408
decod24-bdd_294.qasm,48,90,0.0230891400000246,51,93,0.1146235630000092,48,90,0.04111210099995333,1.0,0.8,0.45825756949558405,1.0,0.0,39,79,0.002986577000001489
dc1_220.qasm,1668,2697,0.9316978530000029,1632,2413,8.980661666999993,1734,2783,1.4471958210000366,1.0,0.802504816955684,0.5504539092774611,1.7115384615384615,3.0905347960254046,2064,3010,0.06788966299995991
decod24-enable_126.qasm,261,493,0.2920381280000015,267,436,0.1615010630000029,261,493,0.2053241640000465,1.0,0.7842105263157895,0.47101587624906055,1.4081632653061225,1.5507518564500302,303,474,0.012038285000016913
