,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
4_49_16.qasm,174,296,0.09337792,132,235,1.7800641509999995,165,237,0.2626100769999997,0.792,0.4947079946796899,1.2577319587628866,1.195165092469232,126,250,0.00972613099999986
sys6-v0_111.qasm,162,192,0.09802855799999932,144,151,9.686771109999999,147,156,1.0214350180000018,1.3066666666666666,0.7478561953269417,1.25,1.224744871391589,147,201,0.010464655999999906
rd53_130.qasm,738,1331,0.38615212900000273,663,1111,10.316739209000005,759,1199,1.4295060070000005,0.7873462214411248,0.5486344972651767,1.858744394618834,3.219232039741354,630,1178,0.03060408300000006
alu-v2_31.qasm,306,580,0.1694971289999998,261,473,2.7342780860000033,273,467,0.37857847899999797,0.7764705882352941,0.4861163563181619,1.532994923857868,1.7812268813994239,279,588,0.015397948000000383
4gt5_77.qasm,78,163,0.04436275299999437,75,144,0.8104551330000049,78,139,0.10355654399999992,0.7837837837837838,0.5268537483680521,1.4210526315789473,1.5326547135327409,78,148,0.008098578000002021
radd_250.qasm,2430,4050,1.5721007289999989,2025,2836,50.760064938,2409,3141,4.993520024000006,0.7888826501965188,0.5478864891403444,2.1525302922309337,5.076700268356152,2136,3832,0.10123247499998911
mod10_176.qasm,126,250,0.07296971700000654,93,178,0.7178922960000023,108,194,0.2179564060000132,0.7722772277227723,0.5050475542517564,1.4935064935064934,1.7027355883178306,102,218,0.009720036000004484
C17_204.qasm,348,585,0.1957194020000088,282,449,6.699940295999994,312,465,0.6426503019999927,0.8102766798418972,0.5584184351762643,1.6157635467980296,2.6205229770322416,300,552,0.01764095300001145
0410184_169.qasm,159,237,0.09513943700000027,138,133,1.5405639999999892,147,155,0.185425151000004,1.0,0.6793662204867574,3.377551020408163,9.669555955153571,189,252,0.01760976700001038
con1_216.qasm,705,1186,0.4188972290000095,564,843,10.881315941999986,654,962,1.3699025059999883,0.8169291338582677,0.5646656202519553,1.9806295399515739,4.029505294806142,660,1173,0.02990554500001963
rd53_311.qasm,216,282,0.12579602499999964,192,252,7.996385637000003,204,263,0.5288366479999809,1.0,0.6350006350009525,1.5867768595041323,2.953270834114238,192,335,0.013208971000011616
4gt13_91.qasm,78,130,0.0386264340000082,54,111,0.6513602980000144,57,123,0.07227054300000191,0.8032786885245902,0.4728591836674085,1.2708333333333333,1.3028747594795473,54,115,0.006937458999999535
one-two-three-v0_98.qasm,105,189,0.05449285000000259,84,141,0.59557035200001,93,169,0.2329529460000117,0.7926829268292683,0.5117593965452997,1.296875,1.2708226604743087,84,179,0.008789839000002075
4gt13_90.qasm,69,132,0.036608703000013065,57,99,0.4592084059999877,63,100,0.08594417300000146,0.8153846153846154,0.4605116783721774,1.25,1.2538402548233107,57,122,0.0067833669999970425
ex3_229.qasm,291,529,0.15846201599998722,222,375,3.192195948999995,246,434,0.3621047830000066,0.7743362831858407,0.5043665546275776,1.5919540229885059,2.729183212864311,237,475,0.015199586999983694
adr4_197.qasm,2601,4270,1.6534653569999875,2277,3097,60.32872154400002,2766,3361,6.547093971999999,0.8145731375747689,0.5710857217000208,2.0561872909698997,4.86247526788655,2355,4015,0.10616378100002066
one-two-three-v1_99.qasm,105,200,0.051282619000005525,99,167,0.08380254000002196,99,167,0.0877723529999912,0.7763157894736842,0.47569019690855835,1.206896551724138,1.0947936459577619,84,162,0.008234549000007974
mini-alu_167.qasm,210,388,0.11016338000001724,168,300,1.9470815680000442,171,308,0.22003938200003859,0.7777777777777778,0.5211573066470477,1.384,1.4685176199147216,177,351,0.012014407000037863
alu-v2_30.qasm,381,688,0.20061099899999135,309,526,3.754293452000013,318,541,0.4929235580000295,0.7824561403508772,0.497404776046859,1.4774774774774775,1.8446262193551233,312,633,0.01543210100004444
4gt5_76.qasm,72,140,0.03492800100002569,72,120,0.06682571800001824,72,120,0.06745119499998964,0.8214285714285714,0.46702488680792925,1.288888888888889,1.2404698432846994,51,110,0.007195097000021633
rd53_131.qasm,333,595,0.18600998699997717,273,491,4.052037656999971,303,458,0.45212125500000866,0.7662835249042146,0.5351380923193345,1.8282828282828283,3.096235590051098,285,551,0.017061700999988716
mini_alu_305.qasm,114,169,0.06872373199996673,117,151,6.114184701999989,117,160,0.39972070200002463,1.1159420289855073,0.7715264727076036,1.131578947368421,1.0303564184448364,114,155,0.009117011999990154
4mod7-v0_94.qasm,120,190,0.06668362700003172,93,175,0.7358206830000427,102,151,0.19745067700000618,0.782608695652174,0.5070392952039391,1.4507042253521127,2.0195434736828077,96,194,0.008437831999970058
z4_268.qasm,2316,3738,1.3892803830000275,1950,2823,49.38694106899999,2238,2996,4.987209672999995,0.8169099756690997,0.5772922692695561,2.02386278896346,4.307636455762435,2148,3603,0.1177468660000045
cm82a_208.qasm,486,826,0.26867229700002326,384,568,7.5358476159999555,453,659,1.6795656030000146,0.8397626112759644,0.5643913793694358,1.7224199288256228,3.206060072769664,414,736,0.021620505999976558
aj-e11_165.qasm,117,209,0.08408516999998028,99,188,0.11884498699998858,99,188,0.09403398799997831,0.8023255813953488,0.47787726948917486,1.1764705882352942,0.938415066679048,81,171,0.007992116000025362
alu-v0_26.qasm,63,119,0.0313553519999914,66,108,0.053401750999967135,66,108,0.05802609500000244,0.7755102040816326,0.46358435475920606,1.3783783783783783,1.4768730910610002,54,108,0.008800854000014624
sym6_316.qasm,234,317,0.13300837299999557,234,289,10.103762803999984,243,269,1.0509751710000046,0.9111111111111111,0.5769224438109852,1.361344537815126,1.8819402308665902,198,333,0.013116225000032955
decod24-bdd_294.qasm,48,86,0.0235980760000416,39,83,1.0365502850000325,51,98,0.33317060000001675,0.8,0.45825756949558405,1.0,0.0,39,78,0.006963278000000628
dc1_220.qasm,1353,2250,0.8592594380000378,1158,1787,13.978584071,1371,1938,2.623402215999988,0.802504816955684,0.5504539092774611,1.7115384615384615,3.0905347960254046,1197,2177,0.054722136000009414
decod24-enable_126.qasm,231,436,0.347445141000037,189,333,2.3937863319999906,207,368,0.2688138580000441,0.7842105263157895,0.47101587624906055,1.4081632653061225,1.5507518564500302,213,420,0.01489413600000944
one-two-three-v2_100.qasm,45,80,0.023209754999982124,39,66,0.4157589460000395,45,85,0.05224696200002654,0.8,0.45825756949558405,1.2903225806451613,1.0834100402417202,36,83,0.006897206000019196
mod5adder_127.qasm,360,685,0.1978429089999736,309,534,5.548577410000007,348,578,0.9737616780000167,0.7913907284768212,0.5142267901443082,1.4915966386554622,2.0797979795208366,327,637,0.018845567999960622
one-two-three-v3_101.qasm,51,87,0.024451636999970106,42,72,0.15152803299997686,45,63,0.05222879199999397,0.8,0.45825756949558405,1.3225806451612903,1.4230158064588891,54,93,0.007939277999980732
mod8-10_177.qasm,339,589,0.180443868999987,255,477,2.7564048589999857,270,491,0.3587263630000166,0.7808764940239044,0.49276925889831863,1.471794871794872,2.125057913895431,273,510,0.01570977099999027
sf_276.qasm,564,1028,0.3004400429999805,435,758,4.261569236000014,468,809,0.645228550000013,0.7724137931034483,0.5039361515779768,1.5761194029850747,2.541482089180155,486,919,0.026038099000004422
cm42a_207.qasm,1338,2193,0.8755269060000046,1065,1633,18.01366235499995,1302,1629,3.210597519999965,0.8202127659574469,0.5692622674995528,1.7103896103896103,3.081662749677388,1179,2073,0.052769664000038574
4gt12-v1_89.qasm,198,349,0.10415161200000966,207,285,0.15129742299995996,207,285,0.152413346000003,0.7692307692307693,0.5044183480232308,1.530612244897959,2.2186780474456875,147,278,0.010950747999913801
pm1_249.qasm,1293,2211,0.6989180440000382,1062,1579,23.386171231999924,1281,1686,2.9361905140000317,0.8202127659574469,0.5692622674995528,1.7103896103896103,3.081662749677388,1179,2073,0.046483009999974456
mod10_171.qasm,159,314,0.08824359399989135,129,215,1.2023209469999756,147,279,0.8837784139999485,0.7769784172661871,0.5095232002770007,1.3364485981308412,1.380396294402748,141,284,0.009771193000005951
decod24-v1_41.qasm,63,110,0.029986097999994854,51,98,0.5944214879999663,51,99,0.08189291700000467,0.76,0.47159304490206383,1.3513513513513513,1.4743980212957686,51,102,0.007078341999999793
4gt12-v0_88.qasm,141,263,0.07580247900000359,111,192,1.5388981820000254,111,197,0.23611117200005083,0.7962962962962963,0.5047782655718152,1.4470588235294117,2.020517594449741,114,217,0.00918482600002335
rd53_138.qasm,87,128,0.04792478700005631,72,112,4.385765187999937,90,134,0.34167229900003804,1.0714285714285714,0.6507452556531642,1.271186440677966,1.273331523457149,78,122,0.008392857999979242
4gt4-v0_79.qasm,189,338,0.09396324200008621,189,275,0.21832876400003443,189,275,0.358969333999994,0.7954545454545454,0.5036027228672805,1.4951456310679612,2.135569255901751,156,307,0.01238040499993076
alu-v3_34.qasm,42,77,0.018576060999976107,33,59,0.2210853980000138,33,60,0.037372718999904464,0.8,0.4,1.0,0.0,30,59,0.00750161299993124
decod24-v3_45.qasm,90,181,0.047294816999965406,78,127,0.7700676949999661,87,156,0.11565882000002148,0.7619047619047619,0.5028264781414971,1.3968253968253967,1.5279375302995402,87,188,0.00852454999994734
4gt4-v0_80.qasm,138,248,0.06661683800007268,102,183,1.6090717509999877,135,219,0.1327415740000788,0.7821782178217822,0.49958320045714316,1.5,2.2403639814170306,108,195,0.008907538000016757
mod8-10_178.qasm,234,442,0.13046056200005296,192,324,1.995108938000044,213,376,0.25697772799992435,0.7875647668393783,0.510461314476697,1.56,2.342306555513176,222,415,0.014496136000047954
hwb4_49.qasm,171,313,0.08798581299993202,120,229,1.1528969949999919,138,231,0.2784901139999647,0.7985074626865671,0.4853041936683316,1.3018867924528301,1.3187316041514376,129,270,0.00985029499997836
4mod5-bdd_287.qasm,48,94,0.024987581000004866,42,81,0.22931555700006356,42,84,0.05518238299998757,0.7560975609756098,0.4294345576014392,1.0,0.0,54,92,0.008567874999926062
decod24-v0_38.qasm,42,74,0.01916833300003873,27,60,0.030877712000005886,27,60,0.030338225999912538,0.7666666666666667,0.42295258468165065,1.0,0.0,27,55,0.005909868000003371
4gt4-v1_74.qasm,177,340,0.09246648099997401,150,264,1.34444553000003,168,276,0.21449650900001416,0.7727272727272727,0.4904639636566674,1.4915254237288136,2.0901129752608196,162,310,0.010702928999990036
4gt12-v0_87.qasm,162,309,0.08760482900004263,138,230,1.6161828360000072,156,265,0.40666254199993546,0.8549618320610687,0.567869157660986,1.4545454545454546,1.9662440597441966,162,327,0.010962269999936325
4gt12-v0_86.qasm,177,292,0.09436385999993036,156,279,3.010243533999983,174,276,0.3520628079999142,0.8592592592592593,0.5599333685619039,1.434782608695652,1.9252574521577228,168,335,0.012834462000000713
4mod5-v1_23.qasm,48,97,0.023787002999938522,45,84,0.2465606310000794,48,88,0.053750134000097205,0.7804878048780488,0.4139161645970035,1.064516129032258,0.2456701001891583,39,82,0.006752515000016501
sf_274.qasm,543,993,0.29574933200001396,426,699,4.178612674000078,462,802,0.633130723000022,0.7706422018348624,0.5181659173006583,1.5611940298507463,2.4667916938525396,444,898,0.021100608999972792
4mod5-v0_18.qasm,42,81,0.02428522900004282,39,61,0.23435586699997657,42,77,0.053289342999960354,0.775,0.4175823272122517,1.0,0.0,42,74,0.00674094500004685
majority_239.qasm,432,749,0.2686745250000513,369,594,10.960152225999991,459,649,0.8879606650000369,0.7761627906976745,0.5331033945803967,1.8339622641509434,3.3896036054898198,378,777,0.018759199999976772
hwb5_53.qasm,960,1748,0.5179330720000053,747,1299,9.055893810000043,852,1468,1.195988949000025,0.7889182058047494,0.4794275843264963,1.4790619765494137,1.9700386763826911,822,1577,0.035108648000004905
ham7_104.qasm,234,413,0.2697218010000597,189,319,1.9048360410000669,219,357,0.26277813399997285,0.8054054054054054,0.49316733958733155,1.3986486486486487,1.4965720509147749,192,366,0.014769290999993245
rd53_135.qasm,210,342,0.10935239499997351,171,272,3.2336984559999564,189,292,0.38789431899999727,0.8427672955974843,0.5555278660873858,1.621212121212121,3.5022293831178857,186,349,0.012141778999989583
rd32_270.qasm,60,114,0.026868657000022722,57,96,0.0625079060000644,57,96,0.057551231000047665,0.7659574468085106,0.42339890940707237,1.0,0.0,45,90,0.006887780000056409
cm152a_212.qasm,876,1456,0.4799589660000265,792,1140,13.187530483000046,891,1146,1.812333601999967,0.7777777777777778,0.5410383970741005,1.830188679245283,3.2478489198097837,804,1460,0.045368186000018795
4gt10-v1_81.qasm,111,199,0.05871550999995634,84,153,0.5835322159999805,90,171,0.11058018500000344,0.7857142857142857,0.48968961431436037,1.3846153846153846,1.4538258036833782,93,186,0.008579171999940627
qft_10.qasm,78,166,0.05770166899992546,117,125,1.3642414539999663,123,110,0.14144965299999512,1.4285714285714286,0.8491692619108098,1.5393258426966292,0.49845107893974905,96,165,0.024737357000049087
rd53_251.qasm,942,1641,0.515439205000007,804,1198,13.378842899000006,843,1344,1.916802549999943,0.7921348314606742,0.531634054907444,1.6263345195729537,2.7953730991661017,765,1539,0.03396756999995887
squar5_261.qasm,1458,2358,0.9866331489999993,1215,1715,22.210273186999984,1497,2013,3.361500894999949,0.8284080076263107,0.5567108922183257,1.9965397923875432,4.7123717044788815,1383,2310,0.07442640700003267
4gt4-v0_78.qasm,171,314,0.08937094700002035,162,232,2.1780253020000373,168,276,0.2643425170000455,0.7956204379562044,0.5001997576353815,1.462962962962963,2.0612200896283537,156,311,0.010981029000049602
4gt13-v1_93.qasm,42,77,0.021073237000109657,36,72,0.18720800099993085,36,72,0.04742801899999449,0.7692307692307693,0.5292248061679563,1.4827586206896552,1.793103448275862,36,83,0.007439157999897361
4gt4-v0_73.qasm,276,519,0.1493561579999323,225,393,2.344320052999933,270,434,0.38892500199995084,0.788546255506608,0.504823518970107,1.4606741573033708,1.9317348538326709,237,473,0.01270113600003242
one-two-three-v0_97.qasm,222,427,0.11525001200004681,159,292,1.9060212319999437,171,318,0.2534369869999864,0.7852760736196319,0.5165046669901641,1.3937007874015748,1.4909568893515635,180,335,0.012456632000066747
rd84_142.qasm,249,303,0.17597238399991966,225,235,23.671233908999966,270,273,2.3327439830000003,1.4,0.9165151389911678,1.5620915032679739,2.581558695597815,225,320,0.012958795999907124
4mod7-v1_96.qasm,111,201,0.05824887699998271,87,159,1.0919916609999518,96,177,0.19679738499996802,0.7659574468085106,0.5141721690891307,1.3380281690140845,1.3834399051052026,93,192,0.010226219999935893
f2_232.qasm,906,1538,0.4839377969999532,732,1087,13.210481817000073,819,1149,1.3455204059998778,0.7859281437125748,0.5338647428880741,1.8508604206500956,3.469717979075904,837,1444,0.052119723000032536
sym9_146.qasm,240,311,0.14237584800002878,231,267,14.538035090999983,246,326,1.4983040150000306,1.1653543307086613,0.6846319722609184,1.3310344827586207,1.3997791570337483,207,345,0.01369909199979702
alu-v4_36.qasm,81,156,0.04192676000002393,66,124,0.5360919069999,63,113,0.09351893100006237,0.7727272727272727,0.4860307555256194,1.2448979591836735,1.1871869038570602,66,126,0.007307043000082558
alu-bdd_288.qasm,66,115,0.03413500900001054,60,106,0.057216529000015726,60,106,0.057127360000094995,0.7916666666666666,0.45452967144315476,1.4444444444444444,2.465815669019127,60,99,0.007591950999994879
4gt5_75.qasm,51,105,0.028131691999988107,54,97,0.2995096320000812,54,99,0.13966760199991768,0.8085106382978723,0.5314891913530552,1.5405405405405406,1.7335262390080621,48,106,0.010167226000021401
alu-v2_32.qasm,123,202,0.062008030000015424,96,154,0.9806115070000487,111,175,0.20243651700002374,0.782608695652174,0.5070392952039391,1.352112676056338,1.3850163119931853,87,188,0.008577022000054058
qft_16.qasm,231,344,0.1833557939999082,417,341,34.151904362000096,471,331,3.374972080999896,2.2857142857142856,1.2999215046945516,1.5397489539748954,0.49841751640356874,267,324,0.04336017399987213
decod24-v2_43.qasm,36,73,0.0173430360000566,33,66,0.03236511700015399,33,66,0.031195869999919523,0.7333333333333333,0.4422166387140533,1.0,0.0,27,61,0.007679589999952441
cnt3-5_180.qasm,354,514,0.2613949499998398,294,374,15.04445061399997,396,391,1.4602309319998312,1.0287081339712918,0.7182772824801992,1.3981042654028435,1.5216591744399142,294,496,0.018357352000066385
sqrt8_260.qasm,2307,3769,1.3899905100001888,1971,2736,46.62625209000021,2439,2895,5.544086118999985,0.7920433996383364,0.5474776249072619,2.341463414634146,5.690641680554697,2091,3640,0.10019200000010642
4gt13_92.qasm,45,88,0.023166582999920138,42,69,0.0474024569998619,45,73,0.04405877799990776,0.7894736842105263,0.4677997061745046,1.5,1.679710859472121,36,77,0.006430717000057484
cnt3-5_179.qasm,159,156,0.11345614499987278,171,114,8.951193799000066,171,96,0.9172828769999342,1.3934426229508197,0.9103897296337587,2.125,4.985917668794783,153,176,0.012358908000123847
ex2_227.qasm,462,804,0.24401326100019105,360,603,4.584430096999995,429,660,0.4916685420000704,0.7746478873239436,0.514499157490969,1.9926739926739927,4.23399176385082,375,760,0.018374701000084315
rd73_140.qasm,174,228,0.10869469299996126,138,207,10.88597449100007,162,210,1.1604118220000146,1.1304347826086956,0.6791521457310136,1.3106796116504855,1.3583908685353556,141,197,0.010939789000076416
mod5d2_64.qasm,45,86,0.022713401000146405,33,60,0.16809265199981382,33,66,0.04092791100015347,0.78125,0.41339864235384227,1.0,0.0,33,68,0.006504232999986925
wim_266.qasm,747,1211,0.4002288970000336,615,862,16.475775487999954,738,1034,1.8066600019999441,0.830739299610895,0.5856160397761396,1.624413145539906,2.782366550750996,624,1124,0.03157149200001186
rd53_133.qasm,429,745,0.22758222000015849,333,576,7.163235819999954,384,563,0.541527632999987,0.7828746177370031,0.5462804386142903,1.8313725490196078,3.162122034831675,372,677,0.02127328099982151
4gt4-v0_72.qasm,180,313,0.09931790099994942,141,231,2.993591436000088,162,239,0.4423807589998887,0.8248175182481752,0.5523382310187624,1.4642857142857142,2.0784977895644943,150,290,0.01063365100003466
