,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
4_49_16.qasm,162,300,0.10893977399999999,132,250,1.4736285770000004,132,246,1.180551714,0.208,0.792,0.4947079946796899,1.2577319587628866,1.195165092469232,126,250,0.010482791999999463
sys6-v0_111.qasm,165,205,0.10443807199999977,126,143,5.144402418,162,199,0.30231667600000023,1.0,1.3066666666666666,0.7478561953269417,1.25,1.224744871391589,147,201,0.01142889999999852
rd53_130.qasm,723,1255,0.41222751699999804,594,891,9.426453127999999,639,973,9.308957706000001,0.2583479789103691,0.7873462214411248,0.5486344972651767,1.858744394618834,3.2192320397413536,630,1178,0.0310162159999976
alu-v2_31.qasm,303,572,0.1850341960000037,252,458,2.9705415250000016,252,458,3.1075208759999953,0.0,0.7764705882352941,0.4861163563181619,1.532994923857868,1.7812268813994239,279,588,0.0166097240000056
4gt5_77.qasm,78,166,0.04807537900000369,75,117,0.7730925869999936,75,117,0.7410195420000036,0.0,0.7837837837837838,0.5268537483680521,1.4210526315789473,1.5326547135327409,78,148,0.008979477999993435
radd_250.qasm,2388,4062,1.5351559019999996,2103,2913,48.346657276,2034,2919,43.78730130000001,0.055025266704098824,0.7888826501965188,0.5478864891403444,2.1525302922309337,5.076700268356152,2136,3832,0.09696140599999126
mod10_176.qasm,114,227,0.06778305599999612,93,178,1.010823256000009,93,178,1.0976886539999953,0.019801980198019802,0.7722772277227723,0.5050475542517564,1.4935064935064934,1.7027355883178306,102,218,0.009929187000011552
C17_204.qasm,360,594,0.20623146399998404,282,425,5.388921667999995,276,423,6.127876848,0.0,0.8102766798418972,0.5584184351762643,1.6157635467980296,2.6205229770322416,300,552,0.017892015999990463
0410184_169.qasm,156,224,0.1094529019999868,144,131,2.3243258929999797,156,236,0.2072210090000226,1.0,1.0,0.6793662204867574,3.377551020408163,9.669555955153571,189,252,0.017687821999999187
con1_216.qasm,684,1144,0.4130579360000013,579,860,14.507048051999988,600,870,12.343485726000011,0.11614173228346457,0.8169291338582677,0.5646656202519553,1.9806295399515739,4.029505294806142,660,1173,0.031315229999989924
rd53_311.qasm,222,342,0.4427903760000049,189,241,6.9952363889999845,207,284,1.5960716200000036,0.6048387096774194,1.0,0.6350006350009525,1.5867768595041323,2.953270834114238,192,335,0.01388783199999466
4gt13_91.qasm,72,131,0.04432615099997861,54,89,0.691399849000021,60,94,0.4095229060000065,0.19672131147540983,0.8032786885245902,0.4728591836674085,1.2708333333333333,1.3028747594795473,54,115,0.007438149999984489
one-two-three-v0_98.qasm,114,205,0.0621905450000213,81,126,0.9985092169999916,81,126,1.0378295219999814,0.0,0.7926829268292683,0.5117593965452997,1.296875,1.2708226604743087,84,179,0.008215594000006377
4gt13_90.qasm,72,134,0.03969881099999384,54,104,0.6436890060000167,63,107,0.4006122639999887,0.24615384615384617,0.8153846153846154,0.4605116783721774,1.25,1.2538402548233107,57,122,0.007411826000009114
