,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,A* CNOTs,A* Depth,A* Time
4_49_16.qasm,171,319,0.07845748899999982,165,299,0.1515146930000002,165,299,0.16242380799999978,138,273,0.004999833999999481
sys6-v0_111.qasm,189,192,0.08911540300000009,180,189,16.842694922,198,207,0.9043004429999968,153,217,0.005679660999994951
rd53_130.qasm,768,1378,0.37083246500000655,684,1272,25.853343943,753,1325,1.6933692070000177,873,1448,0.030687851999999793
alu-v2_31.qasm,339,608,0.30604004500000315,327,594,4.347557908999988,333,609,0.33379547999999204,324,601,0.01113880899998776
4gt5_77.qasm,96,182,0.12835542700000246,114,195,0.10568709999998305,114,195,0.11239494199998035,90,161,0.005591541000001143
radd_250.qasm,2814,4499,1.4733756769999786,2721,4378,87.69339549200004,2775,4438,6.521289698999965,2730,4341,0.08743772700000818
mod10_176.qasm,135,252,0.06268482400002995,129,245,0.05566868900001509,129,245,0.057111776000056125,126,241,0.009881283000026997
C17_204.qasm,363,665,0.16772366600002897,306,576,7.978996574000007,372,594,0.5051969360000044,408,641,0.014875222999990001
0410184_169.qasm,156,233,0.07429729799997631,171,252,0.9022439330000225,174,252,0.1786936479999781,273,314,0.029708254000013312
con1_216.qasm,765,1260,0.47551709599997594,735,1242,25.030002781000007,729,1188,0.8822035639999513,768,1285,0.023050840999985667
rd53_311.qasm,228,305,0.12597156700007872,237,290,15.191798308999978,246,309,1.0512604519999513,246,366,0.016114872999992258
4gt13_91.qasm,63,140,0.03372922300002301,69,138,0.0314121650000061,69,138,0.034758665999902405,75,139,0.00504436399990027
one-two-three-v0_98.qasm,117,216,0.051435079000043515,120,201,0.36760856900002636,120,201,0.13046811300000627,120,194,0.007880559000000176
4gt13_90.qasm,72,153,0.033264994000091974,78,148,0.03734020000001692,78,147,0.03755186299997604,84,148,0.004713723999998365
ex3_229.qasm,330,590,0.16058930500003044,360,607,0.33576286300001357,360,607,0.17314450300000317,321,554,0.011626433999936125
adr4_197.qasm,2949,4660,1.6401045420000173,2907,4596,112.76795980300005,3246,4759,6.521083273000045,2937,4477,0.09973861100002068
one-two-three-v1_99.qasm,105,197,0.0477819840000393,99,177,0.04581493499995304,99,177,0.042966280000086954,111,181,0.005584692999946128
mini-alu_167.qasm,228,416,0.10369440299996313,237,413,1.6436882340000238,237,413,0.2320077260000062,252,407,0.00992219500005831
alu-v2_30.qasm,411,736,0.3617476730000817,390,694,8.309291098999893,405,687,0.39401830600002086,390,690,0.01287151199994696
4gt5_76.qasm,69,134,0.033478076999927,63,121,0.1526215809999485,63,118,0.03781234400003086,78,132,0.0038805060000868252
rd53_131.qasm,369,651,0.17458947599993735,294,563,6.486219290000008,324,609,0.2844776399999773,378,632,0.013622885999893697
mini_alu_305.qasm,141,175,0.06563344700020934,123,159,14.130729316000043,138,170,0.36997583000015766,135,162,0.0070285360000070796
4mod7-v0_94.qasm,111,224,0.0500762050000958,117,220,0.5019842130000143,117,220,0.20936989999995603,108,212,0.00426205700000537
z4_268.qasm,2595,4187,1.4890742879999834,2415,3917,79.07178705599995,2709,4251,5.193533960999957,2427,4070,0.18057809700007965
cm82a_208.qasm,486,812,0.24087737399986509,441,761,19.994184735999852,504,813,1.0026652950000425,531,841,0.016084187000160455
aj-e11_165.qasm,108,206,0.048994399000093836,90,187,0.7440315240000928,93,185,0.07422818099985307,99,189,0.004158211999993
alu-v0_26.qasm,63,116,0.027148089999855074,72,122,0.03523988200004169,72,122,0.03535673100009262,72,118,0.0035868390000359796
sym6_316.qasm,234,364,0.10982606000015949,207,303,8.815023049000047,231,308,0.35503505199994834,243,341,0.010975050000070041
decod24-bdd_294.qasm,48,85,0.021218293999936577,45,85,1.2338454439998259,51,93,0.09691198700011228,45,79,0.0034821229999124625
dc1_220.qasm,1563,2583,0.816612103000125,1440,2419,27.229507256000034,1611,2599,1.5828763010001694,1590,2593,0.04577367100000629
decod24-enable_126.qasm,264,466,0.12116417399988677,249,448,2.9037116319998404,258,454,0.19946427599984418,258,446,0.008783689999972921
one-two-three-v2_100.qasm,36,79,0.018621789999997418,36,80,1.091529281000021,36,78,0.029507989999956408,66,104,0.00456865299997844
mod5adder_127.qasm,489,811,0.2953995370000939,456,742,1.381430397000031,459,745,0.34436090500003047,375,668,0.011556309000070542
one-two-three-v3_101.qasm,45,89,0.02040714999998272,39,84,0.18534060799993313,48,91,0.037600207999958,45,87,0.0028328600001259474
mod8-10_177.qasm,363,641,0.314207425999939,309,573,4.9938570110000455,312,567,0.18718575200000487,375,641,0.012796981000064989
sf_276.qasm,579,1061,0.2737421300000733,606,1068,5.56628409200016,633,1076,0.47820988600005876,669,1101,0.022165402999917205
cm42a_207.qasm,1377,2286,0.7790332409999792,1233,2142,27.44561789399995,1374,2236,1.653385321000087,1443,2331,0.057722089999970194
4gt12-v1_89.qasm,156,303,0.07524564900018049,132,270,1.6287280839999312,141,273,0.09769606100007877,189,310,0.007713594000051671
pm1_249.qasm,1461,2312,0.8812587539998731,1308,2171,33.320520119999856,1446,2309,2.3761880290001045,1443,2331,0.05111280400001306
mod10_171.qasm,171,316,0.08214388999999755,138,294,1.6332015160000992,141,287,0.1030785929999638,186,332,0.006975102000069455
decod24-v1_41.qasm,57,113,0.026988781000000017,60,108,0.21665591399982986,60,113,0.03737584100008462,57,115,0.0033440280001286737
4gt12-v0_88.qasm,147,268,0.1491690870000184,153,269,1.3750830939998195,156,255,0.1912210860000414,150,262,0.005655405999959839
rd53_138.qasm,111,150,0.050182205000055546,96,132,2.4542865670000538,99,141,0.1398494979998759,81,116,0.005162009000059697
4gt4-v0_79.qasm,186,334,0.14419436700018196,183,320,2.4410545789999105,186,326,0.39888348699992093,177,312,0.009400127000162684
alu-v3_34.qasm,39,78,0.016411306999998487,39,70,0.017175168999983725,39,70,0.01839164700004403,39,68,0.003293430999974589
decod24-v3_45.qasm,102,204,0.05083943499994348,108,201,0.19283317999997962,108,201,0.19432427500009908,99,196,0.004427352999982759
4gt4-v0_80.qasm,135,247,0.06562353699973755,123,230,0.6150335310001083,123,225,0.11218721499972162,147,230,0.006548794000082125
mod8-10_178.qasm,273,490,0.1590888199998517,222,421,1.9904111200003172,240,425,0.555065705999823,330,534,0.014199779000136914
hwb4_49.qasm,174,338,0.08180732299979354,138,283,1.844284554999831,147,300,0.2716525839996393,165,309,0.015393428000152198
4mod5-bdd_287.qasm,54,96,0.02621166099970651,42,87,0.16338804499991966,48,90,0.031424673999936203,39,79,0.0024415879997832235
decod24-v0_38.qasm,30,63,0.013029471999743691,27,62,0.055750787000306445,27,61,0.01985728099998596,27,60,0.003010725999956776
4gt4-v1_74.qasm,219,406,0.09997921000012866,207,380,4.521473888999935,207,380,0.30637631600029636,204,356,0.008409124000081647
4gt12-v0_87.qasm,189,330,0.0909693410003456,180,308,2.899960783000097,180,307,0.2322557410002446,186,310,0.0071008569998411986
4gt12-v0_86.qasm,201,344,0.13290425800005323,189,319,2.2166577200000575,192,320,0.4676817299996401,198,326,0.007489759000236518
4mod5-v1_23.qasm,60,107,0.02410450299976219,54,98,0.023658236999835935,54,98,0.026055482999709056,51,91,0.0037568249999822
sf_274.qasm,579,1059,0.2725617930000226,546,1015,12.054864038999767,591,1045,0.5210214190001352,594,1038,0.02303082899970832
4mod5-v0_18.qasm,54,98,0.02330640099989978,48,91,0.0365549840003041,48,89,0.026274956000179372,51,83,0.005380368000260205
majority_239.qasm,426,815,0.20441593099985766,405,763,12.26990264799997,426,794,0.5131377580000844,477,809,0.015795374999925116
