,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,A* CNOTs,A* Depth,A* Time
4_49_16.qasm,117,245,0.06600645499999969,96,213,5.413162369,102,233,0.437872629000001,51,179,0.004158664999998507
sys6-v0_111.qasm,72,149,0.0478695139999985,60,124,10.867367563000002,90,156,2.0251122479999992,84,145,0.009132104000002528
rd53_130.qasm,426,988,0.3475126919999951,249,817,30.06878261099999,333,916,2.1804903210000077,510,1040,0.032766904999988355
alu-v2_31.qasm,237,521,0.14206398700000022,186,455,26.40438057100002,213,473,1.4902353409999876,186,441,0.00974839799999927
4gt5_77.qasm,90,160,0.04548358600004576,72,146,2.2486871180000207,72,144,0.17908640399997466,57,131,0.0036961309999696823
radd_250.qasm,1194,2985,0.8045891579999989,867,2505,95.730987991,1224,2901,7.881410409000068,1176,2882,0.06740873299997929
mod10_176.qasm,132,236,0.06852942600005463,93,191,5.289586568999994,99,204,0.42064779500003624,84,177,0.005501807999962693
C17_204.qasm,120,369,0.12119809499995426,111,362,16.23772004600005,150,412,0.9750436870000385,144,374,0.007772250000016356
0410184_169.qasm,120,198,0.06914442800007237,78,163,3.5483795740000232,108,204,0.5019678979999753,123,190,0.028464519000067412
con1_216.qasm,327,834,0.2229741200000035,300,795,44.45827736700005,372,880,2.31847350999999,372,878,0.024255297000081555
rd53_311.qasm,102,212,0.0834751630000028,123,217,14.422658253000009,138,243,0.9673302889999604,108,231,0.007129285000019081
4gt13_91.qasm,66,135,0.03148386399993797,48,116,1.004441930999974,48,116,0.12094678700009354,21,79,0.0024513020000540564
one-two-three-v0_98.qasm,93,188,0.04739781699981904,78,160,3.3620726029998877,78,156,0.3900087839999742,42,115,0.002940866000017195
4gt13_90.qasm,69,138,0.03413622099992608,54,123,4.780209502999924,54,120,0.25529051700004857,24,86,0.004082598000195503
ex3_229.qasm,132,356,0.1019793400000708,81,309,7.9752103389998865,141,363,0.9331044430000475,150,370,0.012123607999910746
adr4_197.qasm,1278,3024,1.0903190269998504,1041,2771,103.54285796099998,1209,2922,7.619862685000044,1311,3031,0.06808446900004128
one-two-three-v1_99.qasm,51,126,0.03299485000002278,42,117,4.096350636000125,54,136,0.17994164199990337,42,114,0.0026950339999984863
mini-alu_167.qasm,195,373,0.11299092300009761,111,267,4.599422508999851,159,325,0.8285186109999358,138,305,0.00657602000001134
alu-v2_30.qasm,240,565,0.1451054669998939,111,375,20.308305863999976,177,471,0.6969221190001917,171,443,0.009172594999881767
4gt5_76.qasm,66,126,0.032027606000156084,33,87,4.407721748000085,66,125,0.3307198940001399,24,77,0.003242469000042547
rd53_131.qasm,150,416,0.09091777200001161,102,359,13.007430541000076,102,361,0.47071191500003806,180,409,0.021847019000006185
mini_alu_305.qasm,30,98,0.03148803899989616,15,83,2.129982046000123,39,111,0.10940249999998741,81,141,0.007238331000053222
4mod7-v0_94.qasm,93,190,0.06207670399999188,72,171,2.9885849150000467,87,189,0.4104215649999787,33,122,0.0038681280000218976
z4_268.qasm,1635,3276,1.0574169350002194,954,2470,142.70175234399994,1227,2802,9.46988975100021,1062,2640,0.07052517700003591
cm82a_208.qasm,321,657,0.1743096489999516,153,482,23.475013920000038,210,540,1.673896961999617,279,592,0.1766792259995782
aj-e11_165.qasm,78,166,0.05666249900014009,66,158,6.462561655000172,63,156,0.30407148299991604,21,106,0.011132304000057047
alu-v0_26.qasm,63,102,0.031429034000211686,48,97,6.573573605000092,51,97,0.11436805599987565,42,92,0.011249606000092172
sym6_316.qasm,129,258,0.35512259600000107,105,215,19.618498628999987,159,267,0.9540778290001981,120,232,0.016301440999995975
decod24-bdd_294.qasm,27,68,0.014428949999910401,27,68,0.3774691260000509,27,68,0.16448633499976495,24,63,0.003605659999720956
dc1_220.qasm,837,1853,0.610796319000201,390,1369,44.51431042100012,561,1539,3.7429815319997033,924,1987,0.05412929400017674
