,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,A* CNOTs,A* Depth,A* Time
4_49_16.qasm,156,291,0.08182178799999917,120,256,3.994604881,132,259,0.32294890199999937,126,250,0.009920346000001246
sys6-v0_111.qasm,147,209,0.08992096499999747,132,161,18.546477619,159,175,0.5925566620000069,147,201,0.012540421000011293
rd53_130.qasm,717,1287,0.5060423490000119,609,1190,38.03181970700001,684,1230,1.169076055000005,630,1178,0.030291771999998218
alu-v2_31.qasm,291,562,0.15962219900001173,240,504,7.190575408000001,270,528,0.6708651650000093,279,588,0.016228768000019045
4gt5_77.qasm,90,153,0.0488236939999922,75,146,8.529833421999996,90,166,0.26310907999999245,78,148,0.00842814999998609
radd_250.qasm,2382,4029,1.3570392930000708,2022,3792,131.57016729599997,2397,4042,9.505957895000051,2136,3832,0.10551593800005321
mod10_176.qasm,120,231,0.06503281899995272,93,199,3.835535898000103,105,215,0.1956459300000688,102,218,0.009935473999917122
C17_204.qasm,309,569,0.17426880699997582,267,517,14.465447079,300,536,0.4784870040000442,300,552,0.01846970200006126
0410184_169.qasm,147,215,0.08227071199996772,120,212,5.523561696999991,135,220,0.22002396100003807,189,252,0.017139413000109016
con1_216.qasm,657,1121,0.372820809000018,573,1064,32.57797189899998,675,1150,1.306370824000055,660,1173,0.035861259000057544
rd53_311.qasm,222,334,0.1529678370000056,180,272,14.409842685999934,213,282,1.197105247999957,192,335,0.014382723000039732
4gt13_91.qasm,72,140,0.037176717999955144,54,123,0.6686415809999744,57,124,0.054939287000024706,54,115,0.0074997490000896505
one-two-three-v0_98.qasm,108,199,0.05933642599995892,78,167,4.055824012000016,84,175,0.09678444000007858,84,179,0.008395466000024498
4gt13_90.qasm,72,140,0.03816557200002535,57,129,1.5301406049999287,63,128,0.07819546899997931,57,122,0.007951660000003358
ex3_229.qasm,273,512,0.15128845999993246,228,463,6.078009249000047,255,475,0.2843855700000404,237,475,0.015034259999993083
adr4_197.qasm,2634,4282,4.814934842999946,2190,3919,152.86686705300008,2598,4182,7.351360557999897,2355,4015,0.11635944500017104
one-two-three-v1_99.qasm,84,169,0.04648664299998018,75,153,1.7535352630000034,81,156,0.08975042999986726,84,162,0.008823476999850755
mini-alu_167.qasm,204,355,0.34429250499988484,156,327,7.69417761700015,168,350,0.34849934199996824,177,351,0.012331468999946082
alu-v2_30.qasm,351,670,0.18403994400000556,270,572,7.598759459000121,303,606,0.39927523199980897,312,633,0.016334533999952328
4gt5_76.qasm,63,123,0.03240044099993611,51,108,1.4228266659999917,54,112,0.2507117410000319,51,110,0.007474687000012636
rd53_131.qasm,318,561,0.41759895399991365,258,533,8.456332339000028,291,565,0.33860666300006415,285,551,0.017190644000038446
mini_alu_305.qasm,129,179,0.07579550199989171,111,156,13.099787659999947,108,152,0.44465847800006486,114,155,0.013259232000109478
4mod7-v0_94.qasm,108,205,0.10494549500003814,84,186,3.707015348000141,93,190,0.190707588000123,96,194,0.009626285000194912
z4_268.qasm,2250,3779,1.4719328169999244,1911,3443,135.385570335,2235,3701,7.942296555999974,2148,3603,0.12527544899967324
cm82a_208.qasm,417,743,0.414988552000068,384,694,23.621425240999997,420,747,1.3497562420002396,414,736,0.024411521999809338
aj-e11_165.qasm,96,194,0.04971198400016874,78,167,3.579935521000152,78,169,0.14052095499982897,81,171,0.008149237999987236
alu-v0_26.qasm,57,113,0.028558403000261023,45,97,1.1631136629998764,48,101,0.11400297999989562,54,108,0.008331302999977197
sym6_316.qasm,222,362,0.12888741300002948,177,277,21.03619758600007,198,292,0.5059236839997538,198,333,0.016066196999872773
decod24-bdd_294.qasm,42,83,0.022793467000155943,42,87,1.8889870379998683,42,87,0.13049679999994623,39,78,0.006999241999892547
dc1_220.qasm,1398,2361,0.8793851780001205,1116,2113,54.17225174399982,1281,2259,2.2152363059999516,1197,2177,0.058873436999874684
decod24-enable_126.qasm,237,451,0.13745758899995053,186,382,5.112177311999858,207,400,0.2658743400002095,213,420,0.01526101000035851
one-two-three-v2_100.qasm,45,83,0.023113237999950798,36,79,0.6023836419999498,36,76,0.040020712000114145,36,83,0.007163263000165898
mod5adder_127.qasm,369,682,0.20206473799999003,300,619,8.62806992600008,333,644,0.6640094800000043,327,637,0.021368911000081425
