,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,364,312,0.1821362159680575,346,270,49.703817792003974,385,314,2.6256072700489312,355,345,0.035498234210535884,7.3662109375
rd53_311.qasm,124,325,302,0.16098904493264854,310,262,18.010174479102716,334,275,1.1679651520680636,331,327,0.019493917003273964,6.6533203125
one-two-three-v0_97.qasm,128,329,394,0.3161877151578665,287,326,3.106787506956607,296,338,0.17346465308219194,311,324,0.03284646105021238,6.595703125
mod8-10_178.qasm,152,392,416,0.1725799241103232,344,394,4.338576834881678,356,397,0.2122944809962064,395,463,0.017661137972027063,7.517578125
decod24-enable_126.qasm,149,380,439,0.16640315297991037,341,390,4.121415583882481,356,409,0.21355099487118423,365,402,0.035370697965845466,7.31640625
mini-alu_167.qasm,126,330,332,0.1531525352038443,285,329,4.37620167597197,309,349,0.26443814882077277,303,351,0.015465568052604795,6.533203125
rd53_135.qasm,134,350,351,0.1583730629645288,305,326,12.003513760864735,317,342,0.2117552428971976,335,328,0.017526373034343123,6.787109375
ham7_104.qasm,149,377,421,0.16184872295707464,335,370,7.568411324871704,362,398,0.30379261914640665,341,362,0.017490549013018608,7.0732421875
sym6_316.qasm,123,336,333,0.1640397198498249,309,283,15.34201488015242,315,290,0.8484319769777358,333,317,0.03649249020963907,6.626953125
rd84_142.qasm,154,403,277,0.22217179602012038,367,238,53.67741455603391,415,268,3.1296077319420874,382,282,0.01930832606740296,7.5927734375
