,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
4gt10-v1_81.qasm,66,174,211,0.06233085901476443,174,200,0.06452782498672605,174,200,0.0657643610611558,180,197,0.28818293404765427,4.5361328125
mini_alu_305.qasm,77,224,201,0.08827032893896103,233,179,11.571247783955187,248,174,0.9021827909164131,227,175,0.027042927918955684,5.0634765625
mod5mils_65.qasm,16,46,55,0.014864163007587194,46,47,0.015578295104205608,46,47,0.016137999016791582,37,44,0.0029309450183063745,2.6923828125
xor5_254.qasm,5,11,11,0.003962384071201086,11,11,0.00464224792085588,11,11,0.005823841085657477,14,14,0.004752625012770295,2.322265625
4gt5_77.qasm,58,154,185,0.05951858893968165,172,190,0.17440708400681615,178,200,0.15524594811722636,178,190,0.008565107127651572,4.3466796875
decod24-v3_45.qasm,64,166,204,0.059232092928141356,178,205,0.21576623897999525,178,205,0.1714304459746927,178,205,0.0054087520111352205,4.501953125
4mod5-v0_18.qasm,31,88,103,0.03130914201028645,76,91,0.04796913894824684,76,91,0.03616496594622731,82,83,0.005464186193421483,3.283203125
cnt3-5_180.qasm,215,608,568,0.25103455199860036,644,572,26.388114019064233,644,572,1.4787401370704174,614,582,0.03274775017052889,10.57421875
wim_266.qasm,427,1294,1434,0.5144707488361746,1327,1335,15.506197165930644,1408,1388,2.442658683983609,1393,1408,0.05209603300318122,19.4140625
4mod5-v1_24.qasm,16,37,45,0.012366303009912372,40,46,0.02217245288193226,40,46,0.021729758009314537,37,44,0.017858519917353988,2.7001953125
alu-v4_37.qasm,18,42,47,0.013351524947211146,39,43,0.013790497090667486,39,43,0.013746383134275675,57,42,0.0041674841195344925,2.84375
decod24-v1_41.qasm,38,98,121,0.03282297006808221,98,114,0.034867310896515846,98,114,0.034453320084139705,98,118,0.0037021019961684942,3.466796875
