	SABRE CNOTs	SABRE Depth	SABRE Time	MPATH_IPS CNOTs	MPATH_IPS Depth	MPATH_IPS Time	MPATH_HYBRID CNOTs	MPATH_HYBRID Depth	MPATH_HYBRID Time	MPATH_HYBRID SABRE Uptime	"Layer Density, mean"	"Layer Density, std."	"Child Distance, mean"	"Child Distance, std."	Improvement vs SABRE	Improvement vs IPS	Adjusted Improvement
adr4_197.qasm	2979	4686	1.770108005	3024	3593	17.12350667	2967	3663	27.29080723	0.01322314	0.814573138	0.571085722	2.056187291	4.862475268	0.004028197	0.018849206	0.004224178
mini_alu_305.qasm	144	199	0.067091909	126	159	0.481326031	129	179	0.202596439	0.451219512	1.115942029	0.771526473	1.131578947	1.030356418	0.104166667	-0.023809524	0.046421312
sym6_316.qasm	225	373	0.100201516	246	303	1.002759464	234	342	1.542034289	0.473684211	0.911111111	0.576922444	1.361344538	1.881940231	-0.04	0.048780488	0.002053915
cm42a_207.qasm	1536	2396	0.827468072	1458	1869	6.007464625	1422	1958	7.326886612	0.012725345	0.820212766	0.569262267	1.71038961	3.08166275	0.07421875	0.024691358	0.073588497
pm1_249.qasm	1482	2375	1.278396336	1413	1942	7.239310427	1482	1848	9.054330208	0.008519702	0.820212766	0.569262267	1.71038961	3.08166275	0	-0.048832272	-0.000416036
rd53_138.qasm	120	171	0.083690394	105	140	0.452314226	117	159	0.142092547	0.714285714	1.071428571	0.650745256	1.271186441	1.273331523	0.025	-0.114285714	-0.074489796
4gt12-v0_87.qasm	174	320	0.08084686	159	277	0.353929969	174	315	0.145698553	0.326732673	0.854961832	0.567869158	1.454545455	1.96624406	0	-0.094339623	-0.030823837
4gt12-v0_86.qasm	168	336	0.09668034	156	272	0.796217563	168	323	0.354101653	0.358490566	0.859259259	0.559933369	1.434782609	1.925257452	0	-0.076923077	-0.027576197
qft_10.qasm	132	164	0.095470796	156	170	0.693221686	147	161	0.142350286	0.914893617	1.428571429	0.849169262	1.539325843	0.498451079	-0.113636364	0.057692308	0.043111144
qft_16.qasm	339	317	0.2986461	570	394	10.83303483	333	315	0.427377534	0.955102041	2.285714286	1.299921505	1.539748954	0.498417516	0.017699115	0.415789474	0.397916029
cnt3-5_180.qasm	402	555	0.306309229	378	364	2.507988315	411	547	0.429626978	0.846846847	1.028708134	0.718277282	1.398104265	1.521659174	-0.02238806	-0.087301587	-0.077359876
