,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE TVD,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight TVD,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,ForeSight SSOnly TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,137,174,0.1330463499762118,283.8173828125,0.0,125,156,1.153111201012507,1513.25390625,0.0,131,158,0.35833647404797375,612.7939453125,0.0,155,207,0.01764844509307295,4.982421875
dnn_n8,249,313,0.37133176799397916,1236.037109375,0.15771484375,294,212,21.360808540019207,9076.9404296875,0.12939453125,318,235,4.412976001971401,6358.837890625,0.142578125,0,0,0.0,0.0
cc_n12,48,60,0.0626508470159024,121.478515625,1.0185546875,45,66,0.14169900794513524,396.4208984375,1.010498046875,45,66,0.1316723310155794,291.9775390625,0.99755859375,0,0,0.0,0.0
multiplier_n15,714,533,0.9630771519150585,1277.05859375,0.0,657,523,173.64342502201907,33255.0615234375,0.0,699,532,10.403301463928074,3127.7861328125,0.0,636,469,0.03543585503939539,11.0869140625
qf21_n15,328,354,0.42906139395199716,585.328125,0.0390625,343,397,6.910963076981716,11844.6796875,0.025146484375,400,416,1.0195258100284263,1701.751953125,0.016357421875,0,0,0.0,0.0
sat_n11,642,701,0.8189199999906123,1236.826171875,0.04248046875,519,613,43.147543554077856,30398.4580078125,0.034423828125,579,661,4.681176165002398,3337.65234375,0.043701171875,582,685,0.029878337983973324,11.576171875
seca_n11,177,139,0.2084319890709594,397.4990234375,0.014892578125,177,138,7.208918130025268,1625.369140625,0.02099609375,168,126,3.0619938359595835,244.44921875,0.01611328125,0,0,0.0,0.0
bv_n14,79,59,0.08639851200859994,152.6708984375,0.0,58,59,0.063068634015508,94.53515625,0.0,58,59,0.06382494594436139,93.65234375,0.0,0,0,0.0,0.0
ising_n10,90,71,0.17352709593251348,547.630859375,0.25634765625,90,71,0.1219840639969334,285.41796875,0.258544921875,90,71,0.12545174499973655,569.376953125,0.255859375,0,0,0.0,0.0
qaoa_n6,102,151,0.15569408994633704,379.642578125,0.079833984375,102,145,23.649942116928287,7997.1572265625,0.10791015625,123,155,2.347336687031202,248.69140625,0.090087890625,0,0,0.0,0.0
qpe_n9,106,140,0.11721800093073398,245.0703125,0.08203125,97,134,1.3828756579896435,2836.814453125,0.076416015625,154,161,0.2516569859581068,641.697265625,0.073486328125,0,0,0.0,0.0
simon_n6,41,51,0.0446464610286057,101.6259765625,0.040283203125,32,48,0.06926525093149394,218.29296875,0.05419921875,32,48,0.06687505799345672,173.640625,0.051513671875,0,0,0.0,0.0
vqe_uccsd_n6,1142,1565,0.7831596380565315,3098.6630859375,0.072265625,1136,1562,4.066034902003594,1601.62890625,0.069580078125,1148,1574,1.1076903170906007,3984.0810546875,0.07275390625,1226,1648,0.040890339063480496,29.890625
