,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE TVD,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight TVD,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,ForeSight SSOnly TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,101,130,0.09841423202306032,242.83984375,0.0,95,121,7.744910555076785,2334.1943359375,0.0,101,132,1.0210207720519975,485.8212890625,0.0,122,158,0.009045138023793697,4.81640625
dnn_n8,204,345,0.3632623211015016,1173.6337890625,0.1435546875,210,183,8.02696509193629,4865.5615234375,0.130859375,231,205,3.8953502300428227,2581.7998046875,0.13330078125,0,0,0.0,0.0
cc_n12,27,44,0.0484712669858709,87.6201171875,0.99755859375,33,47,0.3028290179790929,825.880859375,1.004638671875,33,50,0.6861722950125113,744.7646484375,0.99267578125,0,0,0.0,0.0
multiplier_n15,441,379,0.8020024100551382,953.5185546875,0.0,402,364,84.59577687690035,13849.8369140625,0.0,483,401,22.413933321950026,6185.966796875,0.0,531,450,0.03504706604871899,10.5556640625
qf21_n15,226,288,0.26278287591412663,520.2138671875,0.0556640625,226,310,56.435003704042174,11138.7724609375,0.053466796875,244,318,2.9025350059382617,1194.8056640625,0.039306640625,0,0,0.0,0.0
sat_n11,420,560,0.541618661954999,1020.0380859375,0.022216796875,429,552,74.95741303195246,14530.0166015625,0.03759765625,489,616,10.563400972052477,1956.556640625,0.03857421875,381,524,0.013351524947211146,10.50390625
seca_n11,132,118,0.14535124192479998,337.0595703125,0.01904296875,120,104,22.94056228303816,7210.462890625,0.024658203125,120,102,4.689506630063988,1359.265625,0.0205078125,0,0,0.0,0.0
bv_n14,34,26,0.04193643992766738,91.3447265625,0.0,43,41,0.9497072509257123,2866.451171875,0.0,43,35,0.4219519259640947,825.2451171875,0.0,0,0,0.0,0.0
ising_n10,108,136,0.1597664690343663,566.8935546875,0.26123046875,147,106,42.77487782295793,21634.32421875,0.2587890625,153,113,5.632149419980124,1042.7548828125,0.268310546875,0,0,0.0,0.0
qaoa_n6,69,161,0.09566815395373851,328.568359375,0.0830078125,93,145,8.235507509903982,2458.90625,0.0966796875,102,153,2.3482343920040876,784.4677734375,0.08203125,0,0,0.0,0.0
qpe_n9,61,100,0.06523288192693144,179.2333984375,0.0859375,61,102,4.644517321954481,1501.6552734375,0.080078125,76,112,0.8181750089861453,326.939453125,0.05859375,0,0,0.0,0.0
simon_n6,29,44,0.034441614989191294,80.8857421875,0.03515625,29,42,0.33441434905398637,613.234375,0.0439453125,29,40,0.14440683997236192,179.859375,0.04052734375,0,0,0.0,0.0
vqe_uccsd_n6,1076,1499,0.6869952570414171,3161.515625,0.071044921875,1070,1487,23.18469121598173,21789.2646484375,0.063232421875,1088,1514,2.2288786249700934,3943.8720703125,0.08251953125,1073,1492,0.030647530918940902,29.0087890625
