,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE TVD,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight TVD,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,ForeSight SSOnly TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,122,158,0.210154238040559,273.5419921875,0.0,104,132,4.043068805010989,3746.7041015625,0.0,113,144,0.5155694299610332,687.783203125,0.0,104,127,0.022022451972588897,4.7412109375
dnn_n8,207,186,0.3151579239638522,1186.60546875,0.145263671875,207,186,9.45058305200655,9557.71875,0.118896484375,207,186,10.520303400000557,9245.46484375,0.113037109375,0,0,0.0,0.0
cc_n12,27,40,0.043847819906659424,94.6328125,1.00244140625,27,38,0.12315174099057913,250.6064453125,1.009765625,27,38,0.12405118404421955,234.4736328125,1.005859375,0,0,0.0,0.0
multiplier_n15,540,449,0.6944203719031066,1063.9921875,0.0,462,383,228.78579741204157,98233.6064453125,0.0,540,414,20.287420021020807,11409.81640625,0.0,558,467,0.04687429696787149,10.6240234375
qf21_n15,226,318,0.2673838319024071,534.0498046875,0.02978515625,205,303,12.867884414969012,8810.7958984375,0.02734375,274,333,1.3506010880228132,508.3759765625,0.023193359375,0,0,0.0,0.0
sat_n11,582,654,0.7596033529844135,1223.982421875,0.028076171875,504,608,127.34384244703688,47265.5458984375,0.03466796875,582,673,9.004430513014086,2867.6298828125,0.048583984375,480,579,0.035364370909519494,10.96875
seca_n11,159,122,0.20987217302899808,388.7900390625,0.0244140625,150,122,46.21965397102758,13696.9248046875,0.027587890625,159,119,8.6027579739457,1780.484375,0.0244140625,0,0,0.0,0.0
bv_n14,31,31,0.04060456599108875,93.8583984375,0.0,31,31,0.11416395904961973,440.7333984375,0.0,31,31,0.07781094498932362,207.4765625,0.0,0,0,0.0,0.0
ising_n10,105,106,0.1641262189950794,572.876953125,0.2587890625,105,74,6.385436821961775,5206.1630859375,0.26123046875,132,94,3.2933631790801883,3135.5537109375,0.27490234375,0,0,0.0,0.0
qaoa_n6,72,184,0.11270712607074529,340.306640625,0.0966796875,90,133,44.15484071604442,12996.1591796875,0.083740234375,99,145,5.183878754032776,3253.2001953125,0.089599609375,0,0,0.0,0.0
qpe_n9,82,121,0.09737240802496672,218.3427734375,0.078125,79,112,4.079662648029625,3768.7685546875,0.084716796875,100,131,0.4675846300087869,607.9052734375,0.080078125,0,0,0.0,0.0
simon_n6,26,39,0.03294286993332207,83.5849609375,0.037353515625,23,37,0.3501941030845046,788.2490234375,0.049072265625,23,35,0.1237774200271815,207.3681640625,0.047607421875,0,0,0.0,0.0
vqe_uccsd_n6,1082,1495,0.8395542100770399,3186.43359375,0.067138671875,1079,1500,12.107139872037806,12749.33203125,0.06787109375,1112,1521,1.9657459040172398,4165.5205078125,0.07080078125,1133,1546,0.05225217610131949,29.4375
