,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE TVD,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight TVD,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,ForeSight SSOnly TVD,A* CNOTs,A* Depth,A* Time,A* Memory
4gt10-v1_81.qasm,174,211,0.1796010349644348,341.994140625,0.0,174,201,0.26827146008145064,704.64453125,0.0,174,201,0.2685201090062037,278.4921875,0.0,177,194,0.015809735050424933,5.10546875
mini_alu_305.qasm,221,234,0.24075392808299512,406.8779296875,0.0,263,201,55.31962091603782,5323.6396484375,0.0,305,255,3.911717416951433,568.125,0.0,215,188,0.021847981959581375,5.01953125
mod5mils_65.qasm,46,59,0.04528594599105418,97.826171875,0.0,40,48,0.05795584199950099,170.767578125,0.0,40,48,0.05752080795355141,84.12890625,0.0,37,43,0.0028469599783420563,2.689453125
xor5_254.qasm,14,15,0.0164773550350219,39.7158203125,0.0,14,15,0.020406253985129297,80.95703125,0.0,14,14,0.019083669991232455,64.93359375,0.0,11,11,0.0027043040608987212,2.302734375
4gt5_77.qasm,157,187,0.1673504109494388,300.46875,0.0,172,191,0.7972292989725247,887.0322265625,0.0,178,201,0.7194621260277927,674.416015625,0.0,157,181,0.005250263027846813,4.193359375
decod24-v3_45.qasm,172,212,0.18460422789212316,327.7578125,0.0,178,205,0.9979293330106884,1107.5458984375,0.0,184,211,0.7385024559916928,562.2783203125,0.0,172,206,0.005414268933236599,4.4658203125
4mod5-v0_18.qasm,88,104,0.14073004596866667,183.5361328125,0.0,76,92,0.19778884609695524,470.892578125,0.0,76,92,0.1464656760217622,286.42578125,0.0,82,92,0.0037633979227393866,3.2353515625
cnt3-5_180.qasm,584,533,0.6764981140149757,1039.78515625,0.0,641,562,103.68689810694195,892.01953125,0.0,686,586,11.697892407071777,2910.943359375,0.0,566,559,0.028647132101468742,10.3408203125
wim_266.qasm,1330,1454,1.5152871670434251,2208.05859375,0.0,1294,1338,89.33118197193835,1719.94921875,0.0,1411,1416,10.80997737403959,1812.77734375,0.0,1360,1432,0.04816767096053809,18.9443359375
4mod5-v1_24.qasm,43,54,0.04255742591340095,95.85546875,0.0,40,50,0.08553363394457847,256.611328125,0.0,40,50,0.08276643697172403,220.263671875,0.0,37,44,0.01961755403317511,2.697265625
alu-v4_37.qasm,42,48,0.04089660698082298,94.94921875,0.0,39,44,1.469744349946268,170.0361328125,0.0,39,44,0.05660474509932101,171.2236328125,0.0,39,40,0.003205994958989322,2.71875
decod24-v1_41.qasm,95,119,0.09662475902587175,196.9609375,0.0,98,115,0.16887366899754852,399.845703125,0.0,98,116,0.1418328529689461,358.115234375,0.0,101,121,0.0035698889987543225,3.48046875
4gt11_84.qasm,18,22,0.019774002954363823,47.5380859375,0.0,18,22,0.025293895974755287,90.41015625,0.0,18,22,0.025295105995610356,75.16796875,0.0,21,24,0.022216376033611596,2.451171875
decod24-v2_43.qasm,55,71,0.05399911000858992,123.01953125,0.0,55,68,0.10320568596944213,312.9326171875,0.0,55,68,0.10019795596599579,264.3388671875,0.0,52,64,0.002992361900396645,2.9169921875
4gt5_75.qasm,95,117,0.09705947095062584,195.23828125,0.0,107,120,0.27277353894896805,664.1328125,0.0,113,130,0.19479689409490675,461.5478515625,0.0,101,112,0.004593722056597471,3.46484375
ising_model_13.qasm,135,105,0.1930449130013585,741.1005859375,0.697265625,153,112,3.0840428340015933,6130.9306640625,0.689697265625,153,112,0.697701844968833,469.76171875,0.688232421875,0,0,0.0,0.0
dc1_220.qasm,2570,2775,2.990947555983439,4508.6025390625,0.0,2618,2775,138.13877387403045,3374.06640625,0.0,2801,2889,9.44440858589951,3839.03515625,0.0,2897,3010,0.07131335604935884,37.2568359375
adr4_197.qasm,5065,5130,6.181934825959615,8544.7470703125,0.0,5308,5212,624.346310229972,6573.28515625,0.0,5506,5399,47.76701058598701,7693.77734375,0.0,5611,5412,0.11139599001035094,65.7158203125
C17_204.qasm,586,679,0.6414662459865212,1024.7607421875,0.0,589,640,38.87924159702379,16240.82421875,0.0,607,640,2.7828938629245386,1862.3994140625,0.0,589,643,0.011670648003928363,9.673828125
mod10_171.qasm,294,329,0.31754002603702247,536.70703125,0.0,306,342,8.586174487019889,8165.5546875,0.0,318,368,0.8927890280028805,1215.7080078125,0.0,279,337,0.005903873010538518,5.884765625
one-two-three-v1_99.qasm,164,201,0.1681750339921564,305.7998046875,0.0,158,178,0.4435054250061512,629.23828125,0.0,158,178,0.23397866694722325,562.41796875,0.0,158,173,0.004561998997814953,4.2080078125
4gt13_92.qasm,75,89,0.07386303599923849,157.107421875,0.0,84,97,0.12439506594091654,381.078125,0.0,84,97,0.17260857892688364,295.6943359375,0.0,87,96,0.003193038050085306,3.23828125
decod24-v0_38.qasm,53,65,0.05024527991190553,115.7607421875,0.0,50,63,0.10607610200531781,266.04296875,0.0,50,63,0.10705102898646146,249.57421875,0.0,50,59,0.0029825670644640923,2.8994140625
4mod5-v1_23.qasm,92,107,0.092598189949058,179.330078125,0.0,92,103,0.3264284200267866,219.69921875,0.0,92,103,0.14986673300154507,180.51171875,0.0,86,98,0.0032550450414419174,3.2587890625
aj-e11_165.qasm,186,209,0.18915531295351684,343.8583984375,0.0,168,198,0.23142296902369708,612.552734375,0.0,168,198,0.2854692710097879,579.099609375,0.0,174,201,0.005382879986427724,4.4638671875
alu-v1_28.qasm,45,50,0.04303828801494092,98.12109375,0.0,39,43,0.05103346589021385,93.62890625,0.0,39,43,0.05158182804007083,147.2626953125,0.0,42,45,0.002559460001066327,2.7353515625
alu-bdd_288.qasm,116,125,0.12078139104414731,222.224609375,0.0,95,107,0.2869367010425776,567.07421875,0.0,95,107,0.23028782603796571,487.3046875,0.0,107,108,0.00419126998167485,3.509765625
ex-1_166.qasm,24,31,0.024679466034285724,54.5615234375,0.0,21,28,0.03403634810820222,109.5458984375,0.0,21,28,0.03380720503628254,97.0849609375,0.0,18,22,0.0024794999044388533,2.4404296875
pm1_249.qasm,2412,2645,2.829801379935816,3800.4111328125,0.0,2427,2549,142.12304582400247,3472.82421875,0.0,2538,2630,14.403477363055572,3240.91015625,0.0,2568,2659,0.07133060100022703,33.68359375
alu-v2_31.qasm,555,660,0.6127999890595675,919.73046875,0.0,579,646,9.25182657095138,9556.1025390625,0.0,585,667,1.4762089650612324,931.77734375,0.0,552,643,0.012656953069381416,9.2607421875
one-two-three-v3_101.qasm,80,95,0.07972355606034398,166.53125,0.0,89,99,0.199613256030716,446.6591796875,0.0,89,99,0.13488010899163783,330.4853515625,0.0,80,88,0.003589345025829971,3.2333984375
rd53_138.qasm,165,183,0.17351334495469928,288.2197265625,0.0,192,172,19.083515604026616,3064.0009765625,0.0,192,172,1.5654514719499275,718.4033203125,0.0,174,142,0.02050158998463303,4.3037109375
4gt11_82.qasm,42,44,0.036819748929701746,85.015625,0.0,39,41,0.04484758200123906,79.10546875,0.0,39,41,0.04677284706849605,139.326171875,0.0,36,39,0.002511001075617969,2.6181640625
4gt12-v0_87.qasm,307,344,0.31364381208550185,551.15625,0.0,337,338,18.01355914294254,4803.34375,0.0,337,345,1.3396907990099862,1310.84765625,0.0,307,339,0.012904147966764867,6.0703125
alu-v2_32.qasm,195,228,0.211423450964503,361.560546875,0.0,195,224,1.6785780770005658,1950.2373046875,0.0,195,224,0.34142870106734335,763.6201171875,0.0,195,237,0.005533796036615968,4.7109375
