,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,146,186,0.038153788000000244,134,173,0.07746916699999984,137,176,0.04126057800000016,161,197,0.00480972799999968,5.48046875
dnn_n8,192,243,316,0.10050211100000084,252,196,10.046000232,258,197,0.7183393749999993,0,0,0.0,0.0
multiply_n13,40,97,91,0.03333176799999649,109,91,5.9934124010000005,109,85,0.3420170659999968,0,0,0.0,0.0
multiplier_n15,246,588,516,0.1966225979999905,570,460,23.884636259000004,621,484,1.2004429529999925,678,507,0.02166223799997624,12.482421875
qf21_n15,115,343,391,0.11225914299998863,310,384,1.1551664469999992,370,365,0.21928012000000763,0,0,0.0,0.0
sat_n11,252,666,747,0.25158959499998446,570,674,9.325385572000016,594,714,0.3798509730000035,693,763,0.022389777000000777,13.5126953125
seca_n11,84,171,136,0.05374949299999798,162,127,9.87852762,195,161,0.5436063040000079,0,0,0.0,0.0
bv_n14,13,46,47,0.015601384999996526,52,48,0.01331466799999248,52,48,0.014312063000005537,0,0,0.0,0.0
ising_n10,90,90,71,0.027230363000001034,90,71,0.027749074000013252,90,71,0.026882711999974163,0,0,0.0,0.0
qaoa_n6,54,90,147,0.03331740999999511,99,141,1.859476375000014,111,148,0.4568006419999904,0,0,0.0,0.0
qpe_n9,43,97,132,0.029485760000000028,94,128,0.1472438539999814,118,132,0.034847401000007494,0,0,0.0,0.0
simon_n6,14,38,50,0.011779144999991331,32,48,0.017425775999981852,32,48,0.013493444000005184,0,0,0.0,0.0
vqe_uccsd_n6,1052,1136,1561,0.18440436400001659,1136,1561,0.7920508539999958,1142,1567,0.2356243549999988,1517,1982,0.03439548800000125,32.6259765625
