,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,A* CNOTs,A* Depth,A* Time,A* Memory
4_49_16.qasm,99,270,319,0.3859878990000003,464.490234375,252,281,40.712259579,21087.0,270,299,2.139963931000004,926.552734375,225,246,0.012503195000000744,7.5546875
sys6-v0_111.qasm,98,254,178,0.4749471559999989,433.0498046875,227,159,224.233586025,23870.171875,251,175,7.562347606000003,1640.8115234375,245,201,0.01370507000001453,6.7060546875
rd53_130.qasm,448,1195,1334,1.9670366790000458,2058.6015625,1039,1162,555.416134282,82728.90234375,1111,1231,28.860835257000076,5943.1806640625,1066,1165,0.0386666099999502,18.6552734375
alu-v2_31.qasm,198,504,585,0.8260551010000654,867.95703125,441,511,165.78250273499987,36768.525390625,471,525,7.867639499000006,2293.8544921875,459,486,0.018477368000048955,10.021484375
4gt5_77.qasm,58,133,162,0.1951413169999796,247.4296875,136,153,40.73883987099998,17582.828125,145,154,1.3072293990001072,817.1259765625,136,155,0.010704807999900368,5.3525390625
radd_250.qasm,1405,3844,4041,6.317458805999877,6601.3076171875,3475,3807,2575.627577301,322624.763671875,3718,4010,107.0167514980003,21581.2119140625,3694,3936,0.16645202700010486,54.673828125
mod10_176.qasm,78,198,229,0.2912355450002906,350.744140625,174,205,49.30915374799997,10789.9326171875,177,200,1.8074879010000586,925.8994140625,180,205,0.012767455000357586,6.0341796875
C17_204.qasm,205,547,582,0.9014126449997093,922.0029296875,475,528,239.67186750599967,44504.5927734375,508,562,10.56439483200029,3339.1728515625,511,568,0.022600528000111808,10.5078125
0410184_169.qasm,104,251,230,0.36002885100060666,424.109375,242,212,45.599526134999905,14703.8701171875,248,223,2.5078479969997716,1158.2861328125,290,235,0.0584668090004925,7.0595703125
con1_216.qasm,415,1084,1140,1.7870037239999874,1912.4833984375,1012,1095,435.6900529530003,72626.150390625,1138,1153,19.59682713700022,6214.79296875,1069,1161,0.040062408999801846,17.908203125
rd53_311.qasm,124,373,361,0.6184443850006573,605.333984375,313,274,252.8618436780007,45310.408203125,331,277,6.674111049000203,2334.619140625,337,335,0.022278682999967714,7.8564453125
4gt13_91.qasm,49,127,130,0.17659706399990682,222.0146484375,103,118,8.62455505700018,4123.5478515625,112,127,0.6246311130007598,507.013671875,109,124,0.011234937999688555,4.85546875
one-two-three-v0_98.qasm,65,179,209,0.2407221479998043,301.6298828125,158,182,13.012902991000374,5981.822265625,167,182,1.992724857000212,828.146484375,149,175,0.01407244899928628,5.513671875
4gt13_90.qasm,53,137,138,0.17816865900022094,230.0263671875,110,126,10.285156406999704,4384.6865234375,113,128,0.536675866999758,400.296875,113,127,0.01071881499956362,4.9140625
ex3_229.qasm,175,445,522,0.6383487279999827,778.7744140625,400,475,126.65595483800007,37360.3935546875,412,469,5.062587542999609,2191.361328125,415,461,0.019781713000156742,9.3046875
adr4_197.qasm,1498,4009,4189,6.825281204000021,6332.82421875,3760,3906,4160.366205989,485121.8857421875,4078,4165,164.19124265100072,29113.45703125,3784,3917,0.12644266600000265,55.603515625
one-two-three-v1_99.qasm,59,155,185,0.21695912100040005,271.8427734375,134,154,21.930563768000866,8238.2490234375,140,158,1.1058417510012077,722.2724609375,143,165,0.011774839000281645,5.400390625
mini-alu_167.qasm,126,330,382,0.4887366250004561,568.603515625,285,331,105.64815424900007,28313.6396484375,306,342,3.864796625000963,1181.4677734375,303,351,0.016521073999683722,7.626953125
alu-v2_30.qasm,223,583,665,0.8959107470000163,986.7333984375,499,574,165.38741682100044,39884.3076171875,544,607,6.342901228999835,2357.6865234375,535,595,0.020975819001250784,10.962890625
4gt5_76.qasm,46,115,135,0.15546633399935672,200.45703125,106,124,4.3823743909997575,3403.6943359375,106,124,0.46499699900050473,368.421875,103,116,0.010625569000694668,4.71875
rd53_131.qasm,200,515,577,0.7642678350002825,898.583984375,470,532,248.7979025349996,43320.0927734375,515,562,6.147171021999384,2378.3525390625,494,545,0.02054010299980291,10.4169921875
mini_alu_305.qasm,77,203,160,0.32425987200076634,349.4482421875,182,147,144.3374987849984,32438.373046875,209,157,8.172136582001258,1054.177734375,194,159,0.01221723100024974,6.0751953125
4mod7-v0_94.qasm,72,189,221,0.26918764099900727,324.77734375,162,189,61.01032719700015,12233.310546875,171,197,4.032392297000115,563.7421875,168,178,0.01171208899904741,5.7236328125
z4_268.qasm,1343,3749,3907,6.200269623999702,6417.5517578125,3281,3455,3163.592580511,385274.5947265625,3746,3834,157.33292099699975,28495.970703125,3431,3554,0.1320099679996929,51.068359375
cm82a_208.qasm,283,760,759,1.1565446679996967,1269.4599609375,655,688,349.0057386289991,58252.95703125,715,733,13.657587329000307,3221.1923828125,700,740,0.027731037000194192,13.2060546875
aj-e11_165.qasm,69,180,205,0.36796462900019833,306.6357421875,147,165,59.048415018000014,29801.1669921875,159,181,2.3969095690008544,1387.8046875,159,179,0.01207144399995741,5.83984375
alu-v0_26.qasm,38,104,99,0.15249078600027133,184.857421875,86,92,16.26947388500048,9408.41015625,101,111,0.6494719150014134,544.2744140625,83,96,0.009193485999276163,4.6484375
sym6_316.qasm,123,342,322,0.5221007559994177,570.2294921875,309,285,180.99682430100074,46844.88671875,339,301,11.0573714559996,2255.880859375,333,317,0.019709124999280903,7.826171875
decod24-bdd_294.qasm,32,89,92,0.12444516200048383,162.884765625,77,84,12.761639094000202,3679.73828125,77,88,1.2185041089996957,663.396484375,74,81,0.01024747400151682,4.5009765625
dc1_220.qasm,833,2192,2254,3.4234708250005497,3702.0869140625,2006,2150,1250.3097842360003,183661.2216796875,2183,2352,43.6287759730003,11642.4677734375,2024,2146,0.06293207499948039,31.6474609375
decod24-enable_126.qasm,149,416,472,0.8338129889998527,726.2275390625,368,419,114.01882432399907,22855.556640625,389,430,3.9561635450008907,1029.1904296875,365,402,0.019994532000055187,8.41015625
one-two-three-v2_100.qasm,32,80,84,0.10700554499999271,145.740234375,74,78,30.2472466119998,21564.5830078125,77,85,0.4933180620009807,364.9150390625,68,79,0.0099620450000657,4.3818359375
mod5adder_127.qasm,239,596,674,0.8645974789997126,1039.9501953125,548,629,279.5455347490006,62581.6318359375,590,661,9.388646089000758,993.80078125,569,613,0.02212791799865954,11.53515625
one-two-three-v3_101.qasm,32,83,97,0.10484355199878337,153.5234375,80,92,2.8518321419996937,1926.2236328125,83,96,0.4359573799993086,153.29296875,86,91,0.009551562001433922,4.5419921875
mod8-10_177.qasm,196,523,589,0.7416268380002293,879.33984375,448,518,129.80887610300124,31874.107421875,469,532,7.291545549000148,2287.8525390625,457,497,0.019894090000889264,9.91796875
ising_model_13.qasm,120,150,146,0.288242974998866,701.8681640625,129,76,28.740126280999903,18340.244140625,249,146,11.854802537998694,9190.921875,0,0,0.0,0.0
sf_276.qasm,336,888,1011,1.3165921590007201,1449.74609375,756,874,267.0871840129985,59124.7119140625,816,928,11.231007192000106,3476.1416015625,804,882,0.03052184699845384,14.8935546875
cm42a_207.qasm,771,2052,2103,3.304081791997305,3542.2021484375,1857,1958,1294.3995601179995,174787.498046875,2031,2106,58.29770027300037,10666.71484375,1947,2037,0.07001228000081028,30.484375
4gt12-v1_89.qasm,100,262,306,0.3702322360004473,421.84375,229,264,39.01607424300164,11882.9619140625,241,277,2.7481544490001397,1373.5576171875,244,270,0.014276157002313994,6.8271484375
pm1_249.qasm,771,2088,2135,3.2635182840022026,3532.2763671875,1839,1953,1135.5636102979988,2928.80859375,2049,2104,47.57520844699684,3330.1484375,1947,2037,0.07697035300225252,30.484375
mod10_171.qasm,108,273,304,0.39401806100067915,479.5546875,243,285,46.076178852999874,16267.55859375,252,288,2.393412579996948,1259.09375,255,294,0.014162794999720063,7.02734375
decod24-v1_41.qasm,38,98,112,0.13210651799818152,179.84765625,98,110,3.125289341998723,2269.1181640625,101,109,0.5078225120014395,176.03125,89,102,0.010030142002506182,4.689453125
4gt12-v0_88.qasm,86,224,269,0.31367464999857475,390.564453125,197,227,58.90733565499977,12802.93359375,200,229,2.296735809999518,632.75,209,229,0.01434188399798586,6.232421875
rd53_138.qasm,60,156,136,0.21488549499918008,271.58984375,132,115,45.36031357699903,6636.2060546875,150,132,5.38967455799866,266.640625,138,122,0.011152544000651687,5.2841796875
4gt4-v0_79.qasm,105,267,295,0.3804734940022172,463.1005859375,222,255,89.22435386000143,12684.849609375,246,276,2.7412127850002435,1370.283203125,255,288,0.017086051000660518,6.8125
alu-v3_34.qasm,24,60,71,0.08039716400162433,112.5234375,57,65,0.31385004199910327,360.2705078125,57,63,0.238145520001126,143.56640625,54,58,0.008791043997916859,4.2080078125
