,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
SK_6_1 (grid_search_30_30),24,53,0.012906456999999705,24,53,0.014888109999999788,0.0,1.0344827586206897,0.964284927869625,1.0,0.0,36,63,0.003249422000000113
SK_6_1 (grid_search_60_60),24,59,0.013714646000000386,24,59,0.014766868999999794,0.0,1.0344827586206897,0.964284927869625,1.0,0.0,36,63,0.004860594999999801
SK_7_1 (grid_search_30_30),42,73,0.02380934700000026,42,71,0.1589548719999998,0.6363636363636364,1.2,1.1161157134071205,1.0,0.0,54,76,0.0031336650000000077
SK_7_1 (grid_search_60_60),63,96,0.02919299800000008,63,96,0.03728843599999987,1.0,1.2,1.1161157134071205,1.0,0.0,54,76,0.003800346000000232
SK_8_1 (grid_search_30_30),72,93,0.037180144999999776,72,95,0.14751907900000027,0.7719298245614035,1.3658536585365855,1.2832142866308198,1.0,0.0,75,99,0.004094997000000156
SK_8_1 (grid_search_60_60),81,104,0.039882376999999636,81,107,0.044783586999999514,1.0,1.3658536585365855,1.2832142866308198,1.0,0.0,75,99,0.004090528999999954
SK_9_1 (grid_search_30_30),78,104,0.03898945500000117,78,100,0.24855207999999962,0.7027027027027027,1.5319148936170213,1.4417935613699926,1.0,0.0,96,119,0.004523187000000206
SK_9_1 (grid_search_60_60),69,92,0.04113430700000009,69,94,0.07840994700000081,0.7894736842105263,1.5319148936170213,1.4417935613699926,1.0,0.0,96,119,0.0042003869999991394
SK_10_1 (grid_search_30_30),117,134,0.06334611599999995,111,114,0.09595939000000087,0.7608695652173914,1.6981132075471699,1.6087602828145064,1.0,0.0,117,139,0.004721097000000896
SK_10_1 (grid_search_60_60),123,134,0.06337796900000114,114,134,0.067863805,1.0,1.6981132075471699,1.6087602828145064,1.0,0.0,117,139,0.004746019000000601
SK_11_1 (grid_search_30_30),123,145,0.06601083799999863,123,141,0.10683374900000153,0.8869565217391304,1.8644067796610169,1.7703550071890835,1.0,0.0,144,157,0.006193405999999513
SK_11_1 (grid_search_60_60),114,140,0.06518279900000046,114,140,0.08286711900000121,1.0,1.8644067796610169,1.7703550071890835,1.0,0.0,144,157,0.005530249000001319
SK_12_1 (grid_search_30_30),153,164,0.08478293199999953,165,164,0.2844683950000011,0.8571428571428571,2.0307692307692307,1.9372401524550393,1.0,0.0,171,180,0.00623414000000011
SK_12_1 (grid_search_60_60),168,193,0.12561755100000127,177,194,0.19490640200000087,0.8382352941176471,2.0307692307692307,1.9372401524550393,1.0,0.0,171,180,0.006702399999998221
SK_13_1 (grid_search_30_30),210,222,0.12055706099999952,207,207,0.18273687800000005,0.9559748427672956,2.1971830985915495,2.100434014907859,1.0,0.0,210,201,0.007605526999999057
SK_13_1 (grid_search_60_60),255,247,0.21875325299999915,249,251,0.24357098699999824,0.8987341772151899,2.1971830985915495,2.100434014907859,1.0,0.0,210,201,0.007551316000000696
SK_14_1 (grid_search_30_30),225,226,0.20651368200000064,234,213,0.1619234469999995,1.0,2.3636363636363638,2.267266166061805,1.0,0.0,255,234,0.008479277999999368
SK_14_1 (grid_search_60_60),237,215,0.14239640799999975,246,230,0.19309657900000232,0.9297297297297298,2.3636363636363638,2.267266166061805,1.0,0.0,255,234,0.008516805999999377
SK_15_1 (grid_search_30_30),252,260,0.14812030999999592,255,244,0.2918919769999988,0.9245283018867925,2.5301204819277108,2.431407690819884,1.0,0.0,309,272,0.010148325999999486
SK_15_1 (grid_search_60_60),294,267,0.2759770619999955,294,249,0.29344067799999607,0.909952606635071,2.5301204819277108,2.431407690819884,1.0,0.0,309,272,0.009988638999999466
SK_16_1 (grid_search_30_30),336,253,0.198497433,339,258,0.2846134649999996,0.9338842975206612,2.696629213483146,2.5982037631990353,1.0,0.0,372,321,0.013003010000005588
SK_16_1 (grid_search_60_60),303,280,0.18891684799999808,291,232,0.24572987300000193,0.8995983935742972,2.696629213483146,2.5982037631990353,1.0,0.0,372,321,0.011764558000002978
SK_17_1 (grid_search_30_30),360,289,0.22964495699999787,357,303,0.27733495700000077,0.9745454545454545,2.863157894736842,2.7629523733091235,1.0,0.0,444,384,0.014877988999998593
SK_17_1 (grid_search_60_60),372,324,0.26672203700000097,381,297,0.5358457359999989,0.9304029304029304,2.863157894736842,2.7629523733091235,1.0,0.0,444,384,0.016641321999998127
SK_18_1 (grid_search_30_30),357,310,0.34231462599999674,378,299,0.29923529799999926,0.9285714285714286,3.0297029702970297,2.9297228792834855,1.0,0.0,540,467,0.024398171000001412
SK_18_1 (grid_search_60_60),402,299,0.25734914999999603,405,315,0.3263297399999985,0.948051948051948,3.0297029702970297,2.9297228792834855,1.0,0.0,540,467,0.023575879999995664
