,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,107,142,0.03951842011883855,122,154,0.1125117049086839,0.0812,0.0742,0.9137931034482759,104,127,0.02645876118913293,5.1787109375
qft_n15,210,411,249,0.27175338100641966,528,291,35.70059717912227,1.2647,1.2548,0.9921720566142168,438,407,0.0536661590449512,15.0224609375
multiply_n13,40,79,78,0.03572291089221835,85,82,1.4153399830684066,0.0885,0.0844,0.9536723163841808,0,0,0.0,0.0
multiplier_n15,246,519,457,0.3729214440099895,534,413,10.73199822800234,0.3694,0.3158,0.8548998375744451,558,467,0.0730190109461546,10.6240234375
sat_n11,252,501,611,0.2218677478376776,510,615,6.70247916597873,0.1718,0.1266,0.7369033760186262,480,579,0.01835664384998381,10.96875
seca_n11,84,150,128,0.06911146710626781,144,124,3.054419633001089,0.0932,0.0814,0.8733905579399142,0,0,0.0,0.0
bv_n14,13,34,29,0.01547477999702096,43,38,0.014921082882210612,0.0507,0.0325,0.641025641025641,0,0,0.0,0.0
ising_n10,90,90,71,0.04173553688451648,90,71,0.03602763800881803,0.1731,0.1722,0.9948006932409011,0,0,0.0,0.0
qaoa_n6,54,72,152,0.03560046898201108,90,137,0.4308883298654109,0.0708,0.0571,0.8064971751412429,0,0,0.0,0.0
qpe_n9,43,73,112,0.029354532016441226,85,119,0.03913893201388419,0.0626,0.063,1.0063897763578273,0,0,0.0,0.0
