,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,376,301,0.1872621290385723,346,270,35.6482397262007,373,282,1.4545061318203807,355,345,0.033871981082484126,8.4287109375
rd53_311.qasm,124,343,298,0.1884897209238261,322,288,23.62304888293147,340,292,0.8018948209937662,331,327,0.0211273489985615,6.6533203125
one-two-three-v0_97.qasm,128,353,422,0.14778230083175004,335,398,0.5594564659986645,335,398,0.26623901003040373,311,324,0.015846200985834002,6.595703125
mod8-10_178.qasm,152,386,447,0.16633123508654535,341,389,4.98714585788548,356,407,0.2704613481182605,395,463,0.03431148384697735,7.517578125
decod24-enable_126.qasm,149,386,464,0.16075136908330023,344,394,6.022625820012763,356,409,0.28666410711593926,365,402,0.03451939998194575,7.31640625
mini-alu_167.qasm,126,336,384,0.14942150190472603,285,331,6.1382361280266196,300,335,0.24556324491277337,303,351,0.03205165406689048,6.533203125
rd53_135.qasm,134,344,349,0.15032984386198223,299,317,6.510002948110923,320,328,0.4370809809770435,335,328,0.03390231681987643,6.787109375
ham7_104.qasm,149,374,410,0.15959128295071423,329,361,9.357535758055747,359,401,0.438918316969648,341,362,0.018280155956745148,7.0732421875
sym6_316.qasm,123,342,321,0.16848273295909166,306,288,21.172286516986787,348,310,0.5324385748244822,333,317,0.034758551977574825,6.626953125
rd84_142.qasm,154,382,255,0.19109931401908398,361,237,69.33589968294837,385,260,3.4401126820594072,382,282,0.033896361012011766,7.5927734375
