,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,379,305,0.17922720010392368,346,271,53.86124267592095,379,314,2.022068097954616,355,345,0.01699560577981174,7.3662109375
rd53_311.qasm,124,337,290,0.16461310000158846,295,276,27.286942730890587,316,279,1.2769232110586017,331,327,0.036849378142505884,6.6533203125
one-two-three-v0_97.qasm,128,323,363,0.2777123120613396,287,334,3.8289887751452625,302,348,0.1954368578735739,311,324,0.03355414094403386,6.595703125
mod8-10_178.qasm,152,386,444,0.16925970907323062,338,387,3.8452969300560653,347,398,0.2036732619162649,395,463,0.03463378082960844,7.517578125
decod24-enable_126.qasm,149,383,419,0.16817968687973917,341,391,3.9825868571642786,356,401,0.22677957895211875,365,402,0.035534547874704,7.31640625
mini-alu_167.qasm,126,333,378,0.14575170585885644,285,337,5.3946418459527194,294,343,0.3317967690527439,303,351,0.03328633913770318,6.533203125
rd53_135.qasm,134,335,375,0.14630315313115716,305,321,8.560518064070493,335,354,0.4258509110659361,335,328,0.034034835174679756,6.787109375
ham7_104.qasm,149,383,407,0.1643492542207241,332,375,4.585362715879455,350,372,0.2992912260815501,341,362,0.033952299039810896,7.0732421875
sym6_316.qasm,123,339,300,0.16712452797219157,300,286,12.697270142147318,330,280,1.1511255798395723,333,317,0.03722153604030609,6.626953125
rd84_142.qasm,154,403,308,0.21226995810866356,370,255,66.65757803898305,397,279,3.605946075869724,382,282,0.03436665004119277,7.5927734375
