,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
xor5_254.qasm,5,9,14,0.07514042900000018,0,3,8,0.06048225700000032,0,0,9,14,0.010439639999999972,0,11,16,0.10311238699999992,0,16
4_49_16.qasm,99,171,320,0.07780015100000037,0,168,283,0.1299685850000003,0,0,165,299,0.16404245699999986,0,126,270,2.5206019070000005,0,16
sys6-v0_111.qasm,98,165,204,0.07827212699999819,0,147,234,0.11185330000000704,0,0,156,187,7.889113711,0,187,202,2.500309412,0,16
rd53_130.qasm,448,759,1364,0.5690141370000106,0,795,1356,0.6346368819999952,0,0,696,1286,21.621931173000007,0,781,1322,21.11523187199998,0,16
alu-v2_31.qasm,198,336,597,0.27751130899997634,0,261,520,0.5162803819999908,0,0,321,574,5.303747194999971,0,416,616,12.90575272000001,0,16
4gt5_77.qasm,58,72,157,0.058089762000008704,0,66,146,0.12935271200001353,0,0,69,150,0.600369962000002,0,88,177,2.8043723729999783,0,16
radd_250.qasm,1405,2694,4468,2.4170734330000414,0,2580,4340,2.5083346170000027,0,0,2592,4355,68.49342275900005,0,2277,3946,99.44597410100005,0,16
mod10_176.qasm,78,114,231,0.05546797600004538,0,165,267,0.10547235299986824,0,0,96,205,0.5028549959999964,0,100,215,2.638890215000174,0,16
C17_204.qasm,205,366,646,0.152569572999937,0,324,552,0.17501086400011445,0,0,360,619,4.540172607999921,0,348,589,8.636606717999939,0,16
0410184_169.qasm,104,156,240,0.08240707700019811,0,180,251,0.12450008700011495,0,0,153,237,3.2758220820001043,0,265,263,3.8989228850000472,0,16
con1_216.qasm,415,780,1319,0.3497477420000905,0,786,1236,0.3771431909999592,0,0,723,1212,18.873632499999985,0,763,1248,19.659914096999955,0,16
rd53_311.qasm,124,258,346,0.13150319100009256,0,252,362,0.25627131500004907,0,0,237,295,9.422737488999928,0,304,374,6.335200396000118,0,16
4gt13_91.qasm,49,78,139,0.04529336800010242,0,81,138,0.09431295199988199,0,0,54,119,0.26551636499993947,0,84,140,1.0925116220000746,0,16
one-two-three-v0_98.qasm,65,108,208,0.07284209499994176,0,81,171,0.2234148530001221,0,0,81,174,0.8923533139998199,0,84,180,2.0705188389999876,0,16
