,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,413.0,234.0,362.3333333333333,335.0,0.09532052200000123,17.466537494
qft_n20,780.0,652.6666666666666,425.0,391.0,0.27127724133331793,381.3710366176667
ising_n26,50.0,63.0,42.333333333333336,42.0,0.055694819666617455,6.117110999666769
bv_n19,166.0,87.0,110.66666666666666,109.0,0.03204122666663049,273.1638118773333
dnn_n16,180.0,180.0,203.33333333333331,214.0,0.1659941810002389,169.45021529299999
multiplier_n25,2989.0,1608.0,2049.6666666666665,1547.0,0.7355537690000347,748.174434508
wstate_n27,9.0,9.0,87.0,83.0,0.01257947533319263,1.3699492513334615
ghz_state_n23,101.0,51.0,76.0,76.0,0.02110274899981353,1.2045249803336446
cat_state_n22,133.0,75.0,91.66666666666667,96.0,0.026774879333364275,2.5532889273338997
square_root_n18,3600.0,2352.3333333333335,3335.6666666666665,3012.6666666666665,0.8863704279998881,1647.8657271786665
cc_n18,135.0,57.0,134.33333333333334,114.0,0.8201582096668669,1.1657190350006204
