,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
qft_n15,412.2,583.8000000000001,303.0,409.59999999999997,0.12090374699999984,118.5663804806
dnn_n8,55.79999999999999,60.0,267.90000000000003,211.20000000000002,0.06973011240002053,66.27071722880011
adder_n10,113.7,72.00000000000001,188.7,175.99999999999997,0.025177855800006907,3.169560672100238
cc_n12,58.5,33.0,77.9,74.0,0.013593427300020266,0.6518093406999695
multiplier_n15,660.9,345.0,640.8,470.0,0.14562936330000867,54.42954141209997
qf21_n15,377.7,228.00000000000006,462.90000000000003,401.99999999999994,0.07587877549999576,13.226192730800063
sat_n11,724.8000000000001,438.00000000000006,927.3,752.9999999999999,0.1575515093000149,66.37319419269981
seca_n11,155.1,90.0,183.9,144.00000000000003,0.03724285590001273,6.982102014199927
bv_n14,71.1,42.00000000000001,65.30000000000001,61.00000000000001,0.012180254499980949,0.46118942669982055
ising_n10,0.0,0.0,71.0,71.0,0.015639988899965828,5.755322667100154
qaoa_n6,55.50000000000001,51.00000000000001,170.79999999999998,147.0,0.028323904999979277,3.327968264500441
qpe_n9,83.40000000000002,51.00000000000001,148.8,130.99999999999997,0.018902337500048817,1.86320174589996
simon_n6,16.5,11.999999999999998,49.80000000000001,43.99999999999999,0.004757604699898366,0.25941741790006745
