,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,373,312,0.1773630219977349,343,265,35.13233342813328,376,292,2.25995398289524,355,345,0.03474766784347594,7.3662109375
rd53_311.qasm,124,337,305,0.1630314241629094,316,267,17.488592772977427,340,272,1.6530647878535092,331,327,0.019654324976727366,6.6533203125
one-two-three-v0_97.qasm,128,353,422,0.15485054580494761,335,398,0.7905599582009017,335,398,0.2796630170196295,311,324,0.01572762313298881,6.595703125
mod8-10_178.qasm,152,377,442,0.25198519602417946,338,395,5.155658272095025,353,400,0.4444386560935527,395,463,0.017479374073445797,7.517578125
decod24-enable_126.qasm,149,383,450,0.16917968401685357,341,402,6.37011172901839,356,409,0.27988217398524284,365,402,0.018488910980522633,7.31640625
mini-alu_167.qasm,126,321,377,0.1393732139840722,282,323,7.583727264078334,300,340,0.26181892305612564,303,351,0.015817329986020923,6.533203125
rd53_135.qasm,134,344,360,0.15095886099152267,305,332,10.233358258847147,335,369,0.8648894180078059,335,328,0.03426179010421038,6.787109375
ham7_104.qasm,149,383,408,0.1647585651371628,347,368,10.247708013979718,356,398,0.3002866948954761,341,362,0.016632173908874393,7.0732421875
sym6_316.qasm,123,324,327,0.15740645513869822,303,281,18.301068292930722,309,296,0.48570593912154436,333,317,0.021443184930831194,6.626953125
rd84_142.qasm,154,403,296,0.21399417100474238,370,246,51.667403602041304,424,263,3.186531636863947,382,282,0.03440531203523278,7.5927734375
