,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,379,344,0.18924810108728707,343,269,24.11935317493044,361,297,1.5048600868321955,355,345,0.15406306111253798,7.3662109375
rd53_311.qasm,124,340,333,0.16523727891035378,313,297,12.39213553396985,334,261,1.339818196138367,331,327,0.021529190009459853,6.6533203125
one-two-three-v0_97.qasm,128,323,371,0.14026069384999573,287,325,2.740746957017109,302,351,0.23092766292393208,311,324,0.016439630882814527,6.595703125
mod8-10_178.qasm,152,392,455,0.1710275481455028,338,385,2.5007263850420713,359,403,0.34673068090341985,395,463,0.017137744929641485,7.517578125
decod24-enable_126.qasm,149,389,444,0.17254012706689537,341,390,2.8288656161166728,350,400,0.26760017802007496,365,402,0.017875484889373183,7.31640625
mini-alu_167.qasm,126,333,379,0.14627913711592555,285,333,3.3886363690253347,297,340,0.2256369509268552,303,351,0.03289929195307195,6.533203125
rd53_135.qasm,134,344,334,0.1531165731139481,299,331,3.556546897860244,320,333,0.25431495788507164,335,328,0.03342315391637385,6.787109375
ham7_104.qasm,149,383,406,0.16251176199875772,332,374,3.586165403947234,356,391,0.39541425299830735,341,362,0.016905562952160835,7.0732421875
sym6_316.qasm,123,339,327,0.16273471782915294,309,284,15.66772473207675,315,291,1.5708400181028992,333,317,0.01837784005329013,6.626953125
rd84_142.qasm,154,403,275,0.20896707801148295,376,253,23.070831895805895,400,277,2.7581090189050883,382,282,0.033465849002823234,7.5927734375
