,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
SK_11_1.qasm,110,102,158,1.0329536769999947,23,163,232,1.0858625970000002,0,8,102,172,26.289787635,2,40,0,85,146,3.870505453,27,11
SK_13_1.qasm,156,150,203,1.6261137019999978,32,212,260,1.5487754389999964,0,15,160,213,44.99360055100004,0,62,0,329,347,7.301000729999998,21,13
SK_17_1.qasm,272,244,272,1.8463168449999898,47,355,478,2.182439830000021,0,38,228,251,71.617930989,3,109,0,469,449,14.956293498000036,80,17
SK_9_1.qasm,72,44,98,0.5282842079999455,10,66,128,0.5684101959999452,0,8,47,96,9.371454906000054,0,21,0,76,112,1.7354906860000483,5,9
SK_5_1.qasm,20,8,37,0.12830821499994727,1,32,45,0.31560249500000737,0,2,8,37,1.624344836999967,1,3,0,15,43,0.3022270149999713,1,5
SK_7_1.qasm,42,27,75,0.2846576849999565,6,39,76,0.37268150700003844,0,8,21,67,4.171725820000006,0,13,0,17,63,0.7151353149999977,6,7
SK_15_1.qasm,210,234,241,1.5476741659999789,24,242,255,1.372434961999943,0,13,217,247,57.95185192100007,9,88,0,259,267,8.49679630300011,35,15
SK_10_1.qasm,90,72,138,0.7428205509997952,14,100,147,0.7411536010001782,0,8,79,148,12.256111765000014,1,34,0,92,164,2.4305186669998875,19,10
SK_12_1.qasm,132,151,175,1.0391772799998762,20,140,170,1.0377547299999605,0,22,129,174,16.5147383179999,18,43,0,213,238,4.739878825999995,22,12
SK_8_1.qasm,56,36,82,0.500248450999834,10,56,88,0.527377677000004,0,9,38,86,9.936781002000089,10,10,0,29,78,1.1968075820000195,11,8
SK_4_1.qasm,12,5,25,0.09450717100003203,1,8,27,0.1726441570001498,0,1,5,25,1.157254920000014,0,3,0,3,24,0.24507670599996345,2,4
SK_16_1.qasm,240,232,259,1.6470616609999524,37,307,333,2.0598521379999966,0,43,207,231,51.50135632499996,25,78,0,515,493,13.083648809999886,34,16
SK_14_1.qasm,182,162,205,1.1376192590000755,19,219,267,1.6169486300000244,0,11,152,204,41.48745543299992,8,64,0,297,323,7.2196976449999966,25,14
SK_18_1.qasm,306,335,389,2.163692405999882,42,400,403,2.784359242999926,0,44,300,321,77.61719590500024,0,132,0,622,500,16.933720112000174,43,18
SK_6_1.qasm,30,12,46,0.21275715499996295,2,47,72,0.2979720250000355,0,2,14,54,2.716394975000185,0,6,0,10,50,0.5859767819997614,4,6
