,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
xor5_254.qasm,5.0,4.0,12.0,0.049,1.0,4.0,12.0,0.091,0.0,1.0,4.0,12.0,0.058,5.0,0.0,1.0,7.0,12.0,0.121,0.0,16.0
4_49_16.qasm,99.0,111.0,278.0,0.754,22.0,127.0,269.0,0.801,0.0,9.0,34.0,171.0,4.792,72.0,53.0,25.0,143.0,276.0,3.568,18.0,16.0
sys6-v0_111.qasm,98.0,111.0,179.0,0.804,29.0,141.0,246.0,0.957,0.0,10.0,46.0,108.0,21.507,42.0,33.0,27.0,158.0,189.0,3.364,11.0,16.0
rd53_130.qasm,448.0,569.0,1285.0,3.702,104.0,594.0,1183.0,3.502,0.0,32.0,347.0,902.0,29.846,338.0,231.0,73.0,698.0,1282.0,20.558,36.0,16.0
alu-v2_31.qasm,198.0,231.0,535.0,1.536,31.0,230.0,511.0,1.409,0.0,17.0,81.0,313.0,6.588,145.0,110.0,38.0,318.0,577.0,8.39,33.0,16.0
4gt5_77.qasm,58.0,60.0,151.0,0.412,9.0,72.0,146.0,0.457,0.0,3.0,17.0,84.0,2.35,49.0,25.0,12.0,89.0,175.0,1.748,11.0,16.0
radd_250.qasm,1405.0,1937.0,4107.0,19.539,341.0,2352.0,4054.0,9.886,0.0,110.0,1354.0,2772.0,315.764,1033.0,748.0,263.0,2722.0,4293.0,73.321,171.0,16.0
mod10_176.qasm,78.0,94.0,211.0,0.59,15.0,87.0,202.0,0.589,0.0,6.0,44.0,139.0,2.665,50.0,51.0,16.0,126.0,241.0,2.787,12.0,16.0
C17_204.qasm,205.0,252.0,557.0,1.539,41.0,275.0,548.0,1.304,0.0,15.0,126.0,374.0,11.608,151.0,102.0,43.0,303.0,565.0,7.745,19.0,16.0
0410184_169.qasm,104.0,104.0,231.0,0.961,23.0,125.0,209.0,0.844,0.0,13.0,73.0,127.0,7.605,63.0,41.0,29.0,227.0,290.0,4.956,16.0,16.0
con1_216.qasm,415.0,581.0,1197.0,3.553,104.0,635.0,1170.0,2.994,0.0,47.0,255.0,720.0,34.736,299.0,209.0,90.0,687.0,1182.0,18.834,30.0,16.0
rd53_311.qasm,124.0,191.0,302.0,0.999,24.0,228.0,360.0,1.261,0.0,17.0,109.0,195.0,16.369,82.0,42.0,35.0,282.0,346.0,5.578,11.0,16.0
4gt13_91.qasm,49.0,49.0,126.0,0.344,9.0,77.0,124.0,0.349,0.0,2.0,15.0,73.0,0.998,37.0,24.0,7.0,62.0,138.0,1.401,11.0,16.0
one-two-three-v0_98.qasm,65.0,82.0,185.0,0.489,10.0,71.0,162.0,0.421,0.0,4.0,37.0,131.0,1.656,58.0,24.0,10.0,111.0,202.0,2.227,16.0,16.0
4gt13_90.qasm,53.0,50.0,136.0,0.356,9.0,75.0,142.0,0.621,0.0,8.0,22.0,92.0,1.027,38.0,27.0,7.0,79.0,146.0,1.358,8.0,16.0
ex3_229.qasm,175.0,221.0,519.0,1.432,39.0,209.0,444.0,1.126,0.0,14.0,59.0,283.0,6.93,127.0,99.0,39.0,239.0,490.0,6.993,15.0,16.0
ham3_102.qasm,11.0,6.0,25.0,0.085,2.0,16.0,30.0,0.123,0.0,1.0,-4.0,11.0,0.153,6.0,7.0,4.0,3.0,20.0,0.174,1.0,16.0
adr4_197.qasm,1498.0,2175.0,4339.0,12.727,388.0,2650.0,4429.0,11.33,0.0,173.0,1433.0,2904.0,248.116,1080.0,759.0,268.0,3025.0,4576.0,79.754,144.0,16.0
one-two-three-v1_99.qasm,59.0,77.0,182.0,0.489,14.0,83.0,165.0,0.468,0.0,7.0,30.0,111.0,1.425,44.0,32.0,13.0,79.0,160.0,1.664,7.0,16.0
mini-alu_167.qasm,126.0,172.0,380.0,1.069,25.0,140.0,328.0,0.817,0.0,12.0,51.0,208.0,4.801,93.0,69.0,15.0,126.0,316.0,3.724,9.0,16.0
alu-v2_30.qasm,223.0,276.0,655.0,1.821,55.0,268.0,579.0,1.438,0.0,24.0,133.0,413.0,10.342,173.0,112.0,32.0,333.0,635.0,10.219,25.0,16.0
4gt5_76.qasm,46.0,42.0,115.0,0.33,10.0,45.0,105.0,0.555,0.0,8.0,12.0,67.0,1.791,36.0,20.0,6.0,48.0,103.0,0.882,1.0,16.0
rd53_131.qasm,200.0,307.0,657.0,1.789,62.0,346.0,634.0,1.517,0.0,29.0,160.0,401.0,9.613,153.0,108.0,48.0,321.0,578.0,9.393,17.0,16.0
mini_alu_305.qasm,77.0,114.0,183.0,0.715,24.0,109.0,185.0,0.659,0.0,9.0,67.0,111.0,11.758,44.0,25.0,19.0,138.0,218.0,3.025,9.0,16.0
4mod7-v0_94.qasm,72.0,75.0,202.0,0.563,17.0,74.0,180.0,0.49,0.0,8.0,19.0,101.0,2.342,52.0,40.0,13.0,84.0,198.0,2.008,9.0,16.0
z4_268.qasm,1343.0,1873.0,3846.0,13.296,346.0,2196.0,3876.0,11.204,0.0,128.0,1207.0,2544.0,198.429,999.0,645.0,218.0,2870.0,4418.0,78.973,161.0,16.0
cm82a_208.qasm,283.0,374.0,809.0,3.398,75.0,394.0,747.0,3.088,0.0,16.0,156.0,476.0,27.43,203.0,134.0,53.0,405.0,744.0,13.344,24.0,16.0
aj-e11_165.qasm,69.0,72.0,189.0,0.727,16.0,93.0,190.0,0.722,0.0,10.0,23.0,113.0,3.214,46.0,40.0,13.0,94.0,184.0,2.374,9.0,16.0
