,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
SK_11_1.qasm,110,53,134,0.42237135700000294,6,58,180,0.4791104350000026,0,6,50,135,12.368752066000003,3,17,0,106,178,1.681940791999999,6,11
SK_13_1.qasm,156,81,164,0.8211818329999971,3,113,239,0.935979193999998,0,7,79,196,21.023932868000003,1,30,0,156,259,2.7081410189999815,4,13
SK_17_1.qasm,272,171,286,1.7339835199999811,11,247,409,1.9215129070000216,0,8,168,340,69.05414038499998,0,66,0,291,370,6.861889430000019,7,17
SK_9_1.qasm,72,23,89,0.27357861000007233,2,28,85,0.4891346629999589,0,4,21,88,7.134787674999984,1,8,0,63,139,0.8531946990000279,1,9
SK_5_1.qasm,20,1,27,0.09246573000007174,1,3,32,0.13151354000001447,0,0,1,27,0.4522018400000434,1,0,0,1,27,0.19869020500004808,1,5
SK_7_1.qasm,42,6,52,0.22972927099999652,3,15,77,0.21993206500008,0,0,10,50,2.8699419459999262,2,2,0,9,55,0.4051615820000052,2,7
SK_15_1.qasm,210,121,224,1.1286779450000495,12,138,248,1.4533129920000647,0,22,118,225,37.22794455300004,3,47,0,250,326,4.103370237000036,6,15
SK_10_1.qasm,90,42,114,0.4590958059999366,1,52,121,0.6296929769999906,0,4,42,114,9.416382036999948,2,14,0,84,195,1.372670878000008,4,10
SK_12_1.qasm,132,58,160,0.6280801070000734,4,78,182,0.7296671829999468,0,4,60,170,13.437327874000061,1,25,0,143,207,2.071173716999965,4,12
SK_8_1.qasm,56,14,79,0.28987455399987994,1,17,77,0.4251190830000269,0,5,14,79,2.472703763000027,0,6,0,34,97,0.6645838790000198,1,8
SK_4_1.qasm,12,0,17,0.04824416899987227,0,3,23,0.19806648799999493,0,0,0,17,0.14650415000005523,0,0,0,0,17,0.13120917900005225,0,4
SK_16_1.qasm,240,132,252,1.3783596129999296,14,172,350,1.6647537459998603,0,7,129,258,37.430218575000026,0,49,0,285,378,5.398128064000048,10,16
SK_14_1.qasm,182,104,206,0.9554296170001635,5,150,213,1.181139972999972,0,7,104,223,27.81141892300002,2,40,0,233,308,4.193018334000044,8,14
SK_18_1.qasm,306,201,343,1.6880735959998674,15,276,452,1.9855531559999235,0,20,192,327,85.88849424499995,2,74,0,477,509,9.587328368000044,21,18
SK_6_1.qasm,30,2,37,0.22585842299986325,2,6,50,0.16445306500008883,0,0,6,36,1.493335255999682,1,1,0,5,40,0.24376935899999808,1,6
