,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
xor5_254.qasm,5,1,9,0.10365435199999995,1,1,9,0.04368844800000016,1,5,13,0.09234406900000014,0,1,1,9,0.045997348000000216,4,1,1,1,9,0.111078032,1,16
4_49_16.qasm,99,45,180,0.4814988689999993,5,42,157,3.3624464269999947,3,42,167,0.6613913030000003,0,3,17,145,2.572927354000001,69,56,11,43,170,0.8467819999999993,1,16
sys6-v0_111.qasm,98,75,148,0.5915327769999976,13,57,129,5.851801682000001,6,54,151,0.6110073039999975,0,4,32,104,3.1386757589999945,45,30,11,113,230,1.857292691000012,9,16
rd53_130.qasm,448,308,936,2.65366694100004,64,229,727,11.558781597000007,11,283,775,2.3079976539999905,0,7,98,590,28.272915812000008,312,257,33,391,937,6.31039275400002,14,16
alu-v2_31.qasm,198,183,468,1.4174314269999968,24,139,398,3.4505593289999865,14,64,306,0.9842700209999862,0,4,41,286,7.6547847559999695,134,121,25,200,463,3.1000879759999975,7,16
4gt5_77.qasm,58,34,110,0.3035236560000385,3,25,98,0.7346500899999455,1,35,111,0.496687804999965,0,2,12,84,1.4281629010000643,38,36,6,47,126,0.8082844929999737,6,16
radd_250.qasm,1405,1002,2773,8.208177769999907,155,1183,2623,63.70800259199996,40,1091,2745,8.170766807000064,0,52,611,2058,196.97719682800016,955,826,112,1760,3355,28.283737387999736,95,16
mod10_176.qasm,78,15,108,0.30345266599988463,0,15,107,0.6039375469999868,0,20,113,0.5230604260000291,0,2,6,99,1.6557298550001178,50,51,5,76,163,0.8552380099999937,0,16
C17_204.qasm,205,118,394,1.196867649000069,22,93,306,3.0684719159999077,8,125,348,0.9630468740001561,0,2,65,300,7.710211338000136,144,109,20,163,388,2.555864124999971,4,16
0410184_169.qasm,104,28,118,0.4465962640001635,6,42,133,1.158139723000204,2,40,143,0.6192710099999204,0,7,25,122,1.965759448999961,57,47,9,110,189,1.49461542500012,6,16
con1_216.qasm,415,266,808,2.264003822000177,42,256,676,13.365643512000133,13,249,674,2.087824196999918,0,8,118,546,21.007911902999695,271,237,23,502,946,7.704135654000311,27,16
rd53_311.qasm,124,99,249,0.6813077030001295,9,72,187,1.6735938379997606,5,93,220,0.6954609310000706,0,5,37,132,8.43854039200005,70,54,7,181,311,2.276244597999721,4,16
4gt13_91.qasm,49,17,79,0.21450213900016024,2,15,78,0.5800619050000932,3,17,78,0.26134874499985017,0,2,3,66,0.8902656919999572,24,37,9,17,79,0.4084475249997013,2,16
