,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
SK_11_1.qasm,110,66,151,0.8974043799999976,9,65,135,0.7148295040000008,0,7,48,138,19.778777071999997,0,26,0,137,221,5.65214697799999,7,11
SK_13_1.qasm,156,84,165,1.5531328050000184,23,122,208,1.211306125999954,0,8,93,160,25.931129779999992,4,39,0,208,283,11.083850788000007,10,13
SK_17_1.qasm,272,181,273,4.506196035000016,40,238,328,3.185387590000005,0,31,171,265,120.39275672299999,2,79,0,449,433,32.580921133000004,32,17
SK_9_1.qasm,72,44,102,0.7307136849999551,9,40,103,0.7422742949997883,0,6,46,103,19.411138775999916,3,19,0,65,145,4.544647145999988,14,9
SK_5_1.qasm,20,9,36,0.13008823300015138,2,8,43,0.43618386599996484,0,1,6,33,2.291944330999968,3,1,0,4,35,0.6240269210002225,4,5
SK_7_1.qasm,42,17,69,0.37015915699998914,3,23,72,0.36257824700010133,0,2,17,70,5.351587363000135,1,6,0,26,97,1.9487420089999432,4,7
SK_15_1.qasm,210,179,279,1.2862378320000971,8,184,231,1.6279501530000289,0,14,155,272,58.0196603899999,1,62,0,464,473,29.71974154999998,28,15
SK_10_1.qasm,90,49,111,0.6625916200000574,12,62,140,0.6207671340000616,0,7,45,106,24.424704894999877,1,24,0,108,161,6.256886469000165,11,10
SK_12_1.qasm,132,92,175,1.0955867459997535,9,97,163,0.8586509319998186,0,10,89,161,26.86718101500037,0,37,0,187,280,10.135939177000182,9,12
SK_8_1.qasm,56,25,80,0.3615446090002479,5,33,90,0.3992130149999866,0,2,25,77,6.2596277910001845,1,12,0,47,99,2.271164250000311,7,8
SK_4_1.qasm,12,5,24,0.0974672269999246,2,6,19,0.1357584530001077,0,0,4,22,0.9936314980000134,1,1,0,4,28,0.34603181799957383,1,4
SK_16_1.qasm,240,183,331,2.9105763679999654,16,252,329,1.8734713869998814,0,20,162,267,83.28938067000036,4,66,0,398,458,28.60226917,28,16
SK_14_1.qasm,182,105,193,1.6368256999999176,16,174,275,1.542955290000009,0,6,102,242,49.08547047100001,0,48,0,270,330,12.219294678000097,9,14
SK_18_1.qasm,306,220,339,1.6569855899997492,33,297,369,1.9867409659996156,0,21,193,311,171.87574260400015,3,86,0,618,539,33.11974668599987,25,18
SK_6_1.qasm,30,12,52,0.24241093299997374,2,14,49,0.662930594000045,0,5,12,54,4.279135103000044,0,6,0,15,65,1.0427423239998461,4,6
