,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
4_49_16.qasm,171,320,0.07421665499999985,174,284,0.30763796300000035,0.792,0.4947079946796899,2.984126984126984,3.5027973560011096,165,308,0.0057647849999997725
sys6-v0_111.qasm,213,275,0.09536051499999987,171,234,0.8484880459999995,1.3066666666666666,0.7478561953269417,2.2154696132596685,2.2405069043194588,198,232,0.007750258999999815
rd53_130.qasm,885,1530,0.5013300869999995,948,1353,1.6099596310000024,0.7873462214411248,0.5486344972651767,4.395642201834862,7.143877169268461,948,1494,0.03642851899999755
alu-v2_31.qasm,357,659,0.15406895699999978,345,590,0.46413378299999763,0.7764705882352941,0.4861163563181619,3.0706806282722514,3.131954721007552,354,643,0.00886971699999961
4gt5_77.qasm,99,186,0.04219502900000194,96,185,0.2251340990000017,0.7837837837837838,0.5268537483680521,3.0555555555555554,3.199633466662651,99,181,0.004605738000002191
radd_250.qasm,3081,4815,1.486220473000003,3624,4009,6.620254392,0.7888826501965188,0.5478864891403444,7.412043795620438,39.72961444195138,3015,4653,0.09212593699999871
mod10_176.qasm,138,256,0.05805734300000154,123,232,0.21023104799999714,0.7722772277227723,0.5050475542517564,3.061224489795918,3.20973114307551,120,234,0.003770346999999674
C17_204.qasm,402,652,0.18828813799999722,423,546,0.7245572479999964,0.8102766798418972,0.5584184351762643,4.060913705583756,6.48045442237441,384,643,0.011533346000000222
0410184_169.qasm,189,264,0.08401522100000136,195,256,0.2032986870000002,1.0,0.6793662204867574,6.453551912568306,13.828250799388995,249,273,0.014878600999999492
con1_216.qasm,840,1346,0.3700741640000018,900,1223,1.632443717000001,0.8169291338582677,0.5646656202519553,5.11625,10.821632775949293,939,1424,0.03516456300000215
rd53_311.qasm,267,338,0.12933578900000242,282,297,0.8687208710000007,1.0,0.6350006350009525,2.9098712446351933,4.246234027570601,264,374,0.016474260000002516
4gt13_91.qasm,63,140,0.02736851800000295,63,136,0.08833198100000317,0.8032786885245902,0.4728591836674085,2.8181818181818183,3.10624537513998,66,138,0.002802595000005681
one-two-three-v0_98.qasm,117,214,0.04898456600000145,108,181,0.18536267700000053,0.7926829268292683,0.5117593965452997,3.0165289256198347,3.4087477913981337,108,194,0.003145509000006541
4gt13_90.qasm,72,152,0.03132189900000526,72,144,0.09472266900000648,0.8153846153846154,0.4605116783721774,3.042105263157895,3.5892112884490643,78,147,0.002945535999998583
ex3_229.qasm,333,588,0.1513360189999986,330,545,0.4558506369999975,0.7743362831858407,0.5043665546275776,3.7529761904761907,5.878354418210915,339,582,0.011385885999999346
adr4_197.qasm,3216,5070,1.617530979999998,3420,4578,6.620186681999996,0.8145731375747689,0.5710857217000208,7.301543739279588,39.60250153686096,3897,5415,0.14211283299999877
one-two-three-v1_99.qasm,105,197,0.04577095300000167,99,166,0.11598655900000665,0.7763157894736842,0.47569019690855835,3.1517857142857144,4.2219871367228325,99,173,0.0033301330000057305
mini-alu_167.qasm,240,426,0.10351179700001012,228,376,0.4268129459999983,0.7777777777777778,0.5211573066470477,3.094650205761317,3.243748685715372,219,397,0.00678664999999512
alu-v2_30.qasm,444,769,0.19584348799999418,423,643,0.527618743000005,0.7824561403508772,0.497404776046859,3.737819025522042,5.800906711646467,462,688,0.01958972900000333
4gt5_76.qasm,72,141,0.029929068999990704,72,119,0.08688140900000008,0.8214285714285714,0.46702488680792925,2.926829268292683,3.063476774264894,66,126,0.002416287000002626
rd53_131.qasm,399,697,0.2747343320000084,375,626,0.6069487179999982,0.7662835249042146,0.5351380923193345,4.457142857142857,7.462728663797309,387,632,0.010610663999997882
mini_alu_305.qasm,150,205,0.06799080900000831,150,206,0.6242413969999916,1.1159420289855073,0.7715264727076036,2.097902097902098,1.9226827313730348,138,188,0.0038494469999932335
4mod7-v0_94.qasm,114,227,0.050956097000010914,114,227,0.18853045100001964,0.782608695652174,0.5070392952039391,3.044776119402985,3.6073425776138226,111,218,0.0033254100000021936
z4_268.qasm,2859,4469,1.302381959999991,3309,3843,6.7498299890000055,0.8169099756690997,0.5772922692695561,5.767264402899657,18.22340097533624,3291,4776,0.11515528399999653
cm82a_208.qasm,540,938,0.25423315599999796,558,883,1.2324905060000049,0.8397626112759644,0.5643913793694358,4.3076923076923075,8.750123776446117,555,895,0.012981556999989152
