,[SABRE] SABRE CNOTs,[SABRE] SABRE Depth,[SABRE] SABRE Time,[SABRE] MPATH_IPS CNOTs,[SABRE] MPATH_IPS Depth,[SABRE] MPATH_IPS Time,[SABRE] MPATH_BSP CNOTs,[SABRE] MPATH_BSP Depth,[SABRE] MPATH_BSP Time
bigadder_n18,58.0,200.0,0.06794720099999996,55.0,154.0,0.5096907699999997,45.0,200.0,1.3960593559999999
qft_n20,248.0,336.0,0.3804650540000001,313.0,291.0,9.664716810999998,232.0,332.0,23.772250999999997
ising_n26,22.0,32.0,0.05187111500000441,31.0,25.0,0.5305854409999995,22.0,32.0,1.604346214000003
bv_n19,19.0,35.0,0.016076347999998575,19.0,28.0,0.015174884000003885,19.0,32.0,0.031082933000000423
dnn_n16,48.0,347.0,0.2725752739999976,69.0,220.0,1.225588608999999,41.0,285.0,16.923197971999997
multiplier_n25,511.0,1093.0,0.6546295979999996,411.0,718.0,7.663815885000005,419.0,1080.0,33.74383773300001
wstate_n27,40.0,110.0,0.0450045780000039,72.0,98.0,0.07228197700000294,37.0,95.0,2.1102537209999923
ghz_state_n23,20.0,41.0,0.01585881399999778,18.0,11.0,0.02038264700000525,18.0,41.0,0.00768329299999948
cat_state_n22,9.0,30.0,0.009272085999995738,9.0,13.0,0.01740781099999822,9.0,30.0,0.006757561999990003
square_root_n18,700.0,1949.0,0.8260198579999951,712.0,868.0,2.359635666999992,639.0,1965.0,38.516408036
cc_n18,18.0,59.0,0.027259329999992588,16.0,60.0,0.03398669599999948,18.0,59.0,0.03430981900001484
