,[SABRE] SABRE CNOTs,[SABRE] SABRE Depth,[SABRE] SABRE Time,[SABRE] MPATH_IPS CNOTs,[SABRE] MPATH_IPS Depth,[SABRE] MPATH_IPS Time,[SABRE] MPATH_BSP CNOTs,[SABRE] MPATH_BSP Depth,[SABRE] MPATH_BSP Time
adder_n10,66,178,0.03429445600000003,66,86,0.05132614399999991,57,160,0.4037070890000001
qft_n15,297,258,0.18507283399999963,498,388,2.955424894000001,300,228,6.961838432999999
dnn_n8,60,193,0.09180686399999871,60,188,0.28161979500000456,60,186,4.5862060589999984
cc_n12,36,69,0.018326872000002936,36,41,0.022562809000007178,36,68,0.01754921999999226
multiplier_n15,357,495,0.23400018600000294,306,376,1.5478449420000118,309,486,5.267461083000001
qf21_n15,231,370,0.1002938069999999,204,264,0.1249393000000083,195,385,1.3830654769999882
sat_n11,372,724,0.18717392099998165,318,669,0.7091980669999884,309,675,6.250111281000017
seca_n11,75,130,0.04669514500000105,78,113,0.9951630050000233,66,130,0.897770702999992
bv_n14,51,53,0.01800209099999961,51,29,0.016686192999998184,51,50,0.02184071100001006
ising_n10,0,71,0.027042305000009037,0,71,0.0433131249999974,0,71,0.020242741000004116
qaoa_n6,48,148,0.036255149999988134,51,156,0.4260430079999935,48,143,1.2799535180000134
qpe_n9,63,135,0.031135264999988976,60,132,0.04111473899999396,60,125,0.061426275000002306
simon_n6,12,43,0.008123982000000751,12,38,0.01444559699999104,12,43,0.008184986000003391
