,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time,A* CNOTs,A* Depth,A* Time
SK_6_1 (grid_search_30_30),27,56,0.01856770799999996,36,64,0.10248580699999987,24,59,0.03803494900000004,33,72,0.0021229010000003434
SK_6_1 (grid_search_60_60),24,55,0.012569190999999869,48,83,0.16087468299999985,24,53,0.03242775100000017,33,72,0.001793654000000089
SK_7_1 (grid_search_30_30),42,77,0.020009496999999765,54,81,0.3486788919999997,42,77,0.4279415529999997,51,104,0.0022183869999996553
SK_7_1 (grid_search_60_60),45,84,0.020795838999999816,57,85,0.4301675139999994,42,80,0.06219610700000011,51,104,0.002268969000000176
SK_8_1 (grid_search_30_30),63,88,0.02936247099999978,102,129,0.4168371139999998,63,88,1.305178369,75,141,0.003184424999999713
SK_8_1 (grid_search_60_60),66,94,0.02938008599999975,99,131,0.4227639759999997,63,92,1.5227289610000003,75,141,0.003361459999998928
SK_9_1 (grid_search_30_30),102,125,0.049844587999999135,147,166,0.7801993400000011,99,125,6.025563165000001,129,193,0.005186188999999786
SK_9_1 (grid_search_60_60),90,126,0.05051213499999818,144,163,0.7946153460000005,90,126,3.537914750999999,129,193,0.005303167000000997
SK_10_1 (grid_search_30_30),120,145,0.06569606200000067,204,213,1.267084311999998,120,145,7.338904568,174,230,0.006523897000001
SK_10_1 (grid_search_60_60),120,147,0.05743802900000006,204,213,1.2211949329999996,120,145,7.270723350999997,174,230,0.008596238999999173
SK_11_1 (grid_search_30_30),141,155,0.09138786300000135,306,292,1.7413433299999994,138,149,9.550516269,237,277,0.010134532999998669
SK_11_1 (grid_search_60_60),159,172,0.07632941399999993,351,347,1.6436365100000003,156,168,9.463629662000002,237,277,0.010487646999997935
SK_12_1 (grid_search_30_30),231,229,0.12231110500000142,306,293,2.3840196110000065,213,207,21.136086393,288,341,0.013328942999990545
SK_12_1 (grid_search_60_60),216,190,0.14937734100000455,342,319,1.8950965420000045,225,193,25.638393989000008,288,341,0.011938331999999718
SK_13_1 (grid_search_30_30),234,246,0.13946288799999706,351,250,3.547930601999994,231,234,17.888647786000007,348,415,0.013185606999996935
SK_13_1 (grid_search_60_60),237,228,0.12616605499999878,399,340,5.21995317599999,219,202,19.06341397600002,348,415,0.013836117000010972
SK_14_1 (grid_search_30_30),276,286,0.1522324829999775,480,377,2.549672332,246,242,26.594475657000004,390,489,0.014000977999984343
SK_14_1 (grid_search_60_60),342,290,0.16661114600000815,636,457,2.818328167000004,411,255,41.77907491100001,390,489,0.014664616000004571
SK_15_1 (grid_search_30_30),312,291,0.17385999600000446,567,448,3.1528914379999833,291,277,32.86183829799998,453,553,0.015171890000033272
SK_15_1 (grid_search_60_60),354,324,0.20165523999997959,612,481,4.958757165000009,336,300,34.73263104999995,453,553,0.016100458999972034
SK_16_1 (grid_search_30_30),456,355,0.2307436540000367,726,416,43.111567235999985,501,320,54.791122220000034,537,649,0.0185930019999887
SK_16_1 (grid_search_60_60),348,244,0.2721949699999868,654,412,22.069997215,339,253,43.846618225999975,537,649,0.01911249699998052
SK_17_1 (grid_search_30_30),423,282,0.2931540840000366,753,488,12.294777355999997,510,320,63.25735213799999,648,750,0.024879155999997238
SK_17_1 (grid_search_60_60),435,340,0.3534878809999782,687,453,19.211546574999943,432,327,55.392970946000105,648,750,0.02513808000003337
SK_18_1 (grid_search_30_30),438,367,0.2966087309999921,1041,690,10.457902092999916,453,348,63.30485550600008,747,847,0.026430597000057787
SK_18_1 (grid_search_60_60),480,301,0.27799656199999845,861,604,5.393879534000007,453,294,41.00736855499997,747,847,0.024258978000034404
