,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time,A* CNOTs,A* Depth,A* Time
4_49_16.qasm,174,322,0.07477141300000012,165,280,0.2140407980000001,165,318,0.16348005399999987,138,273,0.005382275999999742
sys6-v0_111.qasm,213,247,0.11038167199999993,162,178,8.656190801000001,186,227,11.492020884999999,153,217,0.00524699700000042
rd53_130.qasm,855,1476,0.49237307699999633,840,1241,0.9031210409999986,834,1456,59.062954123,873,1448,0.02731844900000624
alu-v2_31.qasm,309,609,3.401102639000001,267,495,1.6762836599999957,291,578,19.658581024,324,601,0.009232492999984743
4gt5_77.qasm,99,185,0.04316762100000915,111,170,0.16837885499998606,96,184,0.6271360819999927,90,161,0.005314535000024989
radd_250.qasm,2787,4509,1.3432513879999988,2814,3161,47.49063521099998,2763,4445,1195.377008588,2730,4341,0.10999462199993104
mod10_176.qasm,138,255,0.06442016200003309,129,217,0.15944714000011118,138,255,0.05017416200007574,126,241,0.004781115000014324
C17_204.qasm,357,628,0.17175132199986365,336,517,2.377164101000062,339,600,266.62225831599994,408,641,0.016915630999847053
0410184_169.qasm,165,241,0.07948417100010374,159,207,1.6316424369999822,159,236,2.8035903640000015,273,314,0.03349802799993995
con1_216.qasm,786,1332,0.3517445320001116,759,997,14.560915418999912,750,1302,63.71882596199998,768,1285,0.02841448100002708
rd53_311.qasm,261,326,0.12253416500016101,261,276,1.864409644000034,240,311,12.182647597999903,246,366,0.012562952000052974
4gt13_91.qasm,66,143,0.028495820999978605,69,127,0.04738182700020843,63,137,0.07266528300010577,75,139,0.004096318999927462
one-two-three-v0_98.qasm,108,197,0.0460733600000367,93,154,1.1766021190001084,105,192,0.3156836269999985,120,194,0.005177770000045712
4gt13_90.qasm,78,157,0.03228787700004432,78,135,0.050887180000017906,72,149,0.08258319399988068,84,148,0.00435540199987372
ex3_229.qasm,342,605,0.31542569900011586,318,421,0.27529355299998315,333,576,5.562084340999945,321,554,0.011558674000070823
