,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time,A* CNOTs,A* Depth,A* Time
4_49_16.qasm,177,326,0.082003951,165,283,0.217752545,171,325,0.169583578,162,283,0.005851197
rd53_130.qasm,927,1539,0.426886105,831,1309,1.122662516,909,1531,72.08079654,975,1456,0.03962931
alu-v2_31.qasm,348,662,0.192830059,321,595,0.294438157,342,652,13.09219616,354,596,0.010069058
radd_250.qasm,3210,4906,1.662984983,3420,3197,22.39474594,3159,4811,2214.214767,3123,4484,0.201106588
mod10_176.qasm,138,256,0.068135125,129,218,0.15260456,138,256,0.053712217,120,218,0.003972002
C17_204.qasm,381,641,0.187849705,414,581,0.576809528,375,633,16.97066436,411,619,0.019497828
0410184_169.qasm,183,246,0.089355656,183,228,0.155691842,183,245,2.413947982,330,343,0.021029365
con1_216.qasm,843,1338,0.399360156,981,897,338.3403799,900,1360,78.56687722,999,1389,0.08050104
rd53_311.qasm,276,396,0.134161061,273,314,0.882646635,261,310,17.32337403,288,369,0.01427602
ex3_229.qasm,315,578,0.142072713,291,519,0.180210629,294,553,0.86425318,306,519,0.01196365
adr4_197.qasm,3501,5020,1.740979949,3285,3916,33.74231735,3270,5030,2254.437043,3648,4937,0.363245101
mini-alu_167.qasm,228,419,0.116595473,234,365,0.354137709,225,409,9.883161158,246,384,0.015799838
alu-v2_30.qasm,456,784,0.21927667,444,635,0.404000733,453,781,401.1657584,411,662,0.062672441
rd53_131.qasm,372,681,0.178482923,354,566,2.942897793,363,664,11.3593323,414,618,0.028591601
z4_268.qasm,3072,4539,1.463603461,3240,3040,39.8656065,3114,4595,1226.242423,3369,4496,0.239022774
cm82a_208.qasm,561,884,0.273604372,555,661,3.37927835,516,831,20.78884571,531,826,0.027428084
sym6_316.qasm,246,347,0.111508972,267,331,1.065634245,243,348,9.07616615,258,360,0.018716072
dc1_220.qasm,1698,2667,0.837658299,1986,2103,9.952306253,1674,2646,126.3790673,2088,2907,0.093878219
decod24-enable_126.qasm,258,486,0.113510127,237,420,0.144762846,255,482,0.235328366,270,448,0.012441899
mod5adder_127.qasm,435,778,0.280681978,441,705,0.373262024,432,771,21.40567962,480,763,0.018804339
mod8-10_177.qasm,348,639,0.149813269,378,562,0.206922477,348,637,4.628460064,360,578,0.015253812
sf_276.qasm,570,1108,0.264611652,567,1004,0.434339018,618,1094,17.47844007,597,997,0.022880451
cm42a_207.qasm,1503,2513,0.768090011,1584,2106,5.487366879,1488,2521,141.0608518,1881,2619,0.069676865
4gt12-v1_89.qasm,177,326,0.079570854,177,294,0.102778291,177,329,0.134567837,180,294,0.011664397
pm1_249.qasm,1425,2438,0.725097732,1548,2137,3.620301161,1413,2441,121.4872915,1881,2619,0.070906153
mod10_171.qasm,186,353,0.083653119,180,324,0.111176896,174,340,1.010676754,183,316,0.010660704
4gt12-v0_88.qasm,171,288,0.073356406,183,236,0.091133915,168,288,1.438191853,165,237,0.013307343
4gt4-v0_79.qasm,171,323,0.074667392,195,289,0.230115567,168,317,0.303547892,183,297,0.015520384
4gt4-v0_80.qasm,138,250,0.056925923,135,233,0.141062432,138,250,0.106685472,144,238,0.005545204
mod8-10_178.qasm,285,495,0.122638484,282,449,0.177173629,273,485,1.122342235,285,446,0.012045747
hwb4_49.qasm,165,330,0.070670574,177,301,0.217175518,165,330,0.068901456,165,304,0.004876246
4gt4-v1_74.qasm,222,410,0.097274322,222,339,0.12839836,219,403,0.205940611,231,373,0.012706865
4gt12-v0_87.qasm,177,332,0.084856961,207,303,0.112622768,177,332,2.756979535,192,305,0.008533681
4gt12-v0_86.qasm,189,349,0.086021249,216,310,0.11432236,189,349,2.993817688,204,317,0.00715324
sf_274.qasm,582,1095,0.298710492,600,993,0.586240355,579,1095,11.37849372,618,998,0.019217931
majority_239.qasm,465,867,0.221931165,441,731,0.353741626,465,855,20.2749406,522,835,0.013038251
hwb5_53.qasm,1119,1996,1.020921229,1065,1779,1.344193092,1113,1991,89.27732157,1125,1812,0.040882848
ham7_104.qasm,261,457,0.121880869,273,424,0.259457777,261,457,0.165972112,243,408,0.009950887
rd53_135.qasm,261,446,0.118364346,267,392,0.301554957,258,440,0.112718941,258,386,0.012749545
cm152a_212.qasm,1002,1703,0.55515803,1047,1472,1.052109686,1014,1699,64.2238553,1182,1737,0.043637759
rd53_251.qasm,1242,1972,0.659318214,1209,1545,1.431712954,1077,1832,92.90523109,1122,1682,0.039030693
squar5_261.qasm,1908,2827,1.029847501,1890,2141,11.68621188,1917,2817,242.751029,1920,2681,0.091248525
4gt4-v0_78.qasm,180,335,0.121752462,210,299,0.156866218,180,331,0.784204115,195,309,0.029529948
4gt4-v0_73.qasm,300,568,0.134854047,306,517,0.244808807,297,568,6.623710801,330,536,0.020046156
one-two-three-v0_97.qasm,231,417,0.132808591,207,359,0.144123879,225,421,1.763512152,231,373,0.011725476
