,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time
xor5_254.qasm,6,11,0.009701599999999644,6,10,0.014274513999999794,6,11,0.003852364000000108
4_49_16.qasm,165,300,0.08782300200000037,135,230,0.24254141699999998,141,269,2.7260315750000004
sys6-v0_111.qasm,162,199,0.09588483699999983,135,144,11.322351278,153,209,2.7917146270000046
rd53_130.qasm,702,1286,0.5653551719999967,699,1093,4.9812782170000105,696,1279,13.711826944000023
alu-v2_31.qasm,297,583,0.19651136600000996,309,520,0.623193452999999,270,554,5.914465656000004
4gt5_77.qasm,78,163,0.04145980100000202,78,124,0.19571451300001286,75,157,0.8431645259999812
radd_250.qasm,2337,4028,1.3380708700001378,2205,3246,65.89537704600002,2331,3928,137.734395909
mod10_176.qasm,120,230,0.0846991609998895,108,186,0.18281137199983277,102,209,2.3397846390000723
C17_204.qasm,336,598,0.34529433799980325,318,479,1.0034653629998047,333,593,6.157306766999909
0410184_169.qasm,159,235,0.09107427699996151,147,187,0.7449540469999647,144,213,2.189093400000047
con1_216.qasm,687,1152,0.4639938960001473,624,939,8.518321345999993,666,1106,17.479097277000164
rd53_311.qasm,234,321,0.17690609800001766,198,240,2.7862440080000397,204,271,5.559598655999935
4gt13_91.qasm,69,128,0.043926182999939556,54,92,0.09631078899997192,54,116,0.49129721500003143
one-two-three-v0_98.qasm,102,184,0.05249204700021437,90,146,0.13585506599997643,87,172,1.404711184000007
4gt13_90.qasm,81,150,0.041896244999861665,57,108,0.08020565299989357,63,130,0.4319453959999464
ex3_229.qasm,291,536,0.14829688500003613,291,453,0.6796557220000068,282,510,4.960896336000133
ham3_102.qasm,12,22,0.006488876000048549,12,18,0.023762559000033434,12,22,0.020358290000103807
adr4_197.qasm,2565,4249,1.4291928139998618,2361,3444,75.49161117800008,2511,4120,149.59051592200012
one-two-three-v1_99.qasm,90,178,0.058748779999859835,84,153,0.13297472000022026,78,157,1.124082577000081
mini-alu_167.qasm,222,393,0.11787714199999755,183,292,0.3573769800000264,180,366,3.244424627999706
alu-v2_30.qasm,351,657,0.19146216199987975,339,597,0.7834660490002534,330,606,7.2734319370001685
4gt5_76.qasm,72,140,0.03666501600037009,60,112,0.08422246200007066,72,136,0.03953747099967586
rd53_131.qasm,309,572,0.16727631100002327,303,486,0.7631998140000178,300,566,5.28162373899977
mini_alu_305.qasm,129,180,0.07014711700003318,117,138,7.173177351000049,120,165,2.9464521790000617
4mod7-v0_94.qasm,117,215,0.058475909999742726,99,193,0.21244009800011554,108,204,1.855559304000053
z4_268.qasm,2250,3672,1.4718735659998856,2064,2969,78.07462107099991,2175,3686,105.25146825600041
cm82a_208.qasm,456,753,0.2971876080000584,408,607,21.188440246999562,444,734,10.58591248599987
aj-e11_165.qasm,99,198,0.05714576300033514,87,168,0.5895633689997339,96,185,1.5357337679997727
alu-v0_26.qasm,51,102,0.028080604000024323,54,89,0.24273945499953697,45,92,0.5540198569997301
sym6_316.qasm,216,312,0.1261463039991213,204,239,0.743708869999864,213,308,4.502309192000212
decod24-bdd_294.qasm,51,90,0.026472847999684745,51,86,0.15232191500035697,48,86,0.4301592450001408
miller_11.qasm,39,76,0.019228567999562074,33,69,0.04263302900017152,36,72,0.07353228899955866
rd32-v1_68.qasm,18,43,0.010167638999519113,18,43,0.04089732499960519,18,42,0.015496553000048152
dc1_220.qasm,1413,2378,0.8527158709994183,1224,1854,46.38056715300081,1311,2307,49.60260300099981
decod24-enable_126.qasm,240,431,0.13040969499979838,210,352,0.41013441599989164,231,416,4.955797002000509
one-two-three-v2_100.qasm,42,80,0.0212978990002739,36,66,0.04862604500067391,42,78,0.3333271680003236
mod5adder_127.qasm,354,674,0.6543255779997708,348,544,1.0793629569998302,342,666,5.966196475000288
one-two-three-v3_101.qasm,45,84,0.022101313999883132,42,73,0.055879283999274776,36,84,0.32741837600042345
4mod5-v0_20.qasm,12,25,0.006611271000110719,12,26,0.03548864999993384,12,23,0.09603807399980724
mod8-10_177.qasm,330,570,0.16694053799983521,300,494,0.8112174589996357,288,531,5.660942250000517
ising_model_13.qasm,27,94,0.05560158800017234,27,95,0.3390869519998887,27,94,0.8163653299998259
sf_276.qasm,540,971,0.271053368000139,474,775,0.9326107919996502,510,959,11.90434716100026
cm42a_207.qasm,1293,2146,0.6685374549997505,1188,1731,29.428648041000088,1251,2108,30.66451090800001
4gt12-v1_89.qasm,153,277,0.07442521500070143,150,209,0.21532202400067035,144,281,5.147307393999654
alu-v0_27.qasm,18,39,0.009240359999239445,18,36,0.0309553679999226,18,39,0.07434237899997242
pm1_249.qasm,1266,2077,0.6449527930008117,1134,1686,30.819929002999743,1236,2124,32.039297406000514
mod5mils_65.qasm,24,46,0.013829787000759097,24,40,0.02965667199987365,24,46,0.02860046899968438
mod10_171.qasm,150,295,0.07529533599972638,159,281,0.2793453070007672,147,305,2.544276333000198
ex1_226.qasm,6,11,0.004072884999914095,6,10,0.0073940709999078535,6,11,0.0036033970000062254
ex-1_166.qasm,12,26,0.006794029999582563,12,26,0.03688334100024804,12,23,0.017924613999639405
decod24-v1_41.qasm,54,112,0.025758826000128465,54,92,0.06902671199986798,54,114,0.2040866110000934
4gt12-v0_88.qasm,129,264,0.06893244299953949,129,199,0.22795113599931938,123,243,2.7304651059994285
rd53_138.qasm,99,124,0.05264139300015813,84,100,3.2302728770000613,96,123,0.7718627370004469
4gt4-v0_79.qasm,162,315,0.08206775700000435,159,265,0.3087332889999743,165,315,0.4798023100001956
alu-v3_34.qasm,42,74,0.019358277999344864,33,60,0.035947688999840466,33,62,0.2073326959998667
qe_qft_5.qasm,3,51,0.008722188000319875,3,54,0.02717251000012766,3,51,0.008007694000298216
3_17_13.qasm,18,41,0.010815529999490536,18,39,0.1244920799999818,18,40,0.15013857200028724
decod24-v3_45.qasm,93,188,0.04779726399920037,93,158,0.14629069900001923,90,181,0.9286070670004847
4gt4-v0_80.qasm,129,226,0.06329729299977771,126,207,0.2116222699996797,123,219,1.7250502799997776
mod8-10_178.qasm,228,436,0.11449411699959455,231,376,0.6127255760002299,219,416,4.190077377999842
hwb4_49.qasm,153,307,0.08108736400026828,150,272,0.26227186399955826,147,298,2.48275903800004
4mod5-bdd_287.qasm,54,102,0.02593229599915503,36,83,0.11652972100000625,42,85,0.2226057399993806
4gt11_84.qasm,9,21,0.005745467000451754,9,19,0.013094661000650376,9,21,0.004799454999556474
decod24-v0_38.qasm,30,64,0.014841465999779757,30,64,0.036163880999993125,30,64,0.011634497000159172
ising_model_10.qasm,27,93,0.043636723999952665,15,76,3.935728329000085,27,93,0.625505699000314
4mod5-v0_19.qasm,21,42,0.00971773099990969,18,38,0.11937782400036667,18,39,0.13940548500067962
4gt4-v1_74.qasm,192,356,0.08937234700078989,174,304,0.2880137669999385,183,343,2.6626125980001234
4mod5-v1_22.qasm,15,27,0.007440735999807657,12,25,0.022291358999609656,15,25,0.05698514100004104
4gt12-v0_87.qasm,168,294,0.0830126979999477,153,237,0.6810831000002509,165,298,1.9976537490001647
alu-v1_29.qasm,21,41,0.011211705999812693,21,38,0.025964847000068403,21,41,0.019587005999710527
4gt12-v0_86.qasm,174,301,0.08921285699943837,156,241,0.48846817999947234,162,302,2.4489062029997513
alu-v1_28.qasm,21,41,0.011808760000349139,24,45,0.03293901500001084,27,47,0.11614260000078502
4mod5-v1_23.qasm,57,103,0.02702687100008916,48,80,0.07024379299946304,48,88,0.4518122069994206
sf_274.qasm,567,974,0.2867256579993409,516,785,1.0700706309999077,537,961,12.197126855000533
4mod5-v0_18.qasm,39,85,0.020347550999758823,42,82,0.06485115000032238,39,85,0.013397908999650099
majority_239.qasm,456,800,0.2336320809999961,390,627,0.9224209369995151,417,755,7.803841060000195
hwb5_53.qasm,939,1709,0.5130344180006432,861,1434,1.9273127619999286,891,1658,19.087838473000375
ham7_104.qasm,225,417,0.118861184000707,213,356,0.49906406100035383,216,397,5.445176596000238
rd53_135.qasm,207,376,0.11127255100018374,189,296,7.015492073000132,186,341,3.4488433169999553
rd32_270.qasm,54,99,0.0282641549993059,51,71,0.06941374899997754,48,88,0.809046973000477
cm152a_212.qasm,858,1521,0.46103498399952514,828,1254,3.1678275700005543,834,1471,21.086977385000864
4gt10-v1_81.qasm,90,185,0.04900153299968224,90,151,0.21121988699997019,93,184,1.4843305210006292
qft_10.qasm,72,122,0.05704160799996316,108,126,2.3579173580001225,69,124,1.8740013060005367
rd32-v0_66.qasm,18,42,0.008977096000307938,18,42,0.032433327000035206,18,41,0.015334128000176861
rd53_251.qasm,906,1657,0.48803449000024557,855,1328,5.608701514999666,912,1588,19.802326716000607
qe_qft_4.qasm,9,42,0.009981392000554479,9,44,0.026459593999788922,9,42,0.010032493999460712
alu-v3_35.qasm,21,41,0.012021833000289917,24,42,0.038494010000249546,21,41,0.02137101599964808
squar5_261.qasm,1461,2395,0.8122049389994572,1416,1965,41.91997717300001,1419,2311,40.307841250999445
4gt4-v0_78.qasm,171,315,0.08868074000019988,156,265,0.2873234870003216,153,286,7.3439485790004255
4gt13-v1_93.qasm,39,82,0.02048798000032548,36,57,0.051057046999630984,36,78,0.1834361449991775
4gt4-v0_73.qasm,327,603,0.17542225900069752,297,503,0.6169650230003754,309,575,2.1728406590000304
one-two-three-v0_97.qasm,210,349,0.11560200299936696,171,230,0.7504058839995196,189,348,2.8330826459996388
rd84_142.qasm,261,283,0.16097338399958971,222,220,26.177182131000336,258,300,6.040848236000784
4mod7-v1_96.qasm,105,204,0.056589561999317084,102,191,0.1727917959997285,102,204,0.9518490030004614
ising_model_16.qasm,33,147,0.17372319900005095,57,107,0.7913788719997683,33,144,1.48436208899966
4mod5-v1_24.qasm,24,49,0.012278940999749466,24,42,0.026173316000495106,24,45,0.05858211600025243
f2_232.qasm,852,1474,0.4546490709999489,816,1262,3.9974504849997174,786,1475,20.28769561900026
mod5d1_63.qasm,18,35,0.00963746999968862,18,33,0.019702209000570292,18,33,0.02670347299954301
sym9_146.qasm,243,309,0.14368517200000497,216,256,20.985281624999516,225,321,3.8529841279996617
alu-v4_36.qasm,81,152,0.041245987999900535,69,118,0.19700768900020194,72,144,0.4043686129998605
alu-bdd_288.qasm,54,101,0.0265162550003879,48,82,0.07319074200040632,54,100,0.3348886699996001
4gt11_82.qasm,24,43,0.01125090799996542,18,37,0.02338108000003558,24,40,0.0217886290001843
