,[SABRE] SABRE CNOTs,[SABRE] SABRE Depth,[SABRE] SABRE Time,[SABRE] MPATH_IPS CNOTs,[SABRE] MPATH_IPS Depth,[SABRE] MPATH_IPS Time,[SABRE] MPATH_BSP CNOTs,[SABRE] MPATH_BSP Depth,[SABRE] MPATH_BSP Time
SK_4_1 (grid_search_30_30),9,29,0.006477553000000302,9,27,0.074901734,9,29,0.006890249999999654
SK_4_1 (grid_search_60_60),9,29,0.005699308999999708,9,27,0.07217157899999993,9,29,0.006816698999999815
SK_5_1 (grid_search_30_30),18,43,0.00953713200000017,27,52,0.11567735800000012,18,43,0.01623953899999986
SK_5_1 (grid_search_60_60),18,43,0.07408197999999988,27,52,0.11345048400000035,18,43,0.01702912400000045
SK_6_1 (grid_search_30_30),24,60,0.012056850999999646,33,66,0.19212194500000024,24,55,0.06377754100000033
SK_6_1 (grid_search_60_60),33,57,0.016752780999999217,42,69,0.2609750550000003,33,57,0.15934706100000007
SK_7_1 (grid_search_30_30),51,87,0.02460295399999879,78,105,0.3411412139999985,48,76,0.4424413259999991
SK_7_1 (grid_search_60_60),42,81,0.04166512900000008,66,99,0.440235705000001,42,81,0.8312400409999992
SK_8_1 (grid_search_30_30),54,90,0.029961126999999976,96,115,0.837449276000001,54,85,0.665908340999998
SK_8_1 (grid_search_60_60),51,90,0.026288745999998753,96,125,0.38922056500000224,54,85,0.3939202160000015
SK_9_1 (grid_search_30_30),72,112,0.04196776000000568,123,150,0.7239283139999984,72,112,1.2626581009999995
SK_9_1 (grid_search_60_60),72,120,0.07705446499999624,129,160,1.0858365369999987,72,112,1.2650104780000007
SK_10_1 (grid_search_30_30),102,140,0.0629278979999981,189,203,1.1448477319999952,96,127,1.9165902260000038
SK_10_1 (grid_search_60_60),102,133,0.10888912200000789,180,196,1.3007576879999903,96,120,1.7599810330000025
SK_11_1 (grid_search_30_30),150,186,0.09157822500000634,216,244,2.024124267000005,138,169,4.556994547999992
SK_11_1 (grid_search_60_60),153,179,0.11953870799999322,210,238,2.5765953039999943,144,173,3.9939597890000016
SK_12_1 (grid_search_30_30),159,196,0.10453663399999868,285,272,3.3391652050000005,162,177,5.357550951999997
SK_12_1 (grid_search_60_60),189,160,0.14534888000000024,228,174,3.6216130589999977,177,145,4.569797988999994
SK_13_1 (grid_search_30_30),219,215,0.14422222199999624,321,292,3.3594753719999915,234,229,8.245024424000007
SK_13_1 (grid_search_60_60),180,199,0.21260381299998699,324,286,2.1076091080000197,177,183,3.9374470459999884
SK_14_1 (grid_search_30_30),312,280,0.20478462100004435,390,308,3.864671910000027,297,250,8.505906218000007
SK_14_1 (grid_search_60_60),291,270,0.270068206000019,441,385,3.103788327000018,273,246,7.747042699000019
SK_15_1 (grid_search_30_30),318,247,0.2159668030000148,432,321,6.425426691999974,285,228,8.277509848000022
SK_15_1 (grid_search_60_60),327,288,0.24916586100005134,489,363,3.6664243290000513,351,298,13.88511573300002
SK_16_1 (grid_search_30_30),345,328,0.2903046579999682,573,388,6.206468450999978,357,294,13.92639520800003
SK_16_1 (grid_search_60_60),321,292,0.2257200899999816,597,434,5.76009095500001,303,268,9.500071208000008
SK_17_1 (grid_search_30_30),486,367,0.3571075419999943,768,491,7.416712018999988,453,318,14.97336835200008
SK_17_1 (grid_search_60_60),459,289,0.28716417500004354,648,409,5.1581987140000365,435,279,14.393669606000003
SK_18_1 (grid_search_30_30),438,265,0.39230998899984115,621,368,7.474908003999872,462,277,16.31964223199998
SK_18_1 (grid_search_60_60),435,273,0.42005270999993627,591,378,12.815881126000022,447,285,15.990117188000113
