,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,382,299,0.1961210009176284,340,279,43.7000323459506,373,300,2.0631490061059594,355,345,0.01803323091007769,7.3662109375
rd53_311.qasm,124,346,306,0.19263832201249897,307,262,26.25418243603781,331,281,0.6605845370795578,331,327,0.019948901142925024,6.6533203125
one-two-three-v0_97.qasm,128,323,363,0.14285370497964323,287,340,5.0255559051875025,296,346,0.21593739720992744,311,324,0.0321676239836961,6.595703125
mod8-10_178.qasm,152,383,441,0.16907797916792333,341,393,5.217891379026696,353,404,0.2564470348879695,395,463,0.018238469026982784,7.517578125
decod24-enable_126.qasm,149,377,433,0.16410220391117036,341,388,5.684890023898333,356,406,0.2814551319461316,365,402,0.018224289175122976,7.31640625
mini-alu_167.qasm,126,321,384,0.14163952809758484,285,326,7.099162778118625,282,319,0.35053684189915657,303,351,0.01600204291753471,6.533203125
rd53_135.qasm,134,335,358,0.14914924395270646,302,332,8.4668987931218,326,346,0.3797011161223054,335,328,0.031441355124115944,6.787109375
ham7_104.qasm,149,380,415,0.1650006368290633,335,365,7.31345600890927,353,389,0.2700806329958141,341,362,0.034450058825314045,7.0732421875
sym6_316.qasm,123,354,324,0.17804975784383714,309,286,14.74415853107348,357,308,0.8885449338704348,333,317,0.018909564008936286,6.626953125
rd84_142.qasm,154,379,265,0.20851746411062777,382,254,69.68054068298079,439,280,3.45821878593415,382,282,0.03558320109732449,7.5927734375
