,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,370,327,0.18453994998708367,358,286,2.073410585988313,379,289,2.8405917389318347,355,345,0.037438918836414814,7.3662109375
rd53_311.qasm,124,349,311,0.2578208311460912,322,275,0.9573657440487295,349,295,0.9995279340073466,331,327,0.019006551010534167,6.6533203125
one-two-three-v0_97.qasm,128,323,370,0.13643766287714243,299,339,0.23268249118700624,302,346,0.2227949348744005,311,324,0.016469008987769485,6.666015625
mod8-10_178.qasm,152,383,450,0.22968049393966794,353,390,0.2532472440507263,347,390,0.25385983916930854,395,463,0.020022711949422956,7.517578125
decod24-enable_126.qasm,149,386,429,0.16589982598088682,350,405,0.33653344702906907,350,395,0.2737886121030897,365,402,0.02893292298540473,7.31640625
mini-alu_167.qasm,126,321,377,0.21075028483755887,291,330,0.21927101002074778,300,345,0.2330258758738637,303,351,0.015111259883269668,6.533203125
rd53_135.qasm,134,320,358,0.24265327490866184,320,338,0.690603232011199,329,352,0.42188284802250564,335,328,0.016383626963943243,6.787109375
ham7_104.qasm,149,377,418,0.24123761407099664,350,393,0.435635041911155,356,396,0.2900678990408778,341,362,0.019742889096960425,7.0732421875
sym6_316.qasm,123,345,322,0.15952053805813193,321,309,0.717679032124579,324,291,0.36616932903416455,333,317,0.032567892922088504,6.626953125
rd84_142.qasm,154,394,290,0.20117508596740663,394,253,2.7437744298949838,400,276,3.26175616402179,382,282,0.01813576207496226,7.5927734375
