,size,depth,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std."
4_49_16.qasm,217,125,168,327,0.072454387,150,285,0.153161953,168,322,0.267955022,0.792,0.494707995,2.984126984,3.502797356
alu-v2_31.qasm,451,255,342,655,0.159415193,345,618,0.204925855,330,640,7.193498224,0.776470588,0.486116356,3.070680628,3.131954721
mod10_176.qasm,178,101,135,250,0.063202422,126,214,0.142130871,141,258,0.110867837,0.772277228,0.505047554,3.06122449,3.209731143
C17_204.qasm,467,253,405,655,0.318152765,405,538,0.449777634,396,640,15.68926601,0.81027668,0.558418435,4.060913706,6.480454422
0410184_169.qasm,211,104,180,261,0.088246376,198,242,0.188382135,180,258,2.087151605,1,0.67936622,6.453551913,13.8282508
rd53_311.qasm,275,124,276,391,0.129947947,279,299,1.657111126,270,390,8.424796317,1,0.635000635,2.909871245,4.246234028
ex3_229.qasm,403,226,309,574,0.302462575,291,520,0.180206249,291,550,0.724090507,0.774336283,0.504366555,3.75297619,5.878354418
mini-alu_167.qasm,288,162,213,412,0.097531157,201,376,0.126361697,207,406,5.749049802,0.777777778,0.521157307,3.094650206,3.243748686
alu-v2_30.qasm,504,285,447,769,0.196407359,438,638,0.6607314,453,781,23.1000324,0.78245614,0.497404776,3.737819026,5.800906712
rd53_131.qasm,469,261,402,702,0.179750282,387,590,0.332383422,390,682,15.72680706,0.766283525,0.535138092,4.457142857,7.462728664
cm82a_208.qasm,650,337,519,863,3.742729169,555,658,3.266234148,516,834,20.9692096,0.839762611,0.564391379,4.307692308,8.750123776
sym6_316.qasm,270,135,273,348,0.12415088,279,314,0.813599309,273,347,6.792070955,0.911111111,0.576922444,2.748917749,3.708792192
decod24-enable_126.qasm,338,190,258,490,0.114210899,237,420,0.144207221,255,482,0.392822393,0.784210526,0.471015876,3.567474048,7.742600945
mod5adder_127.qasm,555,302,441,780,0.200430254,441,705,0.420774041,432,778,22.20989825,0.791390728,0.51422679,3.667386609,5.647449689
mod8-10_177.qasm,440,251,366,651,0.170356435,315,578,0.255009247,351,638,4.730532168,0.780876494,0.492769259,3.566137566,5.347413596
sf_276.qasm,778,435,657,1181,0.362049608,681,953,0.389895858,654,1175,21.9905937,0.772413793,0.503936152,3.836671803,5.950060171
4gt12-v1_89.qasm,228,130,201,346,0.09042964,204,281,0.111046328,201,343,0.656126561,0.769230769,0.504418348,3.526315789,4.898640209
mod10_171.qasm,244,139,186,331,0.084570112,192,312,0.169977134,186,331,1.266177494,0.776978417,0.5095232,3.04368932,3.363573282
4gt12-v0_88.qasm,194,108,156,274,0.067488861,141,251,0.085683956,153,273,0.170207804,0.796296296,0.504778266,3.254658385,4.721142486
4gt4-v0_79.qasm,231,132,171,325,0.072251593,195,289,0.10624583,168,317,0.303290389,0.795454545,0.503602723,3.520408163,5.346617454
4gt4-v0_80.qasm,179,101,138,250,0.057608718,132,226,0.143785886,138,250,0.107797515,0.782178218,0.4995832,3.409395973,4.973774744
mod8-10_178.qasm,342,193,282,492,0.123622855,282,449,0.181403105,273,485,1.220713007,0.787564767,0.510461314,3.705479452,5.669152057
hwb4_49.qasm,233,134,171,332,0.076374336,156,305,0.157890983,174,335,0.193781,0.798507463,0.485304194,2.916256158,3.374474128
4gt4-v1_74.qasm,273,154,219,408,0.097571753,222,339,0.130259279,219,403,0.203838018,0.772727273,0.490463964,3.565789474,5.603888514
4gt12-v0_87.qasm,247,131,180,335,0.081062385,207,303,0.112292201,177,332,2.684863258,0.854961832,0.567869158,3.5,6.133630945
4gt12-v0_86.qasm,251,135,192,352,0.090411957,216,310,0.113576675,189,346,6.32951466,0.859259259,0.559933369,3.447004608,6.046532522
sf_274.qasm,781,436,588,1099,0.323728396,600,999,0.697726593,585,1098,12.86794824,0.770642202,0.518165917,3.825617284,5.913378684
majority_239.qasm,612,344,462,859,0.224147815,444,732,0.331594949,462,852,15.87683548,0.776162791,0.533103395,4.308737864,6.972889343
ham7_104.qasm,320,185,261,457,0.113938957,273,424,0.20833423,261,457,0.149640297,0.805405405,0.49316734,3.580071174,7.391070981
rd53_135.qasm,296,159,255,441,0.13446941,288,398,0.405062775,258,440,0.118632345,0.842767296,0.555527866,3.858823529,6.444610956
4gt4-v0_78.qasm,235,137,174,317,0.076728839,180,304,0.162670958,174,317,2.045565286,0.795620438,0.500199758,3.743842365,5.944190277
4gt4-v0_73.qasm,395,227,333,602,0.165810071,345,494,0.274736162,321,597,5.813411637,0.788546256,0.504823519,3.66374269,5.995692998
one-two-three-v0_97.qasm,290,163,225,422,0.10344313,207,359,0.139534309,225,421,10.85505712,0.785276074,0.516504667,3.153846154,3.592701692
rd84_142.qasm,343,110,330,356,0.165898823,303,310,19.54199525,321,308,29.88870166,1.4,0.916515139,2.297202797,2.630999811
sym9_146.qasm,328,127,321,437,0.201611341,288,365,7.833906899,315,433,8.429505266,1.165354331,0.684631972,2.252707581,2.10235425
qft_16.qasm,512,105,378,327,0.23502598,870,669,5.425957104,327,285,42.24290076,2.285714286,1.299921505,1.816860465,0.798731206
