,Swap Diff,SABRE Swaps,MPATH Swaps,SABRE Time,MPATH Time
adder_n10,6.0,20.0,14.0,0.219792934,10.418260605
cc_n12,12.0,15.0,3.0,0.0844323659999997,0.9944635640000001
multiplier_n15,14.0,109.0,95.0,1.0191456189999997,108.069668547
qf21_n15,27.0,66.0,39.0,0.44172926299999915,44.595277421000006
sat_n11,18.0,118.0,100.0,1.8202184440000053,169.57583294300002
dnn_n8,5.0,5.0,0.0,2.0679361919999906,64.04759437799999
seca_n11,10.0,32.0,22.0,0.2850719180000283,11.05197756900003
bv_n14,10.0,15.0,5.0,0.06917193200001748,0.7577121509999643
ising_n10,0.0,0.0,0.0,0.3661819029999833,7.571931968000001
qaoa_n6,-2.0,10.0,12.0,0.22225789500004112,8.100087379000001
qpe_n9,1.0,13.0,12.0,0.13393593000000692,4.421226438999952
simon_n6,3.0,7.0,4.0,0.06198769799999582,2.538836609000043
