,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,313.0,195.0,361.3333333333333,324.0,0.07076501700000144,14.064474803333335
qft_n20,733.0,628.0,415.66666666666663,373.33333333333337,0.2757551733332946,392.342919184
ising_n26,92.0,111.0,44.0,70.0,0.12429887833339612,7.937063222000005
bv_n19,143.0,87.0,108.33333333333331,104.0,0.02965542666659833,1.2153093266665564
dnn_n16,111.0,113.0,234.33333333333331,197.0,0.1320785256666568,204.20796120466662
multiplier_n25,3537.0,1776.0,2438.6666666666665,1782.0,1.1857600620000235,1526.143647084334
wstate_n27,233.0,399.0,152.0,89.0,0.08621250099986355,53.50381700966591
ghz_state_n23,212.0,111.0,133.66666666666669,133.0,0.04344382099983098,1.7836512803332878
cat_state_n22,136.0,75.0,90.33333333333333,96.0,0.04525429333352804,356.68177551033324
square_root_n18,3599.0,2211.0,3293.0,2871.6666666666665,0.9440496633333169,2002.916150321001
cc_n18,99.0,51.0,121.33333333333331,109.0,0.0321176889998848,1.2803228916667042
