,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
qft_n15,423.59999999999997,577.8000000000001,299.4,430.20000000000005,0.12760822799998123,114.41698904720002
dnn_n8,45.0,45.0,188.00000000000003,188.00000000000003,0.05395279940000819,76.59701017679998
adder_n10,152.10000000000002,95.99999999999999,199.49999999999997,200.0,0.030621540299989647,3.3473867938000694
cc_n12,55.5,30.0,78.39999999999999,71.0,0.0140575230000195,0.5549626405999789
multiplier_n15,601.2,345.0,611.5,478.8,0.14499699160003277,64.1792207811001
qf21_n15,399.6,219.00000000000003,467.80000000000007,396.00000000000006,0.08837592340003084,14.215507735100028
sat_n11,687.3,438.00000000000006,908.7,752.9999999999999,0.1921401684999637,64.98826002209996
seca_n11,132.89999999999998,87.00000000000001,172.0,150.0,0.03575386469992736,7.358650813499571
bv_n14,65.7,33.0,62.099999999999994,52.00000000000001,0.01281035699989843,0.46797439579995626
ising_n10,0.0,0.0,71.0,71.0,0.016345542699946237,5.971384340700025
qaoa_n6,53.4,47.99999999999999,175.6,144.5,0.030980151199992177,3.711598334299788
qpe_n9,99.30000000000001,66.0,159.7,127.99999999999999,0.023592907899910642,2.6753384048997306
simon_n6,15.3,11.999999999999998,49.900000000000006,43.99999999999999,0.005718248999983189,0.2837776207002207
