,[SABRE] SABRE CNOTs,[SABRE] MPATH CNOTs,[SABRE] LOOK CNOTs,[SABRE] SABRE Depth,[SABRE] MPATH Depth,[SABRE] LOOK Depth,[SABRE] SABRE Time,[SABRE] MPATH Time,[SABRE] LOOK Time,[Trivial] SABRE CNOTs,[Trivial] MPATH CNOTs,[Trivial] LOOK CNOTs,[Trivial] SABRE Depth,[Trivial] MPATH Depth,[Trivial] LOOK Depth,[Trivial] SABRE Time,[Trivial] MPATH Time,[Trivial] LOOK Time
adder_n10,78.0,63.0,0.0,175.0,161.0,0.0,0.0371138339999999,1.2087316700000001,0.0,108.0,99.0,0.0,192.0,190.0,0.0,0.052394196999998144,1.810982750000008,0.0
qft_n15,303.0,423.0,0.0,319.0,401.0,0.0,0.1825907760000005,24.411653174,0.0,366.0,513.0,0.0,363.0,410.0,0.0,0.2523699750000077,22.368639146000007,0.0
dnn_n8,51.0,60.0,0.0,288.0,205.0,0.0,0.08792881200000124,4.320010341,0.0,63.0,84.0,0.0,415.0,377.0,0.0,0.09707017699999199,4.724448253999995,0.0
cc_n12,51.0,48.0,0.0,56.0,59.0,0.0,0.0233168959999972,0.10695972300000278,0.0,69.0,69.0,0.0,73.0,100.0,0.0,0.029349263000000292,0.23623033900000223,0.0
multiplier_n15,396.0,402.0,0.0,575.0,505.0,0.0,0.20746626099999332,12.207515622999999,0.0,498.0,429.0,0.0,565.0,487.0,0.0,0.23954747099999452,11.753257200999997,0.0
qf21_n15,219.0,192.0,0.0,371.0,393.0,0.0,0.10126011199999851,1.6411771240000022,0.0,285.0,222.0,0.0,420.0,387.0,0.0,0.248454253999995,1.7826693469999952,0.0
sat_n11,492.0,390.0,0.0,780.0,716.0,0.0,0.22757789500000314,8.57767956,0.0,495.0,417.0,0.0,787.0,744.0,0.0,0.2243870329999993,7.7321429809999955,0.0
seca_n11,87.0,84.0,0.0,135.0,132.0,0.0,0.055560392000003844,2.949553901999998,0.0,123.0,126.0,0.0,161.0,156.0,0.0,0.06859728099999529,3.502379318999999,0.0
bv_n14,45.0,33.0,0.0,52.0,49.0,0.0,0.01789481900000567,0.047139684000001125,0.0,75.0,66.0,0.0,72.0,72.0,0.0,0.02707653800000287,0.053620207999998115,0.0
ising_n10,48.0,60.0,0.0,123.0,141.0,0.0,0.04944252699999652,3.0394965340000084,0.0,108.0,129.0,0.0,185.0,152.0,0.0,0.08224555399999645,3.4165698489999983,0.0
qaoa_n6,33.0,54.0,0.0,163.0,173.0,0.0,0.029812943999999675,1.5755705199999994,0.0,45.0,48.0,0.0,170.0,166.0,0.0,0.03721055999997702,1.1135316149999994,0.0
qpe_n9,48.0,45.0,0.0,130.0,130.0,0.0,0.027421754000002352,0.4581609220000047,0.0,90.0,75.0,0.0,137.0,143.0,0.0,0.04345182499997691,0.5527914259999989,0.0
simon_n6,21.0,12.0,0.0,45.0,42.0,0.0,0.010499538999994229,0.05012690200000236,0.0,21.0,18.0,0.0,46.0,44.0,0.0,0.010758031999984041,0.05839188300001297,0.0
