,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,46.0,28.0,188.0,179.0,0.07618968899999956,8.312839404999998
qft_n20,190.0,212.0,374.0,235.0,0.25765336299998864,507.1539650960001
ising_n26,16.0,17.0,38.0,27.0,0.04139444600002662,31.578877761000058
bv_n19,23.0,13.0,36.0,32.0,0.020889396000029592,0.8290995600000315
dnn_n16,20.0,58.0,339.0,192.0,0.11830784799997218,261.102706451
multiplier_n25,520.0,391.0,1112.0,926.0,0.5868957970001247,996.54984555
wstate_n27,33.0,21.0,92.0,86.0,0.05766955099988991,7.322233890000007
ghz_state_n23,21.0,8.0,36.0,33.0,0.0424010700000963,0.9359665010001663
cat_state_n22,14.0,5.0,32.0,29.0,0.019269084999905317,0.8076277949999167
square_root_n18,706.0,557.0,1862.0,1613.0,2.422820079000303,3053.6141188429992
cc_n18,11.0,11.0,53.0,66.0,0.023458640999706404,1.2538458460003312
