,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,117.0,66.0,242.0,215.0,0.08911096000000018,22.77801482
qft_n20,257.0,191.0,268.0,203.0,0.32210778799999673,619.624785377
ising_n26,28.0,34.0,37.0,32.0,0.06363718199997948,52.73369033300003
bv_n19,40.0,21.0,46.0,45.0,0.033981294999989586,1.2029664150001054
dnn_n16,37.0,37.0,213.0,181.0,0.18762537600002815,350.403552579
multiplier_n25,976.0,586.0,1344.0,1104.0,0.9186662569998134,4520.903695513
wstate_n27,0.0,0.0,83.0,83.0,0.008640063999337144,1.1920938339990244
ghz_state_n23,53.0,33.0,57.0,58.0,0.026440067999828898,6.31241674300054
cat_state_n22,41.0,18.0,37.0,40.0,0.020866924999609182,0.6352423540010932
square_root_n18,1325.0,840.0,2166.0,1946.0,0.9284956620003868,1647.0326027639994
cc_n18,35.0,18.0,79.0,77.0,0.034006910999778484,0.9119095080013722
