,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time
bigadder_n18,141,267,0.123227478000004,138,171,4.528955590999999,129,229,2.6897320250000014
qft_n20,378,440,0.4460605550000025,546,376,166.572889083,366,468,20.808349840999995
ising_n26,33,35,0.05654831100014235,48,37,2.9446681409999655,33,35,1.650602757999991
bv_n19,45,51,0.02337661099977595,39,38,0.036115141999971456,45,51,0.027226300999927844
dnn_n16,18,268,0.23746902500010947,144,257,45.87268850600003,18,268,5.74174066899991
multiplier_n25,1119,1432,0.7989332570000443,933,979,100.0825305400001,1170,1505,45.841579538999895
wstate_n27,51,106,0.03815315800011376,60,108,0.27050510999993094,45,106,0.641014812000094
ghz_state_n23,45,60,0.020922998000060034,39,25,0.0612589580000531,45,60,0.25538393000033466
cat_state_n22,42,57,0.0182852869997987,36,16,0.03813530300021739,42,56,0.11740515799965578
square_root_n18,1152,2131,0.9223144940001475,1101,1816,83.08664397099983,1245,2199,53.577037375000145
cc_n18,33,69,0.026980583999829832,30,72,0.06833632799998668,33,70,0.03441230099997483
