,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
qft_n15,88.0,91.0,202.0,169.0,0.10970555700000162,145.605394851
dnn_n8,0.0,0.0,173.0,173.0,0.053571441999991976,67.46210092599998
adder_n10,25.0,13.0,119.0,105.0,0.02534294200000886,1.9118425640000112
cc_n12,12.0,4.0,43.0,45.0,0.012730420999986336,0.44928337700000043
multiplier_n15,148.0,109.0,413.0,314.0,0.13301371899999026,86.22064809700001
qf21_n15,70.0,38.0,277.0,263.0,0.07071873000001005,8.551262880000024
sat_n11,144.0,88.0,557.0,472.0,0.1336196930000142,57.37781619599997
seca_n11,20.0,36.0,116.0,106.0,0.026025525000022753,46.12092690399999
bv_n14,11.0,8.0,27.0,25.0,0.00892561199998454,0.33331677000001037
ising_n10,0.0,0.0,71.0,71.0,0.018445606000000225,7.05699828600001
qaoa_n6,12.0,13.0,148.0,125.0,0.02315695400000095,5.505088357999966
qpe_n9,12.0,11.0,103.0,101.0,0.014166830000021946,1.1025844490000054
simon_n6,6.0,4.0,33.0,33.0,0.00612008699999933,0.3178137629999469
