,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
qft_n15,129.0,103.0,189.0,153.0,0.10882776400000083,238.34503991100001
dnn_n8,22.0,20.0,265.0,183.0,0.06556891200000337,106.52222991800002
adder_n10,60.0,37.0,135.0,141.0,0.038825658999996904,2.254973543999995
cc_n12,16.0,12.0,52.0,53.0,0.01427553300004547,0.8351902879999784
multiplier_n15,228.0,152.0,435.0,353.0,0.18984268299999485,39.19075622899999
qf21_n15,128.0,79.0,304.0,307.0,0.09294825000000628,8.71747086900001
sat_n11,228.0,130.0,619.0,534.0,0.19268301799996834,56.29594433400001
seca_n11,49.0,32.0,115.0,111.0,0.0456376989999967,31.060691261999978
bv_n14,28.0,14.0,33.0,31.0,0.017571781000015108,0.7453410480000002
ising_n10,0.0,0.0,71.0,71.0,0.02093720499999563,7.262045381000007
qaoa_n6,16.0,15.0,141.0,121.0,0.02502717400000165,12.205029400000058
qpe_n9,35.0,20.0,120.0,111.0,0.028961044999959995,1.598238852999998
simon_n6,11.0,6.0,43.0,38.0,0.009860832999947888,0.38709796599994206
