,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
qft_n15,138.0,105.0,209.0,152.0,0.1376266699999995,205.582123113
dnn_n8,35.0,32.0,180.0,185.0,0.0972757889999798,81.74314704600002
adder_n10,35.0,19.0,130.0,123.0,0.025633644999970784,1.5628591300000494
cc_n12,21.0,13.0,52.0,52.0,0.018161306000024524,0.5816377350000153
multiplier_n15,209.0,136.0,404.0,338.0,0.180853610999975,49.707531286999995
qf21_n15,142.0,72.0,320.0,290.0,0.10127428900000268,8.152549488999966
sat_n11,229.0,136.0,611.0,531.0,0.17378804100002299,52.38908544900005
seca_n11,50.0,30.0,127.0,111.0,0.043291101000022536,22.91746772800002
bv_n14,22.0,12.0,31.0,30.0,0.012908539999955337,0.45546799200002397
ising_n10,0.0,0.0,71.0,71.0,0.01639578400005348,6.215555269999982
qaoa_n6,23.0,17.0,156.0,125.0,0.025487904000044637,7.0022884749999434
qpe_n9,26.0,18.0,117.0,108.0,0.01918069199996353,1.1040820640000106
simon_n6,8.0,6.0,41.0,38.0,0.006104836000019986,0.25788890699999456
